,B e n d e r a,P e t a,N a m a   p e n d e k,N a m a   p a n j a n g,N a m a   a s l i   p e n d e k,N a m a   a s l i   p a n j a n g,I b u   k o t a
40,,,San Marino,Republik San Marino,bahasa Italia: San Marino,bahasa Italia: Serenissima Repubblica di San Marino,San Marino (kota)bahasa Italia: Città di San Marino
41,,,Serbia,Republik Serbia,bahasa Serbia: Србијаbaca: Srbija,bahasa Serbia: Република Србијаbaca: Republika Srbija,Beogradbahasa Serbia: Београдbaca: Beograd
42,,,Slowakia,Republik Slowakia,bahasa Slowakia: Slovensko,bahasa Slowakia: Slovenská republika,Bratislava
43,,,Slovenia,Republik Slovenia,bahasa Slovenia: Slovenija,bahasa Slovenia: Republika Slovenija,Ljubljana
44,,,Spanyol,Kerajaan Spanyol,Spanyol: España,Spanyol: Reino de España,Madrid
45,,,Swedia,Kerajaan Swedia,bahasa Swedia: Sverige,bahasa Swedia: Konungariket Sverige,Stockholm
46,,,Swiss,Konfederasi Swiss,Latin: Helveticabahasa Jerman: Schweizbahasa Prancis: Suissebahasa Italia: Svizzerabahasa Romansh: Svizra,Latin: Confoederatio Helveticabahasa Jerman: Schweizerische Eidgenossenschaftbahasa Prancis: Confédération suissebahasa Italia: Confederazione Svizzerabahasa Romansh: Confederaziun svizra,Bernbahasa Jerman: Bernbahasa Prancis: Bernebahasa Italia: Bernabahasa Romansh: Berna
47,,,Turki[5],Republik Turki,bahasa Turki: Türkiye,bahasa Turki: Türkiye Cumhuriyeti,Ankara
48,,,Ukraina,,,bahasa Ukraina: Українаbaca: Ukraina/ Ukrayina,Kievbahasa Ukraina: Київbaca: Kyyiv
49,,,Britania Raya juga disebut: Britania atau Kerajaan Bersatu.[9],Kerajaan Bersatu Britania Raya dan Irlandia Utara,bahasa Inggris: United Kingdom atau Great Britain atau Britain,bahasa Inggris: United Kingdom of Great Britain and Northern Irelandbahasa Wales: Teyrnas Unedig Prydain Fawr a Gogledd Iwerddonbahasa Gaelik Skotlandia: An Rìoghachd Aonaichte na Breatainn Mhòr agus Eirinn a Tuathbahasa Irlandia: Ríocht Aontaithe na Breataine Móire agus Thuaisceart Éireannbahasa Scots: Unitit Kinrick o Graet Breetain an Northren Irelandbahasa Kernowek: An Rywvaneth Unys a Vreten Veur hag Iwerdhon Glédh,London
50,,,Vatikan,"Tahta Suci Vatikan, Negara Kota Vatikan",Latin: Santa Sede,Latin: Status Civitatis Vaticanæbahasa Italia: Stato della Città del Vaticano,Vatikan[6]
