,0,1,2
28,24,Selandia Baru,49.847
29,25,Britania Raya,49.761
30,26,Perancis,44.747
31,27,Andorra,41.390
32,28,Jepang,39.423
33,29,Kuwait,38.755
34,30,Puerto Riko,37.823
35,31,Taiwan,36.501
36,32,Korea Selatan,34.994
37,33,Italia,34.777
38,,Eropa,34.231
39,34,Malta,33.904
40,35,Bahama,32.077
41,36,Siprus,30.663
42,37,Slovenia,30.159
43,38,Spanyol,30.157
44,39,Bahrain,29.103
45,40,Aruba,28.863
46,41,Arab Saudi,28.759
47,42,Estonia,27.791
48,43,Republik Ceko,27.609
49,44,Lithuania,25.015
50,45,Portugal,24.495
51,46,Oman,23.416
52,47,Slowakia,21.665
53,48,Latvia,21.311
54,49,Yunani,20.940
55,50,Hungaria,20.336
56,51,Iran,20.261
57,52,Saint Kitts dan Nevis,19.117
58,53,Barbados,19.110
59,54,Polandia,18.506
60,55,Uruguay,18.083
61,56,Trinidad dan Tobago,17.921
62,57,Seychelles,17.693
63,58,Kroasia,17.338
64,59,Guyana,17.108
65,60,Antigua dan Barbuda,16.085
66,61,Panama,16.038
67,62,Chili,15.941
68,63,Romania,14.825
69,64,Republik Rakyat Tiongkok[n 1],14.096
70,65,Maladewa,14.078
71,Rank,Negara/Teritori,PDB per Kapita (dalam US$)
72,66,Palau,13.706
73,,Dunia,13.447
74,67,Malaysia,13.268
75,68,Bulgaria,13.101
76,69,Rusia,12.575
77,70,Kosta Rika,12.483
78,71,Turkmenistan,12.274
79,72,Argentina,12.187
80,73,Saint Lucia,11.364
81,74,Guinea Khatulistiwa,10.902
82,75,Grenada,10.472
83,76,Gabon,10.390
84,77,Republik Dominika,10.259
85,78,Meksiko,10.166
86,79,Nauru,10.005
87,80,Kazakhstan,10.003
88,81,Montenegro,9.673
89,82,Serbia,9.503
90,,Asia-Pasifik,8.895
91,83,Mauritius,8.892
92,84,Saint Vincent dan Grenadine,8.595
93,85,Dominika,8.575
94,86,Brazil,8.570
95,,Amerika Selatan,8.342
96,87,Turki,8.081
97,88,Botswana,7.519
98,89,Thailand,7.449
99,90,Libya,7.197
100,91,Azerbaijan,7.165
101,92,Irak,7.038
102,93,Peru,7.034
103,94,Afrika Selatan,6.979
104,95,Makedonia Utara,6.863
105,96,Kolombia,6.807
106,97,Bosnia dan Herzegovina,6.726
107,98,Ekuador,6.412
108,99,Belarus,6.384
109,100,Albania,6.260
110,101,Tuvalu,6.047
111,102,Jamaika,5.730
112,103,Fiji,5.685
113,104,Paraguay,5.626
114,105,Georgia,5.618
115,106,Moldova,5.435
116,107,Kosovo,5.355
117,108,Tonga,5.283
118,109,Mongolia,5.206
119,110,Namibia,5.016
120,111,Guatemala,4.864
121,112,Suriname,4.843
122,113,Ukraina,4.828
123,114,Kepulauan Marshall,4.756
124,115,Armenia,4.741
125,116,Indonesia,4.691
126,117,El Salvador,4.689
127,118,Yordania,4.691
128,119,Belize,4.520
129,120,Aljazair,4.294
130,121,Mesir,4.162
131,122,Vietnam,4.122
132,123,Federasi Mikronesia,4.066
133,124,Samoa,4.059
134,125,Eswatini,4.036
135,126,Lebanon,4.003
136,127,Angola,3.793
137,128,Djibouti,3.775
138,129,Tunisia,3.763
139,Rank,Negara/Teritori,PDB per Kapita (dalam US$)
140,130,Sri Lanka,3.699
141,131,Filipina,3.687
142,132,Palestina[n 2],3.682
143,133,Maroko,3.629
144,134,Tanjung Verde,3.503
145,135,Bhutan,3.491
146,136,Bolivia,3.431
147,137,Papua Nugini,3.269
148,138,Kongo,3.243
149,139,Vanuatu,3.145
150,140,Honduras,2.925
151,,Suriah[n 3],2.807
152,141,Pantai Gading,2.574
153,142,India,2.515
154,143,Nikaragua,2.384
155,144,Bangladesh,2.362
156,145,Nigeria,2.356
157,146,Kepulauan Solomon,2.334
158,147,Laos,2.319
159,148,Sao Tome and Principe,2.315
160,149,Ghana,2.303
161,150,Zimbabwe,2.301
162,151,Kenya,2.252
163,,Afrika,2.182
164,152,Mauritania,2.141
165,153,Uzbekistan,2.071
166,154,Venezuela,1.824
167,155,Kamboja,1.752
168,156,Kiribati,1.745
169,157,Haiti,1.672
170,158,Kamerun,1.638
171,159,Senegal,1.609
172,160,Pakistan,1.562
173,161,Benin,1.432
174,162,Timor-Leste,1.402
175,163,Komoro,1.371
176,164,Zambia,1.330
177,165,Kirgistan,1.327
178,166,Myanmar,1.285
179,167,Tanzania,1.260
180,168,Lesotho,1.223
181,169,Nepal,1.203
182,170,Uganda,1.060
183,171,Ethiopia,1.040
184,172,Togo,1.000
185,173,Rwanda,910
186,174,Mali,897
187,175,Yaman,891
188,176,Burkina Faso,886
189,177,Guinea-Bissau,873
190,178,Gambia,844
191,179,Tajikistan,795
192,180,Liberia,776
193,181,Chad,743
194,182,Eritrea,701
195,183,Sudan,674
196,184,Republik Demokratik Kongo,669
197,185,Afghanistan,611
198,186,Niger,599
199,187,Mozambik,547
200,188,Malawi,545
201,189,Somalia,544
202,190,Republik Afrika Tengah,527
203,191,Sierra Leone,513
204,192,Madagaskar,504
205,193,Sudan Selatan,393
206,194,Burundi,272
