,#,P o t r e t,N a m a ( L a h i r - W a f a t ) ( M a s a   H i d u p ),P e r i o d e   J a b a t a n,P e r i o d e   J a b a t a n . 1,P a r t a i
22,Perdana Menteri Kesultanan Mesir (1914–1922)[sunting | sunting sumber],Perdana Menteri Kesultanan Mesir (1914–1922)[sunting | sunting sumber],Perdana Menteri Kesultanan Mesir (1914–1922)[sunting | sunting sumber],Perdana Menteri Kesultanan Mesir (1914–1922)[sunting | sunting sumber],Perdana Menteri Kesultanan Mesir (1914–1922)[sunting | sunting sumber],Perdana Menteri Kesultanan Mesir (1914–1922)[sunting | sunting sumber]
23,(11),,Hussein Rushdi Pashaحسين رشدي باشا(1863–1928),19 Desember 1914,12 April 1919,Independen
24,12,,Muhammad Said Pashaمحمد سعيد باشا(1863–1928)(Periode ke-2),21 Mei 1919,19 November 1919,Independen
25,13,,Youssef Wahba Pashaيوسف باشا وهبة(1865–1933),19 November 1919,20 Mei 1920,Independen
26,14,,Muhammad Tawfiq Nasim Pashaمحمد توفيق نسيم باشا(1874–1938)(Periode pertama),20 Mei 1920,16 Maret 1921,Independen
27,15,,Adli Yakan Pashaعدلي يكن باشا(1864–1933)(Periode pertama),16 Maret 1921,1 Maret 1922,Partai Liberal Konstitusional
28,Perdana Menteri Kerajaan Mesir (1922–1953)[sunting | sunting sumber],Perdana Menteri Kerajaan Mesir (1922–1953)[sunting | sunting sumber],Perdana Menteri Kerajaan Mesir (1922–1953)[sunting | sunting sumber],Perdana Menteri Kerajaan Mesir (1922–1953)[sunting | sunting sumber],Perdana Menteri Kerajaan Mesir (1922–1953)[sunting | sunting sumber],Perdana Menteri Kerajaan Mesir (1922–1953)[sunting | sunting sumber]
29,16,,Abdel Khaliq Sarwat Pashaعبد الخالق ثروت باشا(1873–1928)(Periode pertama),1 Maret 1922,30 November 1922,Partai Liberal Konstitusional
30,(14),,Muhammad Tawfiq Nasim Pashaمحمد توفيق نسيم باشا(1874–1938)(Periode ke-2),30 November 1922,15 Maret 1923,Independen
31,17,,Yahya Ibrahim Pashaيحى إبراهيم(1861–1936),15 Maret 1923,26 Januari 1924,Independen
32,18,,Saad Zaghlul Pashaسعد زغلول(1857–1927),26 Januari 1924,24 November 1924[5],Partai Wafd
33,19,,Ahmad Ziwar Pashaأحمد زيوار باشا(1864–1945),24 November 1924,7 Juni 1926,Partai Federal
34,(15),,Adli Yakan Pashaعدلي يكن باشا(1864–1933)(Periode ke-2),7 Juni 1926,26 April 1927,Partai Liberal Konstitusional
35,(16),,Abdel Khaliq Sarwat Pashaعبد الخالق ثروت باشا(1873–1928)(Periode ke-2),26 April 1927,16 Maret 1928,Partai Liberal Konstitusional
36,20,,Mustafa el-Nahhas Pashaمصطفى النحاس باشا(1879–1965)(Periode pertama),16 Maret 1928,27 Juni 1928,Partai Wafd
37,21,,Muhammad Mahmoud Pashaمحمد محمود باشا(1877–1941)(Periode pertama),27 Juni 1928,4 Oktober 1929,Partai Liberal Konstitusional
38,(15),,Adli Yakan Pashaعدلي يكن باشا(1864–1933)(Periode ke-3),4 Oktober 1929,1 Januari 1930,Partai Liberal Konstitusional
39,(20),,Mustafa el-Nahhas Pashaمصطفى النحاس باشا(1879–1965)(Periode ke-2),1 Januari 1930,20 Juni 1930,Partai Wafd
40,22,,Isma'il Sidqi Pashaإسماعيل صدقي(1875–1950)(Periode pertama),20 Juni 1930,22 September 1933,Partai Rakyat
41,23,,Abdel Fattah Yahya Ibrahim Pashaيحيى إبراهيم باشا(1876–1951),22 September 1933,15 November 1934,Partai Persatuan
42,(14),,Muhammad Tawfiq Nasim Pashaمحمد توفيق نسيم باشا(1874–1938)(Periode ke-3),15 November 1934,30 Januari 1936,Partai Persatuan
43,24,,Ali Mahir Pashaعلي ماهر باشا(1882–1960)(Periode pertama),30 Januari 1936,9 Mei 1936,Partai Persatuan
44,(20),,Mustafa el-Nahhas Pashaمصطفى النحاس باشا(1879–1965)(Periode ke-3),9 Mei 1936,29 Desember 1937,Partai Wafd
45,(21),,Muhammad Mahmoud Pashaمحمد محمود باشا(1877–1941)(Periode ke-2),29 Desember 1937,18 Agustus 1939,Partai Wafd
46,(24),,Ali Mahir Pashaعلي ماهر باشا(1882–1960)(Periode ke-2),18 Agustus 1939,28 Juni 1940,Partai Persatuan
47,25,,Hassan Sabry Pashaحسن صبرى باشا(1879–1940),28 Juni 1940,15 November 1940,Independen
48,26,,Hussein Sirri Pashaحسين سري باشا(1894–1960)(Periode pertama),15 November 1940,6 Februari 1942[6],Independen
49,(20),,Mustafa el-Nahhas Pashaمصطفى النحاس باشا(1879–1965)(Periode ke-4),6 Februari 1942,10 Oktober 1944,Partai Wafd
50,27,,Ahmad Mahir Pashaأحمد ماهر باشا(1888–1945),10 Oktober 1944,24 Februari 1945,Partai Institusional Saadist
51,28,,Mahmoud an-Nukrashi Pashaمحمود فهمي النقراشي باشا(1888–1948)(Periode pertama),26 Februari 1945,17 Februari 1946,Partai Institusional Saadist
52,(22),,Isma'il Sidqi Pashaإسماعيل صدقي(1875–1950)(Periode ke-2),17 Februari 1946,9 Desember 1946,Partai Rakyat
53,(28),,Mahmoud an-Nukrashi Pashaمحمود فهمي النقراشي باشا(1888–1948)(Periode ke-2),9 Desember 1946,28 Desember 1948[4],Partai Institusional Saadist
54,29,,Ibrahim Abdel Hadi Pasha(1896–1981),28 Desember 1948,26 Juli 1949,Partai Institusional Saadist
55,(26),,Hussein Sirri Pashaحسين سري باشا(1894–1960)(Periode ke-2),26 Juli 1949,12 Januari 1950,Independen
56,(20),,Mustafa el-Nahhas Pashaمصطفى النحاس باشا(1879–1965)(Periode ke-5),12 Januari 1950,27 Januari 1952,Partai Wafd
57,(24),,Ali Mahir Pashaعلي ماهر باشا(1882–1960)(Periode ke-3),27 Januari 1952,2 Maret 1952,Partai Persatuan
58,30,,Ahmad Najib al-Hilali Pashaأحمد نجيب الهلال(1891–1958)(Periode pertama),2 Maret 1952,2 Juli 1952,Independen
59,(26),,Hussein Sirri Pashaحسين سري باشا(1894–1960)(Periode ke-3),2 Juli 1952,22 Juli 1952,Independen
60,(30),,Ahmad Najib al-Hilali Pashaأحمد نجيب الهلال(1891–1958)(Periode ke-2),22 Juli 1952,23 Juli 1952[7],Independen
61,(24),,Ali Mahir Pashaعلي ماهر باشا(1882–1960)(Periode ke-4),23 Juli 1952,7 September 1952[8],Partai Persatuan
62,31,,Muhammad Naguibمحمد نجيب(1901–1984)(Periode pertama),7 September 1952,18 Juni 1953,Militer / Liberation Rally
63,Perdana Menteri Republik Mesir (1953–1958)[sunting | sunting sumber],Perdana Menteri Republik Mesir (1953–1958)[sunting | sunting sumber],Perdana Menteri Republik Mesir (1953–1958)[sunting | sunting sumber],Perdana Menteri Republik Mesir (1953–1958)[sunting | sunting sumber],Perdana Menteri Republik Mesir (1953–1958)[sunting | sunting sumber],Perdana Menteri Republik Mesir (1953–1958)[sunting | sunting sumber]
64,(31),,Muhammad Naguibمحمد نجيب(1901–1984)(Periode pertama)[9],18 Juni 1953,25 Februari 1954,Militer / Liberation Rally
65,(32),,Gamal Abdel Nasserجمال عبد الناصر(1918–1970)(Periode pertama),25 Februari 1954,8 Maret 1954,Militer / Liberation Rally
66,(31),,Muhammad Naguibمحمد نجيب(1901–1984)(Periode ke-2)[9],8 Maret 1954,18 April 1954,Militer / Liberation Rally
67,(32),,Gamal Abdel Nasserجمال عبد الناصر(1918–1970)(Periode ke-2)[9],18 April 1954,22 Februari 1958,Militer / Liberation Rally / Persatuan Nasional
68,Perdana Menteri Republik Arab Bersatu (1958–1971)[sunting | sunting sumber],Perdana Menteri Republik Arab Bersatu (1958–1971)[sunting | sunting sumber],Perdana Menteri Republik Arab Bersatu (1958–1971)[sunting | sunting sumber],Perdana Menteri Republik Arab Bersatu (1958–1971)[sunting | sunting sumber],Perdana Menteri Republik Arab Bersatu (1958–1971)[sunting | sunting sumber],Perdana Menteri Republik Arab Bersatu (1958–1971)[sunting | sunting sumber]
69,(32),,Gamal Abdel Nasserجمال عبد الناصر(1918–1970)(Periode ke-2)[9],22 Februari 1958,29 September 1962,Persatuan Nasional
70,33,,Ali Sabriعلى صبرى(1920–1991),29 September 1962,3 Oktober 1965,Persatuan Nasional / Persatuan Arab Sosialis
71,34,,Zakaria Mohieddinزكريا محيى الدين(1918–2012),3 Oktober 1965,10 September 1966,Persatuan Arab Sosialis
72,35,,Muhammad Sedki Sulaymanمحمد صدقي سليمان(1919–1996),10 September 1966,19 Juni 1967,Persatuan Arab Sosialis
73,(32),,Gamal Abdel Nasserجمال عبد الناصر(1918–1970)(Periode ke-3)[9],19 Juni 1967,28 September 1970[10],Persatuan Arab Sosialis
74,36,,Mahmoud Fawziمحمود فوزى(1900–1981),21 Oktober 1970,2 September 1971,Persatuan Arab Sosialis
75,Ketua Dewan Eksekutif Dewan Wilayah Selatan (Mesir) untuk Republik Arab Bersatu (1958–1961)[sunting | sunting sumber],Ketua Dewan Eksekutif Dewan Wilayah Selatan (Mesir) untuk Republik Arab Bersatu (1958–1961)[sunting | sunting sumber],Ketua Dewan Eksekutif Dewan Wilayah Selatan (Mesir) untuk Republik Arab Bersatu (1958–1961)[sunting | sunting sumber],Ketua Dewan Eksekutif Dewan Wilayah Selatan (Mesir) untuk Republik Arab Bersatu (1958–1961)[sunting | sunting sumber],Ketua Dewan Eksekutif Dewan Wilayah Selatan (Mesir) untuk Republik Arab Bersatu (1958–1961)[sunting | sunting sumber],Ketua Dewan Eksekutif Dewan Wilayah Selatan (Mesir) untuk Republik Arab Bersatu (1958–1961)[sunting | sunting sumber]
76,1,,Nureddin Tarraf(1910–?),7 Oktober 1958,20 September 1960,Persatuan Nasional
77,2,,Kamal el-Din Husseinكمال الدين حسين(1921–1999),20 September 1960,16 Agustus 1961,Persatuan Nasional
78,Perdana Menteri Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Perdana Menteri Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Perdana Menteri Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Perdana Menteri Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Perdana Menteri Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Perdana Menteri Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber]
79,(36),,Mahmoud Fawziمحمود فوزى(1900–1981),2 September 1971,17 Januari 1972,Persatuan Arab Sosialis
80,37,,Aziz Sedkiعزيز صدقي(1920–2008),17 Januari 1972,26 Maret 1973,Persatuan Arab Sosialis
81,38,,Anwar Sadatأنور السادات(1918–1981)(Periode pertama)[9],26 Maret 1973,25 September 1974,Persatuan Arab Sosialis
82,39,,Abd El Aziz Muhammad Hegaziعبد العزيز محمد حجازي(lahir 1923),25 September 1974,16 April 1975,Persatuan Arab Sosialis
83,40,,Mamdouh Salemممدوح سالم(1918–1988),16 April 1975,2 Oktober 1978[11],Persatuan Arab Sosialis
84,41,,Mustafa Khalilمصطفى خليل(1920–2008),2 Oktober 1978,15 Mei 1980,Partai Demokratik Nasional
85,(38),,Anwar Sadatأنور السادات(1918–1981)(Periode ke-2)[9],15 Mei 1980,6 Oktober 1981[4],Partai Demokratik Nasional
86,42,,Hosni Mubarakحسنى مبارك(lahir 1928)[9],7 Oktober 1981,2 Januari 1982,Partai Demokratik Nasional
87,43,,Ahmad Fuad Mohieddinأحمد فؤاد محيي الدين(1926–1984),2 Januari 1982,5 Juni 1984[10],Partai Demokratik Nasional
88,44,,Kamal Hassan Aliكمال حسن علي(1921–1993),17 Juli 1984,4 September 1985,Partai Demokratik Nasional
89,45,,Ali Lutfi Mahmudعلى لطفي محمود(lahir 1935),4 September 1985,10 November 1986,Partai Demokratik Nasional
90,46,,Atef Sedkiعاطف محمد نجيب صدقي(1930–2005),10 November 1986,4 Januari 1996,Partai Demokratik Nasional
91,47,,Kamal Ganzouriكمال الجنزوري(1933-2021)(Periode pertama),4 Januari 1996,5 Oktober 1999,Partai Demokratik Nasional
92,48,,Atef Ebeidعاطف محمد عبيد(lahir 1932),5 Oktober 1999,14 Juli 2004,Partai Demokratik Nasional
93,49,,Ahmed Nazifأحمد نظيف(lahir 1952),14 Juli 2004,31 Januari 2011[12],Partai Demokratik Nasional
94,50,,Ahmed Shafikأحمد محمد شفيق(lahir 1941),31 Januari 2011,3 Maret 2011[13],Independen
95,51,,Essam Sharafعصام عبد العزيز شرف(lahir 1952),3 Maret 2011,7 Desember 2011[13],Independen
96,(47),,Kamal Ganzouriكمال الجنزوري(1933-2021)(Periode ke-2),7 Desember 2011,2 Agustus 2012,Independen
97,52,,Hesham Qandilهشام قنديل(lahir 1962),2 Agustus 2012,3 Juli 2013(digulingkan)[14],Independen
98,—,,Hazem Al Beblawiحازم الببلاوي(lahir 1936)(penjabat),16 Juli 2013,1 Maret 2014,Independen
99,53,,Ibrahim Mahlabإبراهيم محلب(lahir 1949),17 Juni 2014Penjabat sejak 1 Maret 2014,19 September 2015,Independen
100,54,,Sherif Ismailشريف إسماعيل(lahir 1955),19 September 2015,Petahana,Independen
