,P e m e r i n t a h,A w a l   d a f t a r,P a r t a i D i t a m p i l k a n,J a n g k a   w a k t u   [ 1 ],P e j a b a t
84,Latvia (Daftar),1918,ya,tanggal,Valdis Dombrovskis
85,Lebanon (Daftar),1926,-,tanggal,Najib Mikati
86,Lesotho (Daftar),1965,ya,tanggal,Pakalitha Mosisili
87,Libya (Daftar),1951,-,tanggal,Baghdadi Mahmudi/Mahmoud Jibril (disputed)
88,Liechtenstein (Daftar),1921,ya,tanggal,Klaus Tschütscher
89,Lituania (Daftar),1918,ya,tanggal,Andrius Kubilius
90,Luksemburg (Daftar),1959,-,tahun,Xavier Bettel
91,Makedonia Utara (Daftar),1943,ya,tanggal,Nikola Gruevski
92,Madagaskar (Daftar),1833,-,tanggal,Albert Camille Vital
93,Malawi (Daftar),1963,ya,tanggal,(Post abolished)
94,Malaysia (Daftar),1957,ya,tanggal,Ismail Sabri Yaakob
95,Mali (Daftar),1957,ya,tanggal,Cissé Mariam Kaïdama Sidibé
96,Malta (Daftar),1921,ya,tahun,Lawrence Gonzi
97,Pulau Man (Daftar),1986,-,tahun,Tony Brown
98,Mauritania (Daftar),1957,ya,tanggal,Moulaye Ould Mohamed Laghdaf
99,Mauritius (Daftar),1961,ya,tanggal,Navin Ramgoolam
100,Moldova (Daftar),1990,-,tanggal,Vlad Filat
101,Monako (Daftar),1911,,tanggal,Michel Roger
102,Mongolia (Daftar),1912,ya,tanggal,Sükhbaataryn Batbold
103,Montenegro (Daftar),1879,ya,tanggal,Igor Lukšić
104,Montserrat (Daftar),1960,ya,tanggal,Reuben Meade
105,Maroko (Daftar),1955,ya,tahun,Abbas El Fassi
106,Mozambik (Daftar),1974,ya,tanggal,Aires Ali
107,Nagorno-Karabakh (Daftar),1992,tidak,tanggal,Arayik Harutyunyan
108,Namibia (Daftar),1990,ya,tanggal,Nahas Angula
109,Nepal (Daftar),1953,-,tanggal,Baburam Bhattarai
110,Belanda (Daftar),1848,ya,tanggal,Mark Rutte
111,Selandia Baru (Daftar),1856,ya,tanggal,John Key
112,Niger (Daftar),1958,ya,tanggal,Brigi Rafini
113,Niue (Daftar),1974,-,tanggal,Toke Talagi
114,Pulau Norfolk (Daftar),1896,-,tanggal,David Buffett
115,Norwegia (Daftar),1814,ya,tahun,Jens Stoltenberg
116,Pakistan (Daftar),1947,-,tanggal,Nawaz Sharif
117,Palestina (Daftar),2003,ya,tanggal,Rami Hamdallah/Ismail Haniyah
118,Papua Nugini (Daftar),1975,ya,tahun,Peter O'Neill
119,Peru (Daftar),1975,ya,tanggal,Salomón Lerner Ghitis
120,Polandia (Daftar),1917,-,tanggal,Ewa Kopacz
121,Portugal (Daftar),1834,ya,tanggal,Pedro Passos Coelho
122,Qatar (Daftar),1970,-,tanggal,Hamad ibn Jassim ibn Jabr Al Thani
123,Rumania (Daftar),1862,-,tahun,Victor Ponta
124,Rusia (Daftar),1864/1905,ya,tanggal,Dmitry Medvedev
125,Rwanda (Daftar),1960,ya,tanggal,Bernard Makuza
126,Saint Kitts dan Nevis (Daftar),1960,-,tanggal,Denzil Douglas
127,Saint Lucia (Daftar),1960,-,tanggal,Stephenson King
128,Saint Vincent dan Grenadine (Daftar),1956,-,tanggal,Ralph Gonsalves
129,Samoa (Daftar),1875,ya,tanggal,Tuilaepa Aiono Sailele Malielegaoi
130,Sao Tome dan Principe (Daftar),1974,ya,tanggal,Patrice Trovoada
131,Arab Saudi (Daftar),1953,tidak,tanggal,Salman bin Abdul Aziz
132,Senegal (Daftar),1957,ya,tanggal,Souleymane Ndéné Ndiaye
133,Serbia (Daftar),1805,ya,tahun,Aleksandar Vučić
134,Singapura (Daftar),1959,-,tanggal,Lee Hsien Loong
135,Sint Maarten (Daftar),2010,-,tanggal,Sarah Wescot-Williams
136,Slowakia (Daftar),1918,-,tanggal,Iveta Radičová
137,Slovenia (Daftar),1943,ya,tahun,Borut Pahor
138,Kepulauan Solomon (Daftar),1949,ya,tanggal,Danny Philip
139,Somalia (Daftar),1949,ya,tanggal,Abdiweli Mohamed Ali
140,Ossetia Selatan (Daftar),1991,-,tanggal,Vadim Brovtsev
141,Spanyol (Daftar),1705,ya,tahun,Mariano Rajoy
142,Sri Lanka (Daftar),1948,-,tanggal,D. M. Jayaratne
143,Eswatini (Daftar),1967,-,tahun,Barnabas Sibusiso Dlamini
144,Swedia (Daftar),1876,ya,tahun,Stefan Löfven
145,Suriah (Daftar),1920,-,tanggal,Adel Safar
146,Taiwan (Republik Tiongkok) (Daftar),1911,-,tanggal,Wu Den-yih
147,Tajikistan (Daftar),1924,-,tanggal,Okil Okilov
148,Tanzania (Daftar),1960,ya,tanggal,Mizengo Pinda
149,Thailand (Daftar),1932,ya,tanggal,Yingluck Shinawatra
150,Togo (Daftar),1956,ya,tanggal,Gilbert Houngbo
151,Tokelau (Daftar),1992,-,tanggal,Foua Toloa
152,Tonga (Daftar),1876,-,tahun,Sialeʻataongo Tuʻivakanō
153,Trinidad dan Tobago (Daftar),1956,-,tanggal,Kamla Persad-Bissessar
154,Tunisia (Daftar),1969,-,tanggal,Beji Caid el Sebsi
155,Turki (Daftar),1920,ya,tanggal,tidak lagi ada
156,Kepulauan Turks dan Caicos (Daftar),1976,ya,tanggal,vacant
157,Tuvalu (Daftar),1975,,tanggal,Willy Telavi
158,Uganda (Daftar),1961,ya,tanggal,Amama Mbabazi
159,Ukraina (Daftar),1917,-,tanggal,Arseniy Yatsenyuk
160,Uni Emirat Arab (Daftar),1971,-,tahun,Sheikh Mohammed bin Rashid Al Maktoum
161,Britania Raya (Daftar),1721,ya,tanggal,Theresa May
162,Uzbekistan (Daftar),1924,-,tanggal,Shavkat Mirziyoyev
163,Vanuatu (Daftar),1980,ya,tanggal,Sato Kilman
164,Vatikan (Daftar),1644,-,tahun,Pietro Parolin
165,Vietnam (Daftar),1976,ya,tanggal,Nguyễn Tấn Dũng
166,Yaman (Daftar),1990,ya,tahun,Ali Muhammad Mujawar
167,Sahara Barat (Daftar),1976,tidak,tahun,Abdelkader Taleb Oumar
168,Zambia (Daftar),1964,ya,tanggal,(Post abolished)
169,Zimbabwe (Daftar),1923,-,tanggal,Morgan Tsvangirai
