,R a n k,N e g a r a   /   W i l a y a h,L u a s   T o t a l   ( k m 2 ),L u a s   D a r a t a n   ( k m 2 ),L u a s   P e r a i r a n   ( k m 2 ),%   p e r a i r a n,N o t e s
10,,Argentina,2.780.400,2.736.690,43.710,157,"Negara berbahasa Spanyol terbesar dan negara terbesar kedua di Amerika Selatan.Tidak termasuk klaim Argentina di Antarktika (969.000 km2), Kepulauan Falkland (12.173 km2), serta Georgia Selatan dan Kepulauan Sandwich Selatan (3.903 km2)."
11,,Kazakhstan,2.724.900,2.699.700,25.200,092,"Negara terkurung daratan terbesar.[9] Negara berbahasa Rusia terbesar kedua, setelah Rusia. Negara terbesar di Asia Tengah. Negara lintas benua yang terletak di Asia dan Eropa."
12,,Aljazair,2.381.741,2.381.741,0,000,"Negara terbesar di Afrika, Dunia Arab dan Basin Mediterania.Luas perairan internal secara resmi dilaporkan 0,[10] meskipun beberapa danau musiman dan waduk permanen terdapat di negara ini."
13,,Republik Demokratik Kongo,2.344.858,2.267.048,77.810,332,Negara berbahasa Prancis terbesar juga memiliki kota berbahasa Prancis terbesar (Kinshasa). Negara terbesar di Afrika bagian tengah dan Afrika Sub-Sahara. Negara terbesar kedua di Afrika.
14,,Kerajaan Denmark,2.220.093,2.220.072,21,000,"Data PBB tidak menyantumkan keseluruhan wilayah kerajaan, yang terdiri atas Denmark, Greenland, dan Kepulauan Faroe."
15,,Greenland(Denmark),2.166.086,2.166.086[Note 2],0 (0),0,"Wilayah otonomi di Kerajaan Denmark.Pulau terbesar di dunia, sebanyak 81% dari luas daratan pulau ditutupi oleh es."
16,,Arab Saudi,2.149.690,2.149.690,0,000,"Negara terbesar di Asia Barat. Negara terbesar kedua di Dunia Arab, setelah Aljazair."
17,,Meksiko,1.964.375,1.943.945,20.430,104,"Negara berbahasa Spanyol terbesar kedua berdasarkan luas wilayah, setelah Argentina."
18,,Sudan,1.861.484,1.731.671,129.813,697,Negara terbesar ketiga di Afrika dan terbesar ketiga di Dunia Arab.[12]
19,,Libya,1.759.540,1.759.540,0,000,
20,,Iran,1.648.195,1.531.595,116.600,707,"Negara berbahasa Persia terbesar. Negara terbesar kedua di Asia Barat dan negara terbesar keempat di Asia.Luas total berdasarkan data 2007 dan CIA World Factbook. Buku Tahunan Demografi PBB melaporkan luas total sebesar 1.628.750 km2, yang mana merujuk hanya pada luas daratan saja."
21,,Mongolia,1.564.110,1.553.556,10.560,068,Negara terkurung daratan terbesar kedua dan terbesar yang tidak berbatasan dengan laut tertutup.
22,,Peru,1.285.216,,5.220,041,Negara berbahasa Spanyol terbesar ketiga dan negara terbesar ketiga di Amerika Selatan.
23,,Chad,1.284.000,1.259.200,24.800,193,Negara terkurung daratan terbesar ketiga dan terbesar di luar Asia. Negara terbesar kelima di Afrika.
24,,Niger,1.267.000,1.266.700,300,002,Negara terbesar di Afrika Barat.
25,,Angola,1.246.700,1.246.700,0,000,
26,,Mali,1.240.192,1.220.190,20.002,161,
27,,Afrika Selatan,1.221.037,1.214.470,4.620,038,Negara terbesar di Afrika bagian Selatan.
28,,Kolombia,1.141.748,1.038.700,100.210,880,
29,,Etiopia,1.104.300,1.000.000,104.300,070,Negara terbesar di Afrika Timur.Tidak termasuk Segitiga Ilemi (14.000 km2).
30,,Bolivia,1.098.581,1.083.301,15.280,139,
31,,Mauritania,1.030.700,1.025.520,4.480,044,
32,,Mesir,1.002.450,995.450,6.000,060,Negara lintas benua yang terletak di Asia dan Afrika.
33,,Tanzania,945.087,885.800,61.500,649,
34,,Nigeria,923.768,910.768,13.000,141,
35,,Venezuela,916.445,882.050,30.000,329,Tidak termasuk klaim pada Guayana Esequiba (160.000 km2).
36,,Pakistan,907.843,882.623,25.220,286,"Sumber internasional memasukkan data wilayah Kashmir yang dikelola Pakistan: Azad Kashmir (13.297 km2) dan Gilgit-Baltistan (72.971 km2) dalam luas wilayah Pakistan.[13] Dengan memasukkan klaim Pakistan atas wilayah Jammu dan Kashmir (42.241 km2) dan Ladakh (59.146 km2) yang dikelola India, akan menghasilkan luas total 1.009.230 km2.Dengan tidak memasukkan semua wilayah sengketa Kashmir (termasuk wilayah yang dikelola Pakistan), akan menghasilkan luas total 821.575 km2."
37,,Namibia,825.615,823.290,2.425,012,
38,,Mozambik,801.590,786.380,13.000,163,
39,,Turki,783.562,769.632,13.930,178,Negara lintas benua yang terletak di Asia dan Eropa.
40,,Chili,756.102,743.812,12.290,163,Tidak termasuk klaim Chili di Antarktika.
41,,Zambia,752.618,743.398,9.220,123,
42,,Myanmar,676.578,653.508,23.070,341,
43,,Afganistan,652.230,652.230,0,000,
44,,Sudan Selatan,644.329,644.329,0,000,
45,,Prancis,643.801,640.427,3.374,0.52,"Figures include metropolitan France (in Europe) as well as the five overseas regions. This does not include New Caledonia (an autonomous sui generis collectivity), the five autonomous overseas collectivities, and the two uninhabited territories (the French Southern and Antarctic Lands and Clipperton Island) which are listed individually, although also part of the French Republic.[Note 3] Third-largest country in Europe after Russia and Ukraine, and the largest country in the European Union."
46,,Somalia,637.657,627.337,10.320,162,
47,,Republik Afrika Tengah,622.984,622.984,0,000,
48,,Ukraina,603.500,579.300,24.200,401,"Negara terbesar kedua di Eropa, setelah Rusia."
49,,Madagaskar,587.041,581.540,5.501,094,Negara kepulauan terbesar di Afrika dan terbesar kedua di dunia.
50,,Botswana,581.730,566.730,15.000,258,[17]
51,,Kenya,580.367,569.140,11.227,193,
52,,Yaman,555.000,555.000,0,000,Negara terbesar kedua di Semenanjung Arab.[19] Luas wilayah sebelum Perjanjian Jeddah adalah 527.968 km2.
53,,France (metropolitan),543.940 (210.020),,,,Metropolitan France (the part of France located in Europe)
54,,Thailand,513.120,510.890,2.230,043,
55,,Spanyol,505.992,498.980,6.390,126,Negara terbesar di Eropa Selatan dan negara anggota terbesar kedua di Uni Eropa.
56,,Turkmenistan,488.100,469.930,18.170,372,
57,,Kamerun,475.442,472.712,2730,0.57,
58,,Papua Nugini,462.840,452.860,9.980,216,Negara kepulauan terbesar ketiga di dunia.
59,,Swedia,450.295,410.335,39.960,887,Negara terbesar di Eropa Utara. Negara anggota terbesar ketiga di Uni Eropa.
60,,Uzbekistan,447.400,425.400,22.000,4 92,
61,,Maroko,446.550,446.300,250,006,"Tidak termasuk wilayah persengketaan Sahara Barat. Jika seluruh wilayah Sahara Barat dimasukkan (yang mana 2/3 bagiannya dikontrol oleh Maroko), luas totalnya menjadi 710.848 km2 dan akan menempati posisi ke-39."
62,,Irak,438.317,437.367,950,022,"PBB melaporkan luas Irak sebesar 435.244 km2, tidak termasuk 3 provinsi otonomi Kurdistan Irak."
63,,Paraguay,406.752,397.302,9.450,232,
64,,Zimbabwe,390.757,386.847,3.910,100,
65,,Norwegia,385.207,365.957,19.520,500,"Kerajaan Norwegia, termasuk Svalbard dan Jan Mayen, namun tidak termasuk Pulau Bouvet dan klaim Antarktika: Queen Maud Land dan Pulau Peter I."
66,,Jepang,377.976,364.546,13.430,355,Negara kepulauan terbesar di Asia Timur dan terbesae keempat di dunia.[20][21].
67,,Jerman,357.114,348.672,8.350,234,"Negara terbesar di Eropa Tengah. Sebelum Penyatuan kembali Jerman tahun 1990, Jerman Barat memiliki luas 248.577 km2 dan Jerman Timur memiliki luas 108.333 km2."
68,,Republik Kongo,342.000,341.500,500,0.15,
69,,Finlandia,338.425,303.816,34.330,1015,Termasuk Kepulauan Åland (1.552 km2).
70,,Vietnam,331.212,310.070,21.140,638,
71,,Malaysia,330.803,329.613,1.190,035,
72,,Norwegia (daratan utama),323.802,304.282,19.520,603,"Daratan utama Norwegia, tidak termasuk Svalbard, Jan Mayen, dan wilayah dependensi Norwegia."
73,,Pantai Gading,322.463,318.003,4.460,138,
74,,Polandia,312.696,311.888,791,307,
75,,Oman,309.500,309.500,0,000,
76,,Italia,301.340,294.140,7.200,2.39,
77,,Filipina,300.000,298.170,1.830,061,
78,,Ekuador,276.841,256.369,6.720,237,"Mungkin atau tidak termasuk Kepulauan Galápagos (7.880 km2). Data 2007 dan data sekarang oleh CIA, explicitly termasuk Galápagos menjadikan luas sebesar 283.561 km2."
79,,Burkina Faso,274.222,273.602,620,023,[Note 4]
80,,Selandia Baru,270.467,262.443,4.395,165,"Pemerintah Selandia Baru melaporkan luas total sebesar 266.838 km2.[24] CIA World Factbook melaporkan luas total sebesar 267.710 km2. Luas tersebut tidak termasuk Niue, Kepulauan Cook, dan Tokelau, serta klaim Antarktika Dependensi Ross."
81,,Gabon,267.668,257.668,10.000,374,
82,,Republik Demokratik Arab Sahrawi,266.000,266.000,0,000,"Wilayah persengketaan. Kontrol administratif terbatas pada sekitar sepertiga dari wilayah ini, dengan wilayah yang tersisa dikendalikan oleh Maroko."
83,,Guinea,245.857,245.717,140,006,
84,,Britania Raya,242.495,241.930,1.680,069,Negara kepulauan terbesar di Eropa dan Belahan Barat. Tidak termasuk 3 Dependensi Kerajaan (768 km2) dan 14 Wilayah Seberang Laut Britania Raya (1.742.857 km2).
85,,Uganda,241.550,197.100,43.938,1823,
86,,Ghana,238.533,227.533,11.000,461,
87,,Rumania,238.397,231.297,7.100,297,
88,,Laos,236.800,230.800,6.000,253,Negara terkurung daratan satu-satunya di Asia Tenggara.
89,,Guyana,214.969,196.849,18.120,843,
90,,Belarus,207.600,202.900,4.700,226,Negara terkurung daratan terbesar di Eropa.
91,,Kirgizstan,199.951,191.801,8.150,408,
92,,Senegal,196.722,192.530,4.192,213,
93,,Suriah,185.180,183.630,1.550,084,Termasuk bagian dataran tinggi Golan (1.295 km2) yang diduduki oleh Israel.
94,,Kamboja,181.035,176.515,4.520,250,
95,,Uruguay,176.215,175.015,1.200,068,
96,,Somaliland,176.120,,,,"Somaliland tidak memiliki pengakuan internasional, dan seluruh wilayahnya diklaim oleh Somalia."
97,,Suriname,163.820,156.000,7.820,477,Negara terkecil di Amerika Selatan.
98,,Tunisia,163.610,155.570,8.250,504,
99,,Bangladesh,143.998,130.168,,960,Luas wilayah berdasarkan Biro Statistik Bangladesh adalah 147.570 km2.
100,,Nepal,147.181,143.351,3.830,2.60,"Nepal is the largest country in the Himalayan range. The Government of Nepal gives its area as 147.516 kilometer persegi (56.956 sq mi), which includes an additional 335 square kilometers of disputed territory under Indian administration.[25]"
101,,Tajikistan,143.100,141.510,2.590,181,
102,,Yunani,131.957,130.647,1.310,099,
103,,Nikaragua,130.373,119.990,10.380,796,Negara terbesar di Amerika Tengah.
104,,Korea Utara,120.540,120.538,2,011,Tidak termasuk klaim pada Korea Selatan.
105,,Malawi,118.484,94.080,24.404,2060,
106,,Eritrea,117.600,101.000,16.600,1412,
107,,Benin,114.763,114.305,457,040,"Luas wilayah Benin bertambah dari 112.622 km2 menjadi 114.763 km2 following the resolution of the Pulau Lete dispute in 2005.[26] The water area is that reported by the Food and Agriculture Organization[27] and the land area is the difference between these two figures, rounded to the nearest square kilometre."
108,,Honduras,112.090,111.890,200,018,
109,,Liberia,111.369,96.320,15.049,1351,
110,,Bulgaria,111.002,108.612,2.390,216,
111,,Kuba,109.884,109.884,0,000,Negara terbesar di Hindia Barat.
112,,Guatemala,108.889,107.159,1.730,159,
113,,Islandia,103.000,100.250,2.750,267,
114,,Korea Selatan,100.210,99.909,301,030,Tidak termasuk klaim pada Korea Utara.
115,,Hongaria,93.028,89.608,3.420,368,
116,,Portugal,92.226,91.119,1.107,120,
117,,Yordania,89.342,88.802,540,060,
118,,Serbia,88.361,88.246,115,013,"The largest Serbo-Croatian-speaking country. The figure shown includes the area of Kosovo and Metohija, which is de facto independent from Serbia as the Republic of Kosovo (10.887 km2 or 4.203 sq mi). The area of Serbia without Kosovo is 77.474 km2 (29.913 sq mi)."
119,,Azerbaijan,86.600,86.100,500,013,"Negara terbesar di Kaukasus. Negara lintas benua yang terletak di Asia dan Eropa.Luas wilayah termasuk Republik Nagorno-Karabakh (3.000 km2), yang secara de facto merdeka dari Azerbaijan."
120,,Austria,83.871,82.445,1.426,170,
121,,Uni Emirat Arab,83.600,83.600,0,000,
122,,Republik Ceko,78.871,77.199,1.672,212,
123,,Panama,75.420,74.340,1.080,143,Negara lintas benua yang terletak di Amerika Utara dan Amerika Selatan.
124,,Sierra Leone,71.740,71.620,120,017,
125,,Irlandia,70.273,68.883,1.390,198,Luas ini merupakan luas Republik Irlandia; sedangkan Pulau Irlandia memiliki luas 84.421 km2.[28]
126,,Georgia,69.700,69.700,0,000,"Negara lintas benua yang terletak di Asia dan Eropa. Luas ini termasuk luas Abkhazia (8.660 km2)[29] dan Ossetia Selatan (3.900 km2),[30] yang keduanya secara de facto merdeka dari Georgia."
127,,Sri Lanka,65.610,62.732,2.878,439,
128,,Lituania,65.300,62.680,2.620,401,
129,,Latvia,64.559,62.249,2.340,362,
130,,Svalbard (Norwegia),62.045 (23.956),62.045 (23.956),0 (0),0,[Note 5]
131,,Togo,56.785 (21.925),54.385 (20.998),2.400 (930),4.23,
132,,Kroasia,56.594 (21.851),55.974 (21.612),620 (240),1.1,
133,,Bosnia dan Herzegovina,51.209 (19.772),51.187 (19.763),"10 (3,9)",0.02,
134,,Kosta Rika,51.100 (19.700),51.060 (19.710),40 (15),0.08,
135,,Slovakia,49.037 (18.933),48.105 (18.573),930 (360),1.9,
136,,Republik Dominika,48.671 (18.792),48.320 (18.660),350 (140),0.72,
137,,Estonia,45.227 (17.462),42.388 (16.366),2.840 (1.100),6.28,
138,,Denmark,43.094,42.434,660,153,"Hanya wilayah Denmark saja, tidak termasuk wilayah otonomi di Kerajaan Denmark."
139,,Belanda,41.543,33.893,7.650,1841,"Termasuk special municipalities, namun tidak termasuk negara konstituen di Kerajaan Belanda. Data for the Netherlands is from the Central Bureau of Statistics.[31] Sumber menyebutkan luas Belanda di Eropa sebesar 41.528 km2 dan tiga special municipalities sebesar 322 km2.[32] Jika ditambahkan negara konstituen Aruba, Curaçao dan Sint Maarten, luas total Kerajaan Belanda adalah 42.508 km2."
140,,Swiss,41.284 (15.940),39.997 (15.443),1.280 (490),3.1,[Note 6]
141,,Bhutan,38.394 (14.824),38.394 (14.824),0 (0),0,
142,,Taiwan,36.193,32.260,3.720,1034,"Pada tahun 1945-1949, Republik Cina termasuk Daratan utama Cina, Mongolia, Taiwan dan wilayah lainnya, dengan total luas 11.418.174 km2.[Note 7]"
143,,Guinea-Bissau,36.125 (13.948),28.120 (10.860),8.005 (3.091),22.16,
144,,Moldova,33.851,32.891,960,284,"Luas ini termasuk Transnistria dan Gagauzia (4.163 km2), yang secara de facto merdeka dari Moldova."
145,,Belgia,30.528 (11.787),30.278 (11.690),250 (97),0.82,
146,,Lesotho,30.355 (11.720),30.355 (11.720),0 (0),0,
147,,Armenia,29.743 (11.484),28.342 (10.943),1.401 (541),4.71,
148,,Kepulauan Solomon,28.896 (11.157),27.986 (10.805),910 (350),3.15,
149,,Albania,28.748 (11.100),27.398 (10.578),1.350 (520),4.7,
150,,Guinea Khatulistiwa,28.051 (10.831),28.051 (10.831),0 (0),0,
151,,Burundi,27.834 (10.747),25.680 (9.920),2.150 (830),7.73,
152,,Haiti,27.750 (10.710),27.560 (10.640),190 (73),0.68,
153,,Rwanda,26.338 (10.169),24.668 (9.524),1.670 (640),6.34,
154,,Makedonia Utara,25.713 (9.928),25.433 (9.820),280 (110),1.09,
155,,Djibouti,23.200 (9.000),23.180 (8.950),"20 (7,7)",0.09,
156,,Belize,22.966 (8.867),22.806 (8.805),160 (62),0.7,
157,,El Salvador,21.041 (8.124),20.721 (8.000),320 (120),1.52,Smallest country in the continental Americas.
158,,Israel,20.770,20.330,440,212,"Biro Statistik Pusat Israel melaporkan luas sebesar 22.072 km2, yang termasuk Dataran Tinggi Golan (1.200 km2) dan Yerusalem Timur (70 km2), yang secara internasional diakui sebagai bagian dari Israel."
159,,Slovenia,20.273 (7.827),20.151 (7.780),122 (47),0.6,
160,,Kaledonia Baru(Prancis),18.575,18.275,300,162,Wilayah jajahan Sui generis Prancis.
161,,Fiji,18272,18272,0,000,
162,,Kuwait,17.818,17.818,0,000,
163,,Eswatini,17.364,17.204,160,092,
164,,Timor Leste,14.919,14.919,0,000,
165,,Bahama,13.880,10.010,3.870,2788,
166,,Montenegro,13.812,13.452,360,261,
167,,Vanuatu,12.189,12.189,0,000,
168,,Kepulauan Falkland(Britania Raya),12.173,12.173,0,000,Wilayah seberang laut Britania Raya.
169,,Qatar,11.586,11.586,0,000,
170,,Gambia,11.295,10.000,1.295,1147,
171,,Jamaika,10.991,10.831,160,146,
172,,Kosovo,10.887,,,,"Kosovo memiliki pengakuan internasional terbatas, dan seluruh wilayahnya diklaim oleh Serbia."
173,,Lebanon,10.452,10.230,170,1.63,
174,,Siprus,9.251,9.241,10,011,"Termasuk negara yang tidak diakui tetapi secara de facto merdeka, Siprus Utara (3.355 km2), zona penyangga PBB (346 km2), serta Akrotiri dan Dhekelia (254 km2)."
175,,Puerto Riko(Amerika Serikat),9.104,9.104,,35.2,Wilayah taktergabung Amerika Serikat.
176,,Abkhazia,8.660,,,,"Abkhazia memiliki pengakuan internasional terbatas, dan seluruh wilayahnya diklaim oleh Georgia."
177,,French Southern Territories (Prancis),7.747 (2.991),7.668 (2.961),798 (308),1.03,Excludes claim on Adélie Land in Antarctica.[Note 8]
178,,Kepulauan Terluar Kecil Amerika Serikat(Amerika Serikat),6.971,34,6.937,9968,Wilayah taktergabung Amerika Serikat.
179,,Palestina,6.220,6.000,220,354,"CIA melaporkan luas Tepi Barat (5.860 km2) dan Jalur Gaza (360 km2) secara terpisah. Luas Tepi Batat termasuk Yerusalem Timur dan wilayah Yerusalem tanpa penduduk, namun tidak termasuk Gunung Scopus."
180,,Brunei Darussalam,5.765,5.265,500,867,
181,,Trinidad dan Tobago,5.128,5.128,0,000,
182,,Polinesia Prancis(Prancis),4.167,3.827,340,816,Jajahan seberang laut Prancis.
183,,Transnistria,4.163,,,,"Transnistria memiliki pengakuan internasional terbatas, dan seluruh wilayahnya diklaim oleh Moldova."
184,,Tanjung Verde,4.033,4.033,0,000,
185,,Georgia Selatan dan Kepulauan Sandwich Selatan(Britania Raya),3.903,3.903,0,000,Wilayah seberang laut Britania Raya.
186,,Ossetia Selatan,3.900,,,,"Ossetia Selatan memiliki pengakuan internasional terbatas, seluruh wilayahnya diklam oleh Georgia."
187,,Siprus Utara,3.355,,,,Republik Turki Siprus Utara merupakan self-declared state dan diakui hanya oleh Turki.
188,,Artsakh,3.170,,,,"Artsakh atau Nagorno-Karabakh secara internasional diakui sebagai bagian dari Azerbaijan, dan tidak memiliki pengakuan internasional sebagai negara."
189,,Samoa,2.842,2.822,10,035,
190,,Hong Kong(Tiongkok),2.755,1.106,1.649,5985,Hong Kong merupakan daerah administratif khusus Tiongkok.
191,,Luksemburg,2.586,2.586,0,000,Negara terkecil yang bukan negara mikro Eropa atau negara kepulauan.
192,,Bir Tawil (terra nullius),2.060 (800),2.060 (800),0 (0),0,
193,,Mauritius,2.040 (790),2.030 (780),"10 (3,9)",0.49,[Note 9]
194,,Komoro,1.862,1.862,0,000,[Note 10]
195,,Gagauzia,1.832,"1.829,65",235,,Wilayah otonomi Moldova yang memisahkan diri secara sepihak.
196,,Kepulauan Åland(Finlandia),1.580,,,,"Wilayah otonomi Finlandia, dan bagian dari Uni Eropa."
197,,Faroe Islands(Denmark),1.393,1.393,,,Wilayah otonomi di Kerajaan Denmark.
198,,Sao Tome dan Principe,964,964,0,000,
199,,Kepulauan Turks dan Caicos(Britania Raya),948,948,0,000,Wilayah seberang laut Britania Raya.
200,,Kiribati,811,811,0,000,Luas ini berdasarkan CIA World Factbook dan merujuk pada luas daratan saja. Data PBB tidak memasukkan 84 km2 wilayah yang tidak dihuni.
201,,Bahrain,778,778,0,000,
202,,Dominika,751,751,0,000,
203,,Tonga,747,717,30,402,
204,,Singapura,726,716,10,143,
205,,Federasi Mikronesia,702,702,,,
206,,Saint Lucia,616,606,10,162,Luas ini berdasarkan CIA Factbook. Data PBB menyebutkan 539 km2 yang mana hanya merujuk pada daerah yang dihuni saja.
207,,Pulau Man(Britania Raya),572,572,0,000,Dependensi kerajaan Britania Raya.
208,,Guam(Amerika Serikat),549,549,0,000,Wilayah taktergabung Amerika Serikat.
209,,Andorra,468,468,0,000,Negara mikro Eropa.
210,,Kepulauan Mariana Utara(Amerika Serikat),464,464,0,000,Wilayah taktergabung Amerika Serikat.
211,,Palau,459,459,0,000,
212,,Seychelles,455,455,0,000,Negara terkecil di Afrika.
213,,Curaçao(Belanda),444,444,0,000,Negara konstituen di Kerajaan Belanda.
214,,Antigua dan Barbuda,442,442,0,000,
215,,Barbados,431,431,0,000,
216,,Pulau Heard dan Kepulauan McDonald(Australia),412,412,0,000,Wilayah luar negeri Australia.
217,,Saint Vincent dan the Grenadines,389,389,0,000,
218,,Jan Mayen (Norway),377 (146),377 (146),0 (0),0,
219,,Kepulauan Virgin Amerika Serikat(Amerika Serikat),347,346,1.564,8188,Wilayah taktergabung Amerika Serikat.
220,,Grenada,344,344,0,000,
221,,Malta,316,316,0,000,Negara mikro Eropa. Negara anggota Uni Eropa terkecil]].
222,,"Saint Helena, Ascension dan Tristan da Cunha(Britania Raya)",308,308,0,000,"Wilayah seberang laut Britania Raya.Luas total Saint Helena adalah 122 km2, Pulau Ascension adalah 88 km2, dan Tristan da Cunha adalah 98 km2."
223,,Maladewa,298,298,0,000,Negara terkecil di Asia.
224,,Bonaire (Netherlands),294 (114),294 (114),0 (0),0,[Note 11]
225,,Kepulauan Cayman(Britania Raya),264,264,0,000,Wilayah seberang laut Britania Raya.
226,,Saint Kitts dan Nevis,261,261,0,000,Negara terkecil di Amerika dan Belahan Barat.
227,,Niue (Selandia Baru),260,260,0,000,Negara dalam asosiasi bebas dengan Selandia Baru.
228,,Akrotiri dan Dhekelia(Britania Raya),254,,,,Wilayah seberang laut Britania Raya.
229,,Saint Pierre dan Miquelon(Prancis),242,242,0,000,Jajahan seberang laut Prancis.
230,,Kepulauan Cook(Selandia Baru),236,236,0,000,Negara dalam asosiasi bebas dengan Selandia Baru.
231,,Samoa Amerika(Amerika Serikat),199,199,0,000,Wilayah taktergabung Amerika Serikat.
232,,Kepulauan Marshall,181,181,1.1673,9847,
233,,Aruba(Belanda),180,180,0,0,Negara konstituen di Kerajaan Belanda.
234,,Liechtenstein,160,160,0,000,Negara mikro Eropa.
235,,Kepulauan Virgin Britania Raya(Britania Raya),151,151,0,000,Wilayah seberang laut Britania Raya.
236,,Wallis dan Futuna(Prancis),142,142,0,000,Jajahan seberang laut Prancis.
237,,Pulau Natal(Australia),135,135,0,000,Wilayah luar negeri Australia.
238,,Jersey(Britania Raya),116,116,0,000,Dependensi kerajaan Britania Raya.
239,,Montserrat(Britania Raya),102,102,0,000,Wilayah seberang laut Britania Raya.
240,,Anguilla(Britania Raya),91,91,0,000,Wilayah seberang laut Britania Raya.
241,,Guernsey(Britania Raya),78,78,0,000,Dependensi kerajaan Britania Raya.
242,,San Marino,61,61,0,000,Negara mikro Eropa.
243,,Teritori Samudra Hindia Britania(Britania Raya),60,60,54.340,9989,Wilayah seberang laut Britania Raya.
244,,Saint Martin(Prancis),54,54,,,Jajahan seberang laut Prancis.
245,,Bermuda(Britania Raya),54,54,0,000,Wilayah seberang laut Britania Raya.
246,,Bouvet Island (Norway),49 (19),49 (19),0 (0),0,[Note 12]
247,,Kepulauan Pitcairn(Britania Raya),47,47,0,000,Wilayah seberang laut Britania Raya.[Note 13]
248,,Pulau Norfolk(Australia),36,36,0,000,Wilayah luar negeri Australia.
249,,Sint Maarten(Belanda),34,34,0,000,Negara konstituen di Kerajaan Belanda.
250,,Makau(Tiongkok),313,282,0,000,Makau merupakan daerah administratif khusus Tiongkok. Luas ini termasuk kampus baru Universitas Makau di Hengqin.
251,,Tuvalu,26,26,0,000,
252,,Nauru,21,21,0,000,Negara kepulauan terkecil dan negara terkecil yang bukan negara kota.
253,,Saint Barthélemy(Prancis),21,,,,Jajahan seberang laut Prancis.
254,,Sint Eustatius (Netherlands),"21 (8,1)",not determined,not determined,not determined,[Note 11]
255,,Kepulauan Cocos (Keeling)(Australia),14,14,0,000,Wilayah luar negeri Australia.
256,,Saba(Belanda),13,,,,
257,,Tokelau(Selandia Baru),12,12,0,000,Wilayah dependensi Selandia Baru.
258,,Gibraltar(Britania Raya),6,6,0,000,Wilayah seberang laut Britania Raya.
