,N a m a,I S O   6 3 9 - 3,J u m l a h   p e n u t u r,D i a l e k,S u m b e r
51,Tajio,tdj,12.0,-,Ethnologue
52,Taloki,tlk,500.0,-,Ethnologue
53,Tolaki,lbw,281.0,"Wiwirano (Nohina), Asera (Asera Wanua, Noie), Konawe (Kendari, Tambuoki, Kioki), Mekongga (Kolaka, Bingkokak, Norio, Tamboki, Konio), Laiwui",Ethnologue
54,Tomadino,tdi,600.0,-,Ethnologue
55,Tombelala,ttp,1.1,-,Ethnologue
56,Tomini,txm,30.0,-,Ethnologue
57,Topoiyo,toy,2.0,-,Ethnologue
58,Totoli,txe,25.0,"Binontoan, Lakuan, Lalos, Kalangkangan, Nopi, Tambun",Ethnologue
59,Tukang Besi Selatan,bhq,130.0,"Binongko, Bonerate, Tomea (Tomia)",Ethnologue
60,Tukang Besi Utara,khc,120.0,"Kaledupa (Kahedupa), Wanci (Wanji, Wanje, Wangi- Wangi)",Ethnologue
61,Uma,ppk,20.0,"Winatu (Uma utara), Tobaku (Uma barat, Dompa, Ompa), Tolee' (Uma timur), Kantewu (Uma tengah), Aria (Uma selatan), Benggaulu (Bingkolu), Bana",Ethnologue
62,Waru,wru,350.0,"Waru, Lalomerui",Ethnologue
63,Wawonii,wow,22.0,"Wawonii, Menui",Ethnologue
64,Wolio,wlo,65.0,-,Ethnologue
65,Wotu,wtw,5.0,-,Ethnologue
