,P e r i n g k a t,Δ   P e r i n g k a t,N e g a r a,T i p e   r e z i m,P l u r a l i s m e   d a n   p r o s e s   p e m i l u,B e r f u n g s i n y a   p e m e r i n t a h a n,P a r t i s i p a s i   p o l i t i k,B u d a y a   p o l i t i k,K e b e b a s a n   s i p i l,S k o r   k e s e l u r u h a n,Δ   S k o r
30,30,,Amerika Serikat,Demokrasi tidak sempurna,9.17,6.43,8.89,6.25,8.53,7.85,0.07
31,31,4,Slovenia,Demokrasi tidak sempurna,9.58,7.14,7.22,6.25,8.53,7.75,0.21
32,32,2,Botswana,Demokrasi tidak sempurna,9.17,6.79,6.67,7.50,8.53,7.73,
33,33,,Malta,Demokrasi tidak sempurna,9.17,7.14,5.56,8.13,8.53,7.70,0.13
34,34,3,Italia,Demokrasi tidak sempurna,9.58,6.79,7.22,7.50,7.35,7.69,0.01
35,35,3,Tanjung Verde,Demokrasi tidak sempurna,9.17,7.00,6.67,6.88,8.53,7.65,
36,36,,Belgia,Demokrasi tidak sempurna,9.58,8.21,5.00,6.88,8.53,7.64,0.13
37,37,,Siprus,Demokrasi tidak sempurna,9.17,5.36,6.67,6.88,8.82,7.38,0.05
38,38,,Latvia,Demokrasi tidak sempurna,9.58,6.07,6.11,6.25,8.82,7.37,0.06
39,39,1,Lituania,Demokrasi tidak sempurna,9.58,6.43,6.11,5.63,8.82,7.31,0.13
40,40,1,Malaysia,Demokrasi tidak sempurna,9.58,7.86,7.22,6.25,5.59,7.30,0.06
41,41,,Trinidad dan Tobago,Demokrasi tidak sempurna,9.58,7.14,6.11,5.63,7.35,7.16,
42,42,,Jamaika,Demokrasi tidak sempurna,8.75,7.14,5.00,6.25,8.53,7.13,
43,43,2,Slowakia,Demokrasi tidak sempurna,9.58,6.07,5.56,5.63,8.53,7.07,0.04
44,44,1,Timor Leste,Demokrasi tidak sempurna,9.58,5.93,5.56,6.88,7.35,7.06,
45,45,1,Afrika Selatan,Demokrasi tidak sempurna,7.42,7.14,8.33,5.00,7.35,7.05,
46,46,,India,Demokrasi tidak sempurna,8.67,7.50,7.22,5.63,6.18,7.04,0.13
47,46,5,Polandia,Demokrasi tidak sempurna,9.17,6.07,6.67,6.25,7.06,7.04,0.24
48,48,1,Suriname,Demokrasi tidak sempurna,9.58,6.43,6.11,5.00,7.65,6.95,0.13
49,49,1,Panama,Demokrasi tidak sempurna,9.58,6.07,7.22,3.75,7.94,6.91,0.06
50,50,,Argentina,Demokrasi tidak sempurna,9.17,5.00,7.78,4.38,7.94,6.85,0.04
51,51,4,Brasil,Demokrasi tidak sempurna,9.58,5.00,6.67,5.00,7.65,6.78,0.08
52,52,2,Filipina,Demokrasi tidak sempurna,9.17,5.00,7.78,4.38,7.35,6.73,0.11
53,53,6,Kolombia,Demokrasi tidak sempurna,9.17,6.07,6.67,3.75,7.94,6.72,0.24
54,54,2,Indonesia,Demokrasi tidak sempurna,7.92,7.86,7.22,4.38,6.18,6.71,
55,55,17,Thailand,Demokrasi tidak sempurna,7.42,6.07,8.33,5.63,5.88,6.67,0.63
56,56,,Hongaria,Demokrasi tidak sempurna,8.33,6.79,4.44,6.88,6.76,6.64,0.14
57,57,4,Bulgaria,Demokrasi tidak sempurna,9.17,5.36,6.11,4.38,7.65,6.53,0.11
58,58,3,Namibia,Demokrasi tidak sempurna,7.00,5.36,6.67,5.63,7.94,6.52,
59,59,3,Kroasia,Demokrasi tidak sempurna,9.17,6.07,6.11,4.38,6.76,6.50,
60,60,7,Sri Lanka,Demokrasi tidak sempurna,7.00,5.71,7.22,6.25,6.18,6.47,0.33
61,61,13,Montenegro,Demokrasi tidak sempurna,7.42,6.79,7.22,3.75,7.06,6.45,0.43
62,61,,Rumania,Demokrasi tidak sempurna,9.17,6.43,5.56,3.75,7.35,6.45,0.02
63,63,7,Ghana,Demokrasi tidak sempurna,8.33,5.00,6.67,6.25,5.88,6.43,0.07
64,64,4,Albania,Demokrasi tidak sempurna,7.00,6.43,5.00,6.25,7.35,6.41,0.30
65,65,5,Republik Dominika,Demokrasi tidak sempurna,9.17,5.36,7.22,3.13,7.06,6.39,0.06
66,66,4,Mongolia,Demokrasi tidak sempurna,8.75,5.36,6.11,5.63,5.88,6.35,0.07
67,67,2,Guyana,Demokrasi tidak sempurna,6.92,6.07,6.67,5.00,7.06,6.34,0.09
68,68,5,Serbia,Demokrasi tidak sempurna,7.83,6.07,6.67,3.75,7.35,6.33,0.03
69,69,,Moldova,Demokrasi tidak sempurna,7.42,5.36,7.22,4.38,6.76,6.23,0.13
70,70,4,Singapura,Demokrasi tidak sempurna,4.83,7.86,4.44,7.50,6.47,6.22,0.01
71,71,7,Lesotho,Demokrasi tidak sempurna,9.17,4.14,5.56,5.63,6.47,6.19,0.11
72,72,1,Makedonia Utara,Demokrasi tidak sempurna,7.83,6.07,6.11,3.13,7.35,6.10,0.07
73,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida,Rezim hibrida
74,73,2,Bangladesh,Rezim hibrida,7.42,6.07,5.56,5.63,5.29,5.99,
75,74,5,Papua Nugini,Rezim hibrida,6.92,6.07,3.89,5.63,7.35,5.97,0.13
76,75,4,Peru,Rezim hibrida,8.75,5.71,5.56,3.13,6.47,5.92,0.17
77,76,2,Malawi,Rezim hibrida,7.00,4.29,5.56,6.25,6.47,5.91,0.17
78,77,,Paraguay,Rezim hibrida,8.75,5.36,6.11,1.88,7.35,5.89,0.03
79,78,1,Zambia,Rezim hibrida,7.92,3.64,5.00,6.88,5.59,5.80,0.08
80,79,9,Senegal,Rezim hibrida,6.58,5.71,4.44,6.25,5.59,5.72,0.19
81,80,3,Madagaskar,Rezim hibrida,7.92,3.57,6.67,5.63,4.71,5.70,
82,81,,Ekuador,Rezim hibrida,8.75,5.00,6.67,1.88,6.18,5.69,0.02
83,82,7,Armenia,Rezim hibrida,7.92,5.71,6.11,3.13,5.29,5.63,0.14
84,83,1,Fiji,Rezim hibrida,6.58,5.00,5.56,5.63,5.00,5.55,0.06
85,84,3,Bhutan,Rezim hibrida,8.75,5.93,3.33,5.00,4.71,5.54,0.17
86,85,10,Tunisia,Rezim hibrida,6.17,4.64,6.11,5.63,5.00,5.51,0.48
87,86,4,Liberia,Rezim hibrida,7.42,2.71,6.11,5.63,5.29,5.43,
88,87,1,Ukraina,Rezim hibrida,6.50,2.71,7.22,6.25,4.41,5.42,0.15
89,88,3,Hong Kong,Rezim hibrida,2.75,3.29,5.56,6.88,7.94,5.28,0.32
90,89,3,Meksiko,Rezim hibrida,6.92,4.64,7.22,1.88,5.59,5.25,0.32
91,90,1,Georgia,Rezim hibrida,7.00,3.57,6.11,3.75,5.59,5.20,0.08
92,91,1,Honduras,Rezim hibrida,8.75,3.93,5.00,2.50,5.59,5.15,0.05
93,92,,Tanzania,Rezim hibrida,4.83,5.00,5.00,6.25,4.41,5.10,
94,93,14,El Salvador,Rezim hibrida,8.33,3.57,5.56,3.13,4.71,5.06,0.66
95,94,,Kenya,Rezim hibrida,3.50,5.36,6.67,5.63,4.12,5.05,
96,95,,Maroko,Rezim hibrida,5.25,4.64,5.56,5.63,4.12,5.04,
97,96,1,Sierra Leone,Rezim hibrida,6.58,2.86,4.44,6.25,5.00,5.03,0.06
98,97,2,Bosnia dan Herzegovina,Rezim hibrida,7.00,4.00,5.00,3.13,5.88,5.00,0.04
99,98,1,Guatemala,Rezim hibrida,6.92,3.93,3.89,2.50,6.18,4.68,0.06
100,99,1,Uganda,Rezim hibrida,3.42,3.57,3.89,6.88,5.00,4.55,0.07
101,100,2,Bolivia,Rezim hibrida,4.75,4.29,6.67,1.25,5.59,4.51,0.14
102,101,,Nepal,Rezim hibrida,4.83,5.36,4.44,2.50,5.29,4.49,0.08
103,102,1,Gambia,Rezim hibrida,4.42,4.29,3.89,5.63,4.12,4.47,0.06
104,103,,Turki,Rezim hibrida,3.50,5.00,5.56,5.63,2.06,4.35,
105,104,2,Benin,Rezim hibrida,1.67,5.71,3.33,6.25,4.41,4.28,0.09
106,105,2,Nigeria,Rezim hibrida,5.17,3.93,3.89,3.75,4.41,4.23,0.12
107,106,1,Pantai Gading,Rezim hibrida,4.33,2.86,4.44,5.63,3.82,4.22,
108,107,3,Pakistan,Rezim hibrida,5.67,5.00,2.78,2.50,4.71,4.13,0.18
109,108,,Mauritania,Rezim hibrida,3.50,3.57,5.56,3.13,4.41,4.03,
110,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian,Rezim Otoritarian
111,109,13,Angola,Otoritarian,4.50,3.21,4.44,5.00,2.65,3.96,0.59
112,110,1,Palestina,Otoritarian,2.92,0.14,8.33,4.38,3.53,3.86,0.08
113,111,1,Kuwait,Otoritarian,3.17,3.93,4.44,4.38,3.24,3.83,0.08
114,112,13,Niger,Otoritarian,2.92,1.50,3.89,5.63,4.71,3.73,0.51
115,113,,Aljazair,Otoritarian,3.08,2.50,3.89,5.00,3.82,3.66,0.11
116,114,,Qatar,Otoritarian,1.50,4.29,3.33,5.63,3.53,3.65,
117,115,4,Lebanon,Otoritarian,3.50,0.79,6.67,3.13,4.12,3.64,0.20
118,116,,Kirgizstan,Otoritarian,4.33,1.50,4.44,3.13,4.71,3.62,
119,117,1,Mozambik,Otoritarian,2.58,1.43,5.00,5.00,3.53,3.51,
120,118,3,Gabon,Otoritarian,2.17,1.86,4.44,5.00,3.53,3.40,
121,119,,Mali,Otoritarian,1.17,0.00,5.56,5.63,3.82,3.23,0.25
122,120,6,Komoro,Otoritarian,2.08,2.21,4.44,3.75,3.53,3.20,
123,121,13,Kamboja,Otoritarian,0.00,3.21,5.00,5.63,2.06,3.18,0.28
124,122,1,Ethiopia,Otoritarian,0.42,2.86,6.11,5.00,1.47,3.17,0.13
125,122,4,Yordania,Otoritarian,2.67,3.21,3.89,3.13,2.94,3.17,0.32
126,124,8,Irak,Otoritarian,5.25,0.00,6.11,3.13,1.18,3.13,0.38
127,125,5,Oman,Otoritarian,0.08,3.93,2.78,5.00,3.82,3.12,0.12
128,126,1,Rwanda,Otoritarian,1.42,4.29,2.78,4.38,2.65,3.10,
129,127,16,Burkina Faso,Otoritarian,0.00,2.50,5.00,4.38,3.53,3.08,0.76
130,127,1,Kazakhstan,Otoritarian,0.50,3.21,5.00,3.75,2.94,3.08,
131,129,1,Eswatini,Otoritarian,0.92,2.50,2.78,5.63,3.24,3.01,0.07
132,130,6,Togo,Otoritarian,0.92,2.14,3.33,5.63,2.94,2.99,0.19
133,131,1,Mesir,Otoritarian,1.33,3.21,3.33,5.00,1.76,2.93,
134,132,1,Zimbabwe,Otoritarian,0.00,2.50,3.89,5.00,3.24,2.92,
135,133,1,Uni Emirat Arab,Otoritarian,0.00,4.29,2.22,5.63,2.35,2.90,
136,134,7,Azerbaijan,Otoritarian,0.50,2.86,3.33,5.00,2.65,2.87,0.19
137,135,16,Haiti,Otoritarian,0.00,0.00,2.78,6.25,5.00,2.81,0.67
138,136,1,Republik Kongo,Otoritarian,0.00,2.50,4.44,3.75,3.24,2.79,
139,137,2,Jibuti,Otoritarian,0.00,1.29,4.44,5.63,2.35,2.74,
140,138,7,Vietnam,Otoritarian,0.00,3.93,3.33,3.75,2.65,2.73,0.21
141,139,3,Kuba,Otoritarian,0.00,3.21,3.33,3.75,2.94,2.65,0.06
142,140,3,Kamerun,Otoritarian,0.33,2.14,3.89,4.38,2.06,2.56,
143,140,2,Guinea-Bissau,Otoritarian,4.00,0.00,3.33,3.13,2.35,2.56,0.19
144,142,2,Bahrain,Otoritarian,0.42,2.71,3.33,4.38,1.76,2.52,
145,143,3,Nikaragua,Otoritarian,0.00,2.14,3.33,4.38,2.65,2.50,0.19
146,144,1,Sudan,Otoritarian,0.00,1.43,4.44,5.00,1.47,2.47,
147,145,2,Guinea,Otoritarian,0.83,0.43,3.33,4.38,2.65,2.32,0.04
148,146,22,Rusia,Otoritarian,0.92,2.14,2.22,3.75,2.35,2.28,0.96
149,147,4,Venezuela,Otoritarian,0.00,1.07,5.56,1.88,2.65,2.23,0.12
150,148,1,Burundi,Otoritarian,0.00,0.00,3.89,5.00,1.76,2.13,
151,149,1,Uzbekistan,Otoritarian,0.08,1.86,2.78,5.00,0.88,2.12,
152,150,2,Arab Saudi,Otoritarian,0.00,3.57,2.22,3.13,1.47,2.08,
153,151,3,Libya,Otoritarian,0.00,0.00,3.89,3.75,2.65,2.06,0.11
154,152,1,Eritrea,Otoritarian,0.00,2.14,0.56,6.88,0.59,2.03,
155,153,7,Belarus,Otoritarian,0.00,0.79,3.33,4.38,1.47,1.99,0.42
156,154,,Iran,Otoritarian,0.00,2.50,3.33,2.50,1.47,1.96,0.01
157,155,1,Yaman,Otoritarian,0.00,0.00,3.89,5.00,0.88,1.95,
158,156,8,Tiongkok,Otoritarian,0.00,3.21,2.78,3.13,0.59,1.94,0.27
159,156,1,Tajikistan,Otoritarian,0.00,2.21,2.22,4.38,0.88,1.94,
160,158,,Guinea Khatulistiwa,Otoritarian,0.00,0.43,3.33,4.38,1.47,1.92,
161,159,,Laos,Otoritarian,0.00,2.86,1.67,3.75,0.59,1.77,
162,160,,Chad,Otoritarian,0.00,0.00,2.22,3.75,2.35,1.67,
163,161,,Turkmenistan,Otoritarian,0.00,0.79,2.22,5.00,0.29,1.66,
164,162,2,Republik Demokratik Kongo,Otoritarian,1.17,0.00,2.22,3.13,0.88,1.48,0.08
165,163,1,Suriah,Otoritarian,0.00,0.00,2.78,4.38,0.00,1.43,
166,164,2,Republik Afrika Tengah,Otoritarian,0.83,0.00,1.67,1.88,2.35,1.35,0.08
167,165,,Korea Utara,Otoritarian,0.00,2.50,1.67,1.25,0.00,1.08,
168,166,,Myanmar,Otoritarian,0.00,0.00,0.56,3.13,0.00,0.74,0.28
169,167,,Afganistan,Otoritarian,0.00,0.07,0.00,1.25,0.29,0.32,
170,Peringkat,Δ Peringkat,Negara,Tipe rezim,Pluralisme dan proses pemilu,Berfungsinya pemerintahan,Partisipasi politik,Budaya politik,Kebebasan sipil,Skor keseluruhan,Δ Skor
