,P e r i n g k a t,N e g a r a ( a t a u   w i l a y a h   d e p e n d e n ),P o p u l a s i,T a n g g a l,%   d a r i   p e n d u d u k   d u n i a,S u m b e r
56,–,Taiwan[catatan 10],23571497,1 April 2018,0.3%,Perkiraan resmi bulanan
57,57,Sri Lanka,21.919.000,1 Juli 2020,0.28%,Perkiraan resmi Diarsipkan 2017-11-17 di Wayback Machine.
58,58,Burkina Faso,21.510.181,1 Juli 2020,0.27%,Proyeksi resmi tahunan Diarsipkan 2016-12-21 di Wayback Machine.
59,59,Mali,20.856.000,1 Juli 2021,0.27%,Proyeksi PBB
60,60,Chili,19.678.362,30 Juni 2021,0.25%,Hasil sensus 2017 definitif atau final
61,61,Rumania,19638000,1 Januari 2021,0.25%,Perkiraan resmi tahunan
62,62,Kazakhstan,19.008.960,"September 27, 2021",0.24%,Perkiraan resmi
63,63,Malawi,18.898.441,1 Juli 2021,0.24%,Proyeksi resmi tahunan
64,64,Zambia,18.400.556,1 Juli 2021,0.23%,Perkiraan resmi tahunan Diarsipkan 2021-02-26 di Wayback Machine.
65,65,Suriah,18270000,1 Juli 2017,0.23%,Proyeksi PBB
66,66,Ekuador,18.200.900,"April 10, 2023",0.232%,Hitungan situs resmi
67,67,Belanda,17.641.431,"September 28, 2021",0.22%,Proyeksi PBB Diarsipkan 2018-10-09 di Wayback Machine.
68,68,Guatemala,16176133,1 Juli 2015,0.21%,Perkiraan resmi Diarsipkan 2014-03-14 di Wayback Machine.
69,69,Kamboja,15848495,1 Juli 2017,0.2%,Perkiraan resmi tahunan
70,70,Senegal,15726037,1 Januari 2018,0.2%,Perkiraan resmi tahunan
71,71,Chad,14900000,1 Juli 2017,0.19%,Proyeksi PBB
72,72,Somalia[catatan 11],14742523,1 Juli 2017,0.19%,Proyeksi PBB
73,73,Zimbabwe,14542235,1 Juli 2017,0.19%,Perkiraan resmi tahunan Diarsipkan 2016-04-28 di Wayback Machine.
74,74,Guinea,11883516,1 Januari 2018,0.15%,Proyeksi resmi
75,75,Sudan Selatan,11868209,1 Juli 2017,0.15%,Perkiraan resmi tahunan Diarsipkan 2019-04-12 di Wayback Machine.
76,76,Rwanda,11809300,1 Juli 2017,0.15%,Proyeksi resmi (medium scenario)
77,77,Tunisia,11446300,1 Juli 2017,0.15%,Perkiraan resmi
78,78,Belgia,11406122,1 April 2018,0.15%,Perkiraan resmi bulanan
79,79,Kuba,11239224,31 Desember 2016,0.14%,Perkiraan resmi tahunan Diarsipkan 2017-07-31 di Wayback Machine.
80,80,Bolivia,11145770,1 Juli 2017,0.14%,Proyeksi resmi
81,81,Benin,11002578,1 Juli 2017,0.14%,Proyeksi resmi
82,82,Haiti,10911819,31 Maret 2015,0.14%,Perkiraan resmi Diarsipkan 2015-11-06 di Wayback Machine.
83,83,Yunani,10768193,1 Januari 2017,0.14%,Perkiraan resmi
84,84,Ceko,10610055,31 Desember 2017,0.14%,Perkiraan resmi triwulanan
85,85,Burundi,10400938,1 Juli 2017,0.13%,Perkiraan resmi tahunan Diarsipkan 2019-04-03 di Wayback Machine.
86,86,Portugal,10309573,31 Desember 2016,0.13%,Perkiraan resmi tahunan
87,87,Republik Dominika,10169172,1 Juli 2017,0.13%,Proyeksi resmi
88,88,Yordania,11.439.100,"April 10, 2023",0.146%,Hitungan situs resmi
89,89,Swedia,10151588,30 April 2018,0.13%,Perkiraan resmi bulanan
90,90,Azerbaijan,9898085,1 Januari 2018,0.13%,Perkiraan resmi
91,91,Hongaria,9771000,1 Januari 2018,0.12%,Perkiraan resmi tahunan
92,92,Belarus,9484300,1 April 2018,0.12%,Perkiraan resmi triwulanan
93,93,Uni Emirat Arab,9400000,1 Juli 2017,0.12%,Proyeksi PBB
94,94,Tajikistan,8931000,1 Januari 2018,0.11%,Perkiraan resmi Diarsipkan 2015-12-11 di Wayback Machine.
95,95,Honduras,8866351,1 Juli 2017,0.11%,Perkiraan resmi tahunan
96,96,Israel,9.678.160,"April 10, 2023",0.123%,Hitungan situs resmi
97,97,Austria,8830487,1 April 2018,0.11%,Angka sementara triwulanan
98,98,Swiss,8482200,31 Desember 2017,0.11%,Angka sementara resmi
99,99,Papua Nugini,8151300,1 Juli 2016,0.1%,Perkiraan resmi tahunan
100,–,Hong Kong (Tiongkok),7409800,1 Januari 2018,0.094%,Perkiraan resmi
101,100,Togo,7178000,1 Juli 2017,0.091%,Perkiraan resmi Diarsipkan 2015-09-08 di Wayback Machine.
102,101,Sierra Leone,7092113,4 Desember 2015,0.09%,Hasil sensus final 2015
103,102,Paraguay,7052983,1 Januari 2018,0.09%,Perkiraan resmi
104,103,Bulgaria,7050034,31 Desember 2017,0.09%,Perkiraan resmi Diarsipkan 2018-11-05 di Wayback Machine.
105,104,Serbia[catatan 12],7040272,1 Januari 2017,0.09%,Perkiraan resmi tahunan
106,105,El Salvador,6581940,1 Juli 2017,0.084%,Proyeksi resmi
107,106,Laos,6492400,1 Maret 2015,0.083%,Hasil awal sensus 2015 Diarsipkan 2020-03-18 di Wayback Machine.
108,107,Libya,6374616,1 Juli 2017,0.081%,Proyeksi PBB
109,108,Nikaragua,6305956,1 Juli 2017,0.08%,Perkiraan resmi[pranala nonaktif permanen]
110,109,Kirgizstan,6140200,1 Januari 2017,0.078%,Perkiraan resmi
111,110,Lebanon,6082000,1 Juli 2017,0.077%,Proyeksi PBB
112,111,Denmark,5785864,1 April 2018,0.074%,Perkiraan resmi triwulanan
113,112,Turkmenistan,5758000,1 Juli 2017,0.073%,Proyeksi PBB
114,113,Singapura,5612300,1 Juli 2017,0.071%,Perkiraan resmi Diarsipkan 2015-11-29 di Wayback Machine.
115,114,Finlandia,5513902,30 April 2018,0.07%,Perkiraan resmi bulanan
116,115,Slowakia,5443120,1 Januari 2018,0.069%,Perkiraan resmi
117,116,Norwegia,5302778,1 April 2018,0.067%,Perkiraan resmi triwulanan
118,117,Republik Kongo,5260750,1 Juli 2017,0.067%,Proyeksi PBB
119,118,Eritrea,5068831,1 Juli 2017,0.065%,Proyeksi PBB
120,119,Kosta Rika,4947490,30 Juni 2017,0.063%,Perkiraan resmi
121,120,Selandia Baru,5.320.780,"April 10, 2023",0.0677%,Hitungan situs resmi
122,121,Palestina,4816503,1 Juli 2016,0.061%,Perkiraan resmi
123,122,Irlandia,4792500,1 April 2017,0.061%,Perkiraan resmi hasil sensus 2017 Diarsipkan 2018-06-16 di Wayback Machine.
124,123,Afrika Tengah,4659080,1 Juli 2017,0.059%,Proyeksi PBB
125,124,Oman,4639678,1 Desember 2017,0.059%,Perkiraan resmi Diarsipkan 2016-10-09 di Wayback Machine.
126,125,Liberia,4289520,1 Juli 2017,0.055%,Proyeksi resmi Diarsipkan 2021-02-24 di Wayback Machine.[catatan 13]
127,126,Kroasia,4154213,31 Desember 2016,0.053%,Perkiraan resmi tahunan
128,127,Panama,4098135,1 Juli 2017,0.052%,Perkiraan resmi
129,128,Kuwait,4082704,1 Januari 2017,0.052%,Perkiraan resmi
130,129,Mauritania,3806719,1 Juli 2017,0.048%,Proyeksi resmi tahunan
131,130,Georgia[catatan 14],3729600,1 Januari 2018,0.047%,Perkiraan resmi tahunan
132,131,Moldova[catatan 15],3550900,1 Januari 2017,0.045%,Perkiraan resmi
133,132,Bosnia dan Herzegovina,3511372,1 Juli 2016,0.045%,Perkiraan resmi Diarsipkan 2018-11-14 di Wayback Machine.
134,133,Uruguay,3493205,30 Juni 2017,0.044%,Proyeksi resmi tahunan
135,–,Puerto Riko (Amerika Serikat),3337177,1 Juli 2017,0.042%,Perkiraan resmi
136,134,Mongolia,3.524.650,"April 10, 2023",0.045%,Hitungan situs resmi Diarsipkan 2018-01-05 di Wayback Machine.
137,135,Armenia,2972900,31 Desember 2017,0.038%,Perkiraan resmi triwulanan
138,136,Albania,2870324,1 Januari 2018,0.037%,Perkiraan resmi tahunan[pranala nonaktif permanen]
139,137,Lituania,2800830,1 Juni 2018,0.036%,Perkiraan resmi bulanan
140,138,Jamaika,2728864,31 Desember 2017,0.035%,Perkiraan resmi
141,139,Qatar,2685053,1 Maret 2018,0.034%,Perkiraan resmi bulanan Diarsipkan 2018-07-01 di Wayback Machine.
142,140,Namibia,2368747,1 Juli 2017,0.03%,Proyeksi resmi
143,141,Lesotho,2233339,1 Juli 2017,0.028%,Proyeksi PBB
144,142,Botswana,2230905,1 Juli 2016,0.028%,Perkiraan resmi tahunan
145,143,Gambia,2101000,1 Juli 2017,0.027%,Proyeksi PBB
146,144,Makedonia,2073702,31 Desember 2016,0.026%,Perkiraan resmi
147,145,Slovenia,2066880,1 Januari 2018,0.026%,Perkiraan resmi
148,146,Gabon,2025137,1 Juli 2017,0.026%,Proyeksi PBB
149,147,Latvia,1923500,1 Mei 2018,0.024%,Perkiraan resmi bulanan Diarsipkan 2013-06-28 di Wayback Machine.
150,–,Kosovo[catatan 16],1783531,31 Desember 2016,0.023%,Perkiraan resmi tahunan
151,148,Guinea-Bissau,1553822,1 Juli 2017,0.02%,Perkiraan resmi tahunan Diarsipkan 2017-02-02 di Wayback Machine.
152,149,Bahrain,1451200,1 Juli 2017,0.018%,Perkiraan resmi tahunan Diarsipkan 2017-02-06 di Wayback Machine.
153,150,Trinidad dan Tobago,1356633,1 Juli 2017,0.017%,Perkiraan resmi
154,151,Estonia,1319133,1 Januari 2018,0.017%,Perkiraan resmi Diarsipkan 2018-05-09 di Wayback Machine.
155,152,Mauritius,1264887,1 Juli 2017,0.016%,Perkiraan resmi
156,153,Guinea Khatulistiwa,1222442,1 Juli 2015,0.016%,Hasil awal sensus 2015
157,154,Timor Leste,1167242,11 Juli 2015,0.015%,Hasil awal sensus 2015
158,155,Eswatini,1145970,1 Juli 2017,0.015%,Proyeksi resmi Diarsipkan 2019-06-22 di Wayback Machine.
159,156,Jibuti,956985,1 Juli 2017,0.012%,Proyeksi PBB
160,157,Fiji,884887,17 September 2017,0.011%,Hasil sensus resmi Diarsipkan 2018-02-12 di Wayback Machine.
161,158,Siprus,854800,31 Desember 2016,0.011%,Perkiraan resmi
162,159,Komoro,806153,1 Juli 2016,0.01%,Perkiraan resmi
163,160,Bhutan,864.400,"April 10, 2023",0.011%,Hitungan situs resmi
164,161,Guyana,777859,1 Juli 2017,0.0099%,Proyeksi PBB
165,–,Makau (Tiongkok),656700,31 Maret 2018,0.0084%,Perkiraan resmi triwulanan
166,162,Kepulauan Solomon,651700,1 Juli 2016,0.0083%,Perkiraan resmi tahunan
167,163,Montenegro,622387,1 Januari 2017,0.0079%,Perkiraan resmi
168,164,Luksemburg,602005,1 Januari 2018,0.0077%,Perkiraan resmi
169,–,Sahara Barat[catatan 17],552628,1 Juli 2017,0.007%,Proyeksi PBB
170,165,Suriname,541638,13 Agustus 2012,0.0069%,Final Hasil sensus 2012
171,166,Tanjung Verde,537661,1 Juli 2017,0.0068%,Perkiraan resmi tahunan
172,–,Transnistria[catatan 18],475665,15 Oktober 2015,0.0061%,Hasil awal sensus 2015
173,167,Malta,434403,31 Desember 2015,0.0055%,Perkiraan resmi
174,168,Brunei,422678,1 Juli 2016,0.0054%,Perkiraan resmi Diarsipkan 2016-11-11 di Wayback Machine.
175,169,Belize,387879,1 Juli 2017,0.0049%,Perkiraan resmi
176,170,Bahama,382460,1 Juli 2017,0.0049%,Proyeksi resmi
177,171,Islandia,350710,31 Maret 2018,0.0045%,Perkiraan resmi triwulanan
178,172,Maladewa,344023,20 September 2014,0.0044%,Hasil sensus awal 2014
179,–,Siprus Utara[catatan 19],313626,30 Juni 2014,0.004%,Perkiraan resmi Diarsipkan 2016-01-08 di Wayback Machine.
180,173,Vanuatu,289700,1 Juli 2016,0.0037%,Perkiraan resmi tahunan
181,174,Barbados,285719,1 Juli 2017,0.0036%,Proyeksi PBB
182,–,Kaledonia Baru (Prancis),277000,1 Juli 2016,0.0035%,Perkiraan resmi tahunan
183,–,Polinesia Prancis (Prancis),275918,17 Agustus 2017,0.0035%,Hasil sensus 2017 Diarsipkan 2019-04-12 di Wayback Machine.
184,–,Abkhazia[catatan 20],240705,28 Mei 2011,0.0031%,Hasil sensus 2011
185,175,Samoa,197448,1 Juli 2017,0.0025%,Proyeksi resmi
186,176,Sao Tome dan Principe,187356,13 Mei 2012,0.0024%,Hasil sensus 2012 Diarsipkan 2016-03-03 di Wayback Machine.
187,–,Guam (Amerika Serikat),184200,1 Juli 2015,0.0023%,Perkiraan resmi tahunan
188,177,Saint Lucia,178844,1 Juli 2017,0.0023%,Proyeksi PBB
189,–,Curaçao (Belanda),160337,1 Januari 2017,0.002%,Perkiraan resmi tahunan
190,–,Artsakh[catatan 21],150932,1 Desember 2015,0.0019%,Hasil awal sensus 2015
191,178,Kiribati,115300,1 Juli 2016,0.0015%,Perkiraan resmi tahunan
192,–,Aruba (Belanda),110882,30 Juni 2017,0.0014%,Perkiraan resmi triwulanan
193,179,Saint Vincent dan Grenadine,109557,1 Juli 2015,0.0014%,Perkiraan resmi Diarsipkan 2016-09-09 di Wayback Machine.
194,–,Kepulauan Virgin AS (Amerika Serikat),104901,1 Juli 2017,0.0013%,Proyeksi PBB
195,180,Federasi Mikronesia,104600,1 Juli 2016,0.0013%,Perkiraan resmi tahunan
196,–,Jersey (Britania Raya),104200,31 Desember 2016,0.0013%,Perkiraan resmi tahunan
197,181,Grenada,103328,12 Mei 2011,0.0013%,Hasil sensus 2011
198,182,Tonga,103252,1 Januari 2013,0.0013%,Hasil sensus 2011[pranala nonaktif permanen]
199,183,Seychelles,94205,31 Desember 2016,0.0012%,Perkiraan resmi
200,184,Antigua dan Barbuda,86295,27 Mei 2011,0.0011%,Hasil sensus awal 2011
201,–,Pulau Man (Britania Raya),83314,24 April 2016,0.0011%,Hasil sensus 2016
202,185,Andorra,78264,31 Desember 2016,0.001%,Perkiraan resmi tahunan Diarsipkan 2017-05-25 di Wayback Machine.
203,186,Dominika,71293,14 Mei 2011,0.00091%,Hasil sensus awal 2011 Diarsipkan 2019-06-08 di Wayback Machine.
204,–,Bermuda (Britania Raya),63779,21 Mei 2016,0.00081%,2016 Census Preliminary Report
205,–,Guernsey (Britania Raya),62723,31 Maret 2016,0.0008%,Perkiraan resmi
206,–,Kepulauan Cayman (Britania Raya),60413,31 Desember 2015,0.00077%,Perkiraan resmi
207,–,Samoa Amerika (Amerika Serikat),56400,1 Juli 2016,0.00072%,Perkiraan resmi tahunan
208,–,Greenland (Denmark),55877,1 Januari 2018,0.00071%,Perkiraan resmi
209,–,Kepulauan Mariana Utara (Amerika Serikat),55700,1 Juli 2016,0.00071%,Perkiraan resmi tahunan
210,187,Kepulauan Marshall,55000,1 Juli 2016,0.0007%,Perkiraan resmi tahunan
211,–,Ossetia Selatan[catatan 22],53532,15 Oktober 2015,0.00068%,Hasil awal sensus 2015
212,–,Kepulauan Faroe (Denmark),50750,1 Maret 2018,0.00065%,Perkiraan resmi bulanan
213,188,Saint Kitts dan Nevis,46204,15 Mei 2011,0.00059%,Hasil sensus 2011
214,–,Sint Maarten (Belanda),39410,1 Januari 2016,0.0005%,Perkiraan resmi
215,189,Monako,38300,31 Desember 2017,0.00049%,Perkiraan resmi tahunan
216,190,Liechtenstein,38111,31 Desember 2017,0.00048%,Semi Perkiraan resmi tahunan
217,–,Kepulauan Turks dan Caicos(Britania Raya),37910,1 Juli 2016,0.00048%,Perkiraan resmi Diarsipkan 2019-04-03 di Wayback Machine.
218,–,Saint-Martin (Prancis),36457,1 Januari 2015,0.00046%,Perkiraan resmi tahunan
219,–,Gibraltar(Britania Raya),33573,31 Desember 2015,0.00043%,Perkiraan resmi tahunan
220,191,San Marino,33326,30 April 2018,0.00042%,Perkiraan resmi bulanan Diarsipkan 2020-03-26 di Wayback Machine.
221,–,Kepulauan Virgin Britania Raya (Britania Raya),28514,1 Juli 2013,0.00036%,Perkiraan resmi
222,–,Kepulauan Cook (Selandia Baru),18100,1 Maret 2016,0.00023%,Perkiraan resmi triwulanan Diarsipkan 2017-10-20 di Wayback Machine.
223,192,Palau,17800,1 Juli 2016,0.00023%,Perkiraan resmi tahunan
224,–,Anguilla (Britania Raya),13452,11 Mei 2011,0.00017%,Hasil sensus awal 2011
225,–,Wallis dan Futuna (France),11800,1 Juli 2016,0.00015%,Perkiraan resmi tahunan
226,193,Tuvalu,10782,4 November 2012,0.00014%,Hasil sensus 2012
227,194,Nauru,10084,30 Oktober 2011,0.00013%,Hasil sensus 2011
228,–,Saint-Barthélemy (France),9417,1 Januari 2015,0.00012%,Perkiraan resmi tahunan
229,–,Saint Pierre dan Miquelon (France),6286,1 Januari 2015,0.000080%,Perkiraan resmi tahunan
230,–,Saint Helena (Britania Raya),5633,7 Mei 2016,0.000072%,Hasil sensus 2016
231,–,Montserrat (Britania Raya),4922,12 Mei 2011,0.000063%,Hasil sensus 2011 Diarsipkan 2019-04-03 di Wayback Machine.
232,–,Kepulauan Falkland (Britania Raya),2563,15 April 2012,0.000033%,Hasil sensus 2012
233,–,Pulau Natal (Australia),1843,9 Agustus 2016,0.000023%,Hasil sensus 2016
234,–,Pulau Norfolk (Australia),1748,9 Agustus 2016,0.000022%,Hasil sensus 2016
235,–,Niue (Selandia Baru),1611,1 Juli 2011,0.000020%,Hasil sensus 2011
236,–,Tokelau (Selandia Baru),1499,2 Mei 2017,0.000019%,Hasil sensus 2016
237,195,Vatikan,800,1 Januari 2014,0.000010%,Perkiraan resmi Diarsipkan 2017-12-06 di Wayback Machine.
238,–,Kepulauan Cocos (Keeling) (Australia),544,9 Agustus 2016,0.0000069%,Hasil sensus 2016
239,–,Kepulauan Pitcairn (Britania Raya),50,1 Januari 2018,0.00000064%,Perkiraan resmi
