,T a h u n,P e n e r i m a [ A ],P e n e r i m a [ A ] . 1,N e g a r a [ B ],K a r y a   y a n g   D i b e r i   P e n g h a r g a a n [ C ]
21,1920,,Schack August Steenberg Krogh,Denmark,mempertunjukkan bahwa pertukaran udara pada paru-paru adalah suatu difusi biasa[25]
22,1921,Tidak dianugerahi,Tidak dianugerahi,Tidak dianugerahi,Tidak dianugerahi
23,1922,,Archibald Vivian Hill,Britania Raya,"penelitian pada otot, terutama mengenai produksi panas[26]"
24,1922,,Otto Fritz Meyerhof,Jerman,hubungan otot dengan metabolisme asam laktat dan penggunaan oksigen [26]
25,1923,,Sir Frederick Grant Banting,Kanada,penemuan insulin[27]
26,1923,,John James Rickard Macleod,Kanada,penemuan insulin[27]
27,1924,,Willem Einthoven,Belanda,penemuan mekanisme elektrokardiogram (EKG)[28]
28,1925,Tidak dianugerahi,Tidak dianugerahi,Tidak dianugerahi,Tidak dianugerahi
29,1926,,Johannes Andreas Grib Fibiger,Denmark,penerangan Spiroptera carcinoma dan kanker yang dipengaruhi secara buatan pada hewan [29]
30,1927,,Julius Wagner-Jauregg,Austria,penyembuhan kelumpuhan umum dengan infeksi oleh malaria [30]
31,1928,,Charles Jules Henri Nicolle,Prancis,karya pada tifus
32,1929,,Christiaan Eijkman,Belanda,"""atas penemuan vitamin antineuritik""[31]"
33,1929,,Sir Frederick Gowland Hopkins,Britania Raya,"""atas penemuan vitamin yang menstimulasi pertumbuhan""[31]"
34,1930,,Karl Landsteiner,Austria,menemukan golongan darah manusia[32]
35,1931,,Otto Heinrich Warburg,Jerman,penelitian mengenai sitokrom pada pernapasan seluler[33]
36,1932,,Sir Charles Scott Sherrington,Britania Raya,karya mengenai fungsi neuron termasuk fakta bahwa rangsangan yang lebih kuat menyebabkan frekuensi yang lebih tinggi pada impuls saraf[34]
37,1932,,Edgar Douglas Adrian,Britania Raya,karya mengenai fungsi neuron termasuk fakta bahwa rangsangan yang lebih kuat menyebabkan frekuensi yang lebih tinggi pada impuls saraf[34]
38,1933,,Thomas Hunt Morgan,Amerika Serikat,penemuan peran kromosom secara genetis[35]
39,1934,,George Hoyt Whipple,Amerika Serikat,penemuan terapi hati untuk anemia[36]
40,1934,,George Richards Minot,Amerika Serikat,penemuan terapi hati untuk anemia[36]
41,1934,,William Parry Murphy,Amerika Serikat,penemuan terapi hati untuk anemia[36]
42,1935,,Hans Spemann,Jerman,penemuan pusat pengaturan pada pengembangan awal makhluk hidup[37]
43,1936,,Sir Henry Hallett Dale,Britania Raya,karya mengenai transmisi impuls saraf melalui neurotransmiter [38]
44,1936,,Otto Loewi,Austria,karya mengenai transmisi impuls saraf melalui neurotransmiter [38]
45,1937,,Albert Szent-Györgyi von Nagyrapolt,Hongaria,penggambaran vitamin C dan penemuan bahwa oksigen bergabung dengan hidrogen pada pernapasan seluler[39]
46,1938,,Corneille Jean François Heymans,Belgia,penunjukkan bahwa tekanan darah dan kandungan oksigen dalam darah diukur oleh tubuh dan dialirkan ke otak[40]
47,1939,,Gerhard Domagk,Jerman,"penemuan protonsil sulfonamida, obat yang pertama kali efektif melawan infeksi bakteri[41]"
48,1940,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
49,1941,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
50,1942,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
51,1943,,Carl Peter Henrik Dam,Denmark,untuk penemuan vitamin K-nya[42]
52,1943,,Edward Adelbert Doisy,Amerika Serikat,untuk penemuan kimia alam vitamin K-nya[42]
53,1944,,Joseph Erlanger,Amerika Serikat,penemuan berbagai macam serat saraf[43]
54,1944,,Herbert Spencer Gasser,Amerika Serikat,penemuan berbagai macam serat saraf[43]
55,1945,,Sir Alexander Fleming,Britania Raya,penemuan penisilin dan fungsinya pada penyembuhan penyakit infeksi[44]
56,1945,,Sir Ernst Boris Chain,Britania Raya,penemuan penisilin dan fungsinya pada penyembuhan penyakit infeksi[44]
57,1945,,Howard Walter Florey,Australia,penemuan penisilin dan fungsinya pada penyembuhan penyakit infeksi[44]
58,1946,,Hermann Joseph Muller,Amerika Serikat,penemuan bahwa mutasi dapat dipengaruhi oleh sinar x[45]
59,1947,,Carl Ferdinand Cori,Amerika Serikat,penemuan bagaimana glikogen diubah menjadi glukosa pada tubuh dan mengenai efek hormon hipofisis pada metabolisme karbohidrat[46]
60,1947,,"Gerty Theresa Cori, née Radnitz",Amerika Serikat,penemuan bagaimana glikogen diubah menjadi glukosa pada tubuh dan mengenai efek hormon hipofisis pada metabolisme karbohidrat[46]
61,1947,,Bernardo Alberto Houssay,Argentina,penemuan peran hormon dari lobus anterior kelenjar pituitaria berpengaruh pada metabolisme gula[46]
62,1948,,Paul Hermann Müller,Swiss,"untuk penemuan efisiensi tinggi DDT-nya sebagai sebuah racun kontak melawan beberapa artropoda""[47]"
63,1949,,Walter Rudolf Hess,Swiss,"untuk penemuannya organisasi fungsional antar-otak sebagai koordinator aktivitas organ-organ internal""[48]"
64,1949,,António Caetano Egas Moniz,Portugal,"untuk penemuannya nilai teapeutik leukotomi (lobotomi) dalam psikosis tertentu""[48]"
65,1950,,Philip Showalter Hench,Amerika Serikat,"penemuan hormon pada korteks adrenal, struktur dan fungsinya[49]"
66,1950,Berkas:Edward Calvin Kendall nobel.jpg,Edward Calvin Kendall,Amerika Serikat,"penemuan hormon pada korteks adrenal, struktur dan fungsinya[49]"
67,1950,,Tadeusz Reichstein,Swiss Polandia,"penemuan hormon pada korteks adrenal, struktur dan fungsinya[49]"
