,K o t a,P e n u l i s a n J e p a n g,P r e f e k t u r,D i s t r i k,L u a s   W i l a y a h
77,Tomamae,苫前町,Hokkaidō,Tomamae,454.6
78,Haboro,羽幌町,Hokkaidō,Tomamae,472.65
79,Enbetsu,遠別町,Hokkaidō,Teshio,590.8
80,Teshio,天塩町,Hokkaidō,Teshio,353.56
81,Hamatonbetsu,浜頓別町,Hokkaidō,Esashi,401.64
82,Nakatonbetsu,中頓別町,Hokkaidō,Esashi,398.51
83,Esashi,枝幸町,Hokkaidō,Esashi,1115.93
84,Toyotomi,豊富町,Hokkaidō,Teshio,520.69
85,Horonobe,幌延町,Hokkaidō,Teshio,574.1
86,Rebun,礼文町,Hokkaidō,Rebun,81.64
87,Rishiri,利尻町,Hokkaidō,Rishiri,76.51
88,Rishirifuji,利尻富士町,Hokkaidō,Rishiri,105.61
89,Bihoro,美幌町,Hokkaidō,Abashiri,438.41
90,Tsubetsu,津別町,Hokkaidō,Abashiri,716.8
91,Ōzora,大空町,Hokkaidō,Abashiri,343.66
92,Shari,斜里町,Hokkaidō,Shari,737.12
93,Kiyosato,清里町,Hokkaidō,Shari,402.76
94,Koshimizu,小清水町,Hokkaidō,Shari,286.89
95,Kunneppu,訓子府町,Hokkaidō,Tokoro,190.95
96,Oketo,置戸町,Hokkaidō,Tokoro,527.27
97,Saroma,佐呂間町,Hokkaidō,Tokoro,404.94
98,Engaru,遠軽町,Hokkaidō,Monbetsu,1332.45
99,Yūbetsu,湧別町,Hokkaidō,Monbetsu,505.79
100,Takinoue,滝上町,Hokkaidō,Monbetsu,766.89
101,Okoppe,興部町,Hokkaidō,Monbetsu,362.54
102,Ōmu,雄武町,Hokkaidō,Monbetsu,636.86
103,Otofuke,音更町,Hokkaidō,Katō,466.02
104,Shihoro,士幌町,Hokkaidō,Katō,259.19
105,Kamishihoro,上士幌町,Hokkaidō,Katō,694.23
106,Shikaoi,鹿追町,Hokkaidō,Katō,402.88
107,Shintoku,新得町,Hokkaidō,Kamikawa (Tokachi),1063.83
108,Shimizu,清水町,Hokkaidō,Kamikawa (Tokachi),402.25
109,Memuro,芽室町,Hokkaidō,Kasai,513.76
110,Taiki,大樹町,Hokkaidō,Hiroo,815.68
111,Hiroo,広尾町,Hokkaidō,Hiroo,596.54
112,Makubetsu,幕別町,Hokkaidō,Nakagawa (Tokachi),477.64
113,Ikeda,池田町,Hokkaidō,Nakagawa (Tokachi),371.79
114,Toyokoro,豊頃町,Hokkaidō,Nakagawa (Tokachi),536.71
115,Honbetsu,本別町,Hokkaidō,Nakagawa (Tokachi),391.91
116,Ashoro,足寄町,Hokkaidō,Ashoro,1408.04
117,Rikubetsu,陸別町,Hokkaidō,Ashoro,608.9
118,Urahoro,浦幌町,Hokkaidō,Tokachi,729.85
119,Kushiro,釧路町,Hokkaidō,Kushiro,252.66
120,Akkeshi,厚岸町,Hokkaidō,Akkeshi,739.26
121,Hamanaka,浜中町,Hokkaidō,Akkeshi,423.63
122,Shibecha,標茶町,Hokkaidō,Kawakami,1099.37
123,Teshikaga,弟子屈町,Hokkaidō,Kawakami,774.33
124,Shiranuka,白糠町,Hokkaidō,Shiranuka,773.53
125,Betsukai,別海町,Hokkaidō,Notsuke,1319.63
126,Nakashibetsu,中標津町,Hokkaidō,Shibetsu,684.87
127,Shibetsu,標津町,Hokkaidō,Shibetsu,624.68
128,Rausu,羅臼町,Hokkaidō,Menashi,397.72
129,Hiranai,平内町,Aomori,Higashitsugaru,217.09
130,Imabetsu,今別町,Aomori,Higashitsugaru,125.27
131,Sotogahama,外ヶ浜町,Aomori,Higashitsugaru,230.29
132,Ajigasawa,鰺ヶ沢町,Aomori,Nishitsugaru,343.08
133,Fukaura,深浦町,Aomori,Nishitsugaru,488.89
134,Fujisaki,藤崎町,Aomori,Minamitsugaru,37.29
135,Ōwani,大鰐町,Aomori,Minamitsugaru,163.43
136,Itayanagi,板柳町,Aomori,Kitatsugaru,41.88
137,Tsuruta,鶴田町,Aomori,Kitatsugaru,46.43
138,Nakadomari,中泊町,Aomori,Kitatsugaru,216.32
139,Noheji,野辺地町,Aomori,Kamikita,81.68
140,Shichinohe,七戸町,Aomori,Kamikita,337.23
141,Rokunohe,六戸町,Aomori,Kamikita,83.89
142,Yokohama,横浜町,Aomori,Kamikita,126.38
143,Tōhoku,東北町,Aomori,Kamikita,326.5
144,Oirase,おいらせ町,Aomori,Kamikita,71.96
145,Ōma,大間町,Aomori,Shimokita,52.1
146,Sannohe,三戸町,Aomori,Sannohe,151.79
147,Gonohe,五戸町,Aomori,Sannohe,177.67
148,Takko,田子町,Aomori,Sannohe,241.98
149,Nanbu,南部町,Aomori,Sannohe,153.12
150,Hashikami,階上町,Aomori,Sannohe,94.01
151,Shizukuishi,雫石町,Iwate,Iwate,608.82
152,Kuzumaki,葛巻町,Iwate,Iwate,434.96
153,Iwate,岩手町,Iwate,Iwate,360.46
154,Shiwa,紫波町,Iwate,Shiwa,238.98
155,Yahaba,矢巾町,Iwate,Shiwa,67.32
156,Nishiwaga,西和賀町,Iwate,Waga,590.74
157,Kanegasaki,金ケ崎町,Iwate,Isawa,179.76
158,Hiraizumi,平泉町,Iwate,Nishiiwai,63.39
159,Sumita,住田町,Iwate,Kesen,334.84
160,Ōtsuchi,大槌町,Iwate,Kamihei,200.42
161,Yamada,山田町,Iwate,Shimohei,262.81
162,Iwaizumi,岩泉町,Iwate,Shimohei,992.36
163,Karumai,軽米町,Iwate,Kunohe,245.82
164,Hirono,洋野町,Iwate,Kunohe,302.92
165,Ichinohe,一戸町,Iwate,Ninohe,300.03
166,Zaō,蔵王町,Miyagi,Katta,152.83
167,Shichikashuku,七ヶ宿町,Miyagi,Katta,263.09
168,Ōgawara,大河原町,Miyagi,Shibata,24.99
169,Murata,村田町,Miyagi,Shibata,78.38
170,Shibata,柴田町,Miyagi,Shibata,54.03
171,Kawasaki,川崎町,Miyagi,Shibata,270.77
172,Marumori,丸森町,Miyagi,Igu,273.3
173,Watari,亘理町,Miyagi,Watari,73.6
174,Yamamoto,山元町,Miyagi,Watari,64.58
175,Matsushima,松島町,Miyagi,Miyagi,53.56
176,Shichigahama,七ヶ浜町,Miyagi,Miyagi,13.19
177,Rifu,利府町,Miyagi,Miyagi,44.89
178,Taiwa,大和町,Miyagi,Kurokawa,225.49
179,Ōsato,大郷町,Miyagi,Kurokawa,82.01
180,Ōhira,富谷町,Miyagi,Kurokawa,49.18
181,Shikama,色麻町,Miyagi,Kami,109.28
182,Kami,加美町,Miyagi,Kami,460.67
183,Wakuya,涌谷町,Miyagi,Tōda,82.16
184,Misato,美里町,Miyagi,Tōda,74.9
185,Onagawa,女川町,Miyagi,Oshika,65.35
186,Minamisanriku,南三陸町,Miyagi,Motoyoshi,163.4
187,Kosaka,小坂町,Akita,Kazuno,201.7
188,Fujisato,藤里町,Akita,Yamamoto,282.13
189,Mitane,三種町,Akita,Yamamoto,247.98
190,Happō,八峰町,Akita,Yamamoto,234.14
191,Gojōme,五城目町,Akita,Minamiakita,214.92
192,Hachirōgata,八郎潟町,Akita,Minamiakita,17.0
193,Ikawa,井川町,Akita,Minamiakita,47.95
194,Misato,美郷町,Akita,Senboku,168.34
195,Ugo,羽後町,Akita,Ogachi,230.78
196,Yamanobe,山辺町,Yamagata,Higashimurayama,61.45
197,Nakayama,中山町,Yamagata,Higashimurayama,31.15
198,Kahoku,河北町,Yamagata,Nishimurayama,52.45
199,Nishikawa,西川町,Yamagata,Nishimurayama,393.19
200,Asahi,朝日町,Yamagata,Nishimurayama,196.81
201,Ōe,大江町,Yamagata,Nishimurayama,154.08
202,Ōishida,大石田町,Yamagata,Kitamurayama,79.54
203,Kaneyama,金山町,Yamagata,Mogami,161.67
204,Mogami,最上町,Yamagata,Mogami,330.37
205,Funagata,舟形町,Yamagata,Mogami,119.04
206,Mamurogawa,真室川町,Yamagata,Mogami,374.22
207,Takahata,高畠町,Yamagata,Higashiokitama,180.26
208,Kawanishi,川西町,Yamagata,Higashiokitama,166.6
209,Oguni,小国町,Yamagata,Nishiokitama,737.56
210,Shirataka,白鷹町,Yamagata,Nishiokitama,157.71
211,Iide,飯豊町,Yamagata,Nishiokitama,329.41
212,Mikawa,三川町,Yamagata,Higashitagawa,33.22
213,Shōnai,庄内町,Yamagata,Higashitagawa,249.17
214,Yuza,遊佐町,Yamagata,Akumi,208.39
215,Koori,桑折町,Fukushima,Date,42.97
216,Kunimi,国見町,Fukushima,Date,37.95
217,Kawamata,川俣町,Fukushima,Date,127.7
218,Kagamiishi,鏡石町,Fukushima,Iwase,31.3
219,Shimogō,下郷町,Fukushima,Minamiaizu,317.04
220,Tadami,只見町,Fukushima,Minamiaizu,747.56
221,Minamiaizu,南会津町,Fukushima,Minamiaizu,886.47
222,Nishiaizu,西会津町,Fukushima,Yama,298.18
223,Bandai,磐梯町,Fukushima,Yama,59.77
224,Inawashiro,猪苗代町,Fukushima,Yama,394.85
225,Aizubange,会津坂下町,Fukushima,Kawanuma,91.59
226,Yanaizu,柳津町,Fukushima,Kawanuma,175.82
227,Mishima,三島町,Fukushima,Ōnuma,90.81
228,Kaneyama,金山町,Fukushima,Ōnuma,293.92
229,Aizumisato,会津美里町,Fukushima,Ōnuma,276.33
230,Yabuki,矢吹町,Fukushima,Nishishirakawa,60.4
231,Tanagura,棚倉町,Fukushima,Higashishirakawa,159.93
232,Yamatsuri,矢祭町,Fukushima,Higashishirakawa,118.27
233,Hanawa,塙町,Fukushima,Higashishirakawa,211.41
234,Ishikawa,石川町,Fukushima,Ishikawa,115.71
235,Asakawa,浅川町,Fukushima,Ishikawa,37.43
236,Furudono,古殿町,Fukushima,Ishikawa,163.29
237,Miharu,三春町,Fukushima,Tamura,72.76
238,Ono,小野町,Fukushima,Tamura,125.18
239,Hirono,広野町,Fukushima,Futaba,58.69
240,Naraha,楢葉町,Fukushima,Futaba,103.64
241,Tomioka,富岡町,Fukushima,Futaba,68.39
242,Ōkuma,大熊町,Fukushima,Futaba,78.71
243,Futaba,双葉町,Fukushima,Futaba,51.42
244,Namie,浪江町,Fukushima,Futaba,223.14
245,Shinchi,新地町,Fukushima,Sōma,46.53
246,Ibaraki,茨城町,Ibaraki,Higashiibaraki,121.58
247,Ōarai,大洗町,Ibaraki,Higashiibaraki,23.74
248,Shirosato,城里町,Ibaraki,Higashiibaraki,161.8
249,Daigo,大子町,Ibaraki,Kuji,325.76
250,Ami,阿見町,Ibaraki,Inashiki,71.4
251,Kawachi,河内町,Ibaraki,Inashiki,44.3
252,Yachiyo,八千代町,Ibaraki,Yūki,58.99
253,Goka,五霞町,Ibaraki,Sashima,23.11
254,Sakai,境町,Ibaraki,Sashima,46.59
255,Tone,利根町,Ibaraki,Kitasōma,24.9
256,Kaminokawa,上三川町,Tochigi,Kawachi,54.39
257,Mashiko,益子町,Tochigi,Haga,89.4
258,Motegi,茂木町,Tochigi,Haga,172.69
259,Ichikai,市貝町,Tochigi,Haga,64.25
260,Haga,芳賀町,Tochigi,Haga,70.16
261,Mibu,壬生町,Tochigi,Shimotsuga,61.06
262,Nogi,野木町,Tochigi,Shimotsuga,30.26
263,Shioya,塩谷町,Tochigi,Shioya,176.06
264,Takanezawa,高根沢町,Tochigi,Shioya,70.87
265,Nasu,那須町,Tochigi,Nasu,372.34
266,Nakagawa,那珂川町,Tochigi,Nasu,192.78
267,Yoshioka,吉岡町,Gunma,Kitagunma,20.46
268,Kanna,神流町,Gunma,Tano,114.6
269,Shimonita,下仁田町,Gunma,Kanra,188.38
270,Kanra,甘楽町,Gunma,Kanra,58.61
271,Nakanojō,中之条町,Gunma,Agatsuma,439.28
272,Naganohara,長野原町,Gunma,Agatsuma,133.85
273,Kusatsu,草津町,Gunma,Agatsuma,49.75
274,Higashiagatsuma,東吾妻町,Gunma,Agatsuma,253.91
275,Minakami,みなかみ町,Gunma,Tone,781.08
276,Tamamura,玉村町,Gunma,Sawa,25.78
277,Itakura,板倉町,Gunma,Ōra,41.86
278,Meiwa,明和町,Gunma,Ōra,19.64
279,Chiyoda,千代田町,Gunma,Ōra,21.73
280,Ōizumi,大泉町,Gunma,Ōra,18.03
281,Ōra,邑楽町,Gunma,Ōra,31.11
282,Ina,伊奈町,Saitama,Kitaadachi,14.79
283,Miyoshi,三芳町,Saitama,Iruma,15.33
284,Moroyama,毛呂山町,Saitama,Iruma,34.07
285,Ogose,越生町,Saitama,Iruma,40.39
286,Namegawa,滑川町,Saitama,Hiki,29.68
287,Ranzan,嵐山町,Saitama,Hiki,29.92
288,Ogawa,小川町,Saitama,Hiki,60.36
289,Kawajima,川島町,Saitama,Hiki,41.63
290,Yoshimi,吉見町,Saitama,Hiki,38.64
291,Hatoyama,鳩山町,Saitama,Hiki,25.73
292,Tokigawa,ときがわ町,Saitama,Hiki,55.9
293,Yokoze,横瀬町,Saitama,Chichibu,49.36
294,Minano,皆野町,Saitama,Chichibu,63.74
295,Nagatoro,長瀞町,Saitama,Chichibu,30.43
296,Ogano,小鹿野町,Saitama,Chichibu,171.26
297,Misato,美里町,Saitama,Kodama,33.41
298,Kamikawa,神川町,Saitama,Kodama,47.4
299,Kamisato,上里町,Saitama,Kodama,29.18
300,Yorii,寄居町,Saitama,Ōsato,64.25
301,Miyashiro,宮代町,Saitama,Minamisaitama,15.95
302,Sugito,杉戸町,Saitama,Kitakatsushika,30.03
303,Matsubushi,松伏町,Saitama,Kitakatsushika,16.2
304,Shisui,酒々井町,Chiba,Inba,19.01
305,Sakae,栄町,Chiba,Inba,32.51
306,Kōzaki,神崎町,Chiba,Katori,19.9
307,Tako,多古町,Chiba,Katori,72.8
308,Tōnoshō,東庄町,Chiba,Katori,46.25
309,Kujūkuri,九十九里町,Chiba,Sanbu,24.45
310,Shibayama,芝山町,Chiba,Sanbu,43.24
311,Yokoshibahikari,横芝光町,Chiba,Sanbu,67.01
312,Ichinomiya,一宮町,Chiba,Chōsei,22.97
313,Mutsuzawa,睦沢町,Chiba,Chōsei,35.59
314,Shirako,白子町,Chiba,Chōsei,27.5
315,Nagara,長柄町,Chiba,Chōsei,47.11
316,Chōnan,長南町,Chiba,Chōsei,65.51
317,Ōtaki,大多喜町,Chiba,Isumi,129.87
318,Onjuku,御宿町,Chiba,Isumi,24.86
319,Kyonan,鋸南町,Chiba,Awa,45.19
320,Mizuho,瑞穂町,Tōkyō,Nishitama,16.85
321,Hinode,日の出町,Tōkyō,Nishitama,28.07
322,Okutama,奥多摩町,Tōkyō,Nishitama,225.53
323,Ōshima,大島町,Tōkyō,(Ōshima),90.76
324,Hachijō,八丈町,Tōkyō,(Hachijō),72.21
325,Hayama,葉山町,Kanagawa,Miura,17.04
326,Samukawa,寒川町,Kanagawa,Kōza,13.34
327,Ōiso,大磯町,Kanagawa,Naka,17.18
328,Ninomiya,二宮町,Kanagawa,Naka,9.08
329,Nakai,中井町,Kanagawa,Ashigarakami,19.99
330,Ōi,大井町,Kanagawa,Ashigarakami,14.38
331,Matsuda,松田町,Kanagawa,Ashigarakami,37.75
332,Yamakita,山北町,Kanagawa,Ashigarakami,224.61
333,Kaisei,開成町,Kanagawa,Ashigarakami,6.55
334,Hakone,箱根町,Kanagawa,Ashigarashimo,92.86
335,Manazuru,真鶴町,Kanagawa,Ashigarashimo,7.04
336,Yugawara,湯河原町,Kanagawa,Ashigarashimo,40.97
337,Seirō,聖籠町,Niigata,Kitakanbara,37.58
338,Tagami,田上町,Niigata,Minamikanbara,31.71
339,Aga,阿賀町,Niigata,Higashikanbara,952.89
340,Izumozaki,出雲崎町,Niigata,Santō,44.38
341,Yuzawa,湯沢町,Niigata,Minamiuonuma,357.29
342,Tsunan,津南町,Niigata,Nakauonuma,170.21
343,Kamiichi,上市町,Toyama,Nakaniikawa,236.71
344,Tateyama,立山町,Toyama,Nakaniikawa,307.29
345,Nyūzen,入善町,Toyama,Shimoniikawa,71.25
346,Asahi,朝日町,Toyama,Shimoniikawa,226.3
347,Kawakita,川北町,Ishikawa,Nomi,14.64
348,Tsubata,津幡町,Ishikawa,Kahoku,110.59
349,Uchinada,内灘町,Ishikawa,Kahoku,20.33
350,Shika,志賀町,Ishikawa,Hakui,246.76
351,Hōdatsushimizu,宝達志水町,Ishikawa,Hakui,111.52
352,Nakanoto,中能登町,Ishikawa,Kashima,89.45
353,Anamizu,穴水町,Ishikawa,Hōsu,183.21
354,Noto,能登町,Ishikawa,Hōsu,273.27
355,Eiheiji,永平寺町,Fukui,Yoshida,94.43
356,Ikeda,池田町,Fukui,Imadate,194.65
357,Minamiechizen,南越前町,Fukui,Nanjō,343.69
358,Echizen,越前町,Fukui,Nyū,153.15
359,Mihama,美浜町,Fukui,Mikata,152.34
360,Takahama,高浜町,Fukui,Ōi,72.4
361,Ōi,おおい町,Fukui,Ōi,212.19
362,Wakasa,若狭町,Fukui,Mikatakaminaka,178.49
363,Ichikawamisato,市川三郷町,Yamanashi,Nishiyatsushiro,75.18
364,Hayakawa,早川町,Yamanashi,Minamikoma,369.96
365,Minobu,身延町,Yamanashi,Minamikoma,301.98
366,Nanbu,南部町,Yamanashi,Minamikoma,200.87
367,Fujikawa,富士川町,Yamanashi,Minamikoma,112.0
368,Shōwa,昭和町,Yamanashi,Nakakoma,9.08
369,Nishikatsura,西桂町,Yamanashi,Minamitsuru,15.22
370,Fujikawaguchiko,富士河口湖町,Yamanashi,Minamitsuru,158.4
371,Koumi,小海町,Nagano,Minamisaku,114.2
372,Sakuho,佐久穂町,Nagano,Minamisaku,188.15
373,Karuizawa,軽井沢町,Nagano,Kitasaku,156.03
374,Miyota,御代田町,Nagano,Kitasaku,58.79
375,Tateshina,立科町,Nagano,Kitasaku,66.87
376,Nagawa,長和町,Nagano,Chiisagata,183.86
377,Shimosuwa,下諏訪町,Nagano,Suwa,66.87
378,Fujimi,富士見町,Nagano,Suwa,144.76
379,Tatsuno,辰野町,Nagano,Kamiina,169.2
380,Minowa,箕輪町,Nagano,Kamiina,85.91
381,Iijima,飯島町,Nagano,Kamiina,86.96
382,Matsukawa,松川町,Nagano,Shimoina,72.79
383,Takamori,高森町,Nagano,Shimoina,45.36
384,Anan,阿南町,Nagano,Shimoina,123.07
385,Agematsu,上松町,Nagano,Kiso,168.42
386,Nagiso,南木曽町,Nagano,Kiso,215.93
387,Kiso,木曽町,Nagano,Kiso,476.03
388,Ikeda,池田町,Nagano,Kitaazumi,40.16
389,Sakaki,坂城町,Nagano,Hanishina,53.64
390,Obuse,小布施町,Nagano,Kamitakai,19.12
391,Yamanouchi,山ノ内町,Nagano,Shimotakai,265.9
392,Shinano,信濃町,Nagano,Kamiminochi,149.3
393,Iizuna,飯綱町,Nagano,Kamiminochi,75.0
394,Ginan,岐南町,Gifu,Hashima,7.91
395,Kasamatsu,笠松町,Gifu,Hashima,10.3
396,Yōrō,養老町,Gifu,Yōrō,72.29
397,Tarui,垂井町,Gifu,Fuwa,57.09
398,Sekigahara,関ケ原町,Gifu,Fuwa,49.28
399,Gōdo,神戸町,Gifu,Anpachi,18.78
400,Wanouchi,輪之内町,Gifu,Anpachi,22.33
401,Anpachi,安八町,Gifu,Anpachi,18.16
402,Ibigawa,揖斐川町,Gifu,Ibi,803.44
403,Ōno,大野町,Gifu,Ibi,34.2
404,Ikeda,池田町,Gifu,Ibi,38.8
405,Kitagata,北方町,Gifu,Motosu,5.18
406,Sakahogi,坂祝町,Gifu,Kamo,12.87
407,Tomika,富加町,Gifu,Kamo,16.82
408,Kawabe,川辺町,Gifu,Kamo,41.16
409,Hichisō,七宗町,Gifu,Kamo,90.47
410,Yaotsu,八百津町,Gifu,Kamo,128.79
411,Shirakawa,白川町,Gifu,Kamo,237.9
412,Mitake,御嵩町,Gifu,Kani,56.69
413,Higashiizu,東伊豆町,Shizuoka,Kamo,77.86
414,Kawazu,河津町,Shizuoka,Kamo,100.74
415,Minamiizu,南伊豆町,Shizuoka,Kamo,110.49
416,Matsuzaki,松崎町,Shizuoka,Kamo,85.21
417,Nishiizu,西伊豆町,Shizuoka,Kamo,105.54
418,Kannami,函南町,Shizuoka,Tagata,65.16
419,Shimizu,清水町,Shizuoka,Suntō,8.81
420,Nagaizumi,長泉町,Shizuoka,Suntō,26.63
421,Oyama,小山町,Shizuoka,Suntō,135.74
422,Yoshida,吉田町,Shizuoka,Haibara,20.73
423,Kawanehon,川根本町,Shizuoka,Haibara,496.88
424,Mori,森町,Shizuoka,Shūchi,133.91
425,Tōgō,東郷町,Aichi,Aichi,18.03
426,Toyoyama,豊山町,Aichi,Nishikasugai,6.18
427,Ōguchi,大口町,Aichi,Niwa,13.61
428,Fusō,扶桑町,Aichi,Niwa,11.19
429,Ōharu,大治町,Aichi,Ama,6.59
430,Kanie,蟹江町,Aichi,Ama,11.09
431,Agui,阿久比町,Aichi,Chita,23.8
432,Higashiura,東浦町,Aichi,Chita,31.14
433,Minamichita,南知多町,Aichi,Chita,38.37
434,Mihama,美浜町,Aichi,Chita,46.2
435,Taketoyo,武豊町,Aichi,Chita,25.92
436,Kōta,幸田町,Aichi,Nukata,56.72
437,Shitara,設楽町,Aichi,Kitashitara,273.94
438,Tōei,東栄町,Aichi,Kitashitara,123.38
439,Kisosaki,木曽岬町,Mie,Kuwana,15.74
440,Tōin,東員町,Mie,Inabe,22.68
441,Komono,菰野町,Mie,Mie,107.01
442,Asahi,朝日町,Mie,Mie,5.99
443,Kawagoe,川越町,Mie,Mie,8.73
444,Taki,多気町,Mie,Taki,103.06
445,Meiwa,明和町,Mie,Taki,41.04
446,Ōdai,大台町,Mie,Taki,362.86
447,Tamaki,玉城町,Mie,Watarai,40.91
448,Watarai,度会町,Mie,Watarai,134.98
449,Taiki,大紀町,Mie,Watarai,233.32
450,Minamiise,南伊勢町,Mie,Watarai,241.89
451,Kihoku,紀北町,Mie,Kitamuro,256.53
452,Mihama,御浜町,Mie,Minamimuro,88.13
453,Kihō,紀宝町,Mie,Minamimuro,79.62
454,Hino,日野町,Shiga,Gamō,117.6
455,Ryūō,竜王町,Shiga,Gamō,44.55
456,Aishō,愛荘町,Shiga,Echi,37.97
457,Toyosato,豊郷町,Shiga,Inukami,7.8
458,Kōra,甲良町,Shiga,Inukami,13.63
459,Taga,多賀町,Shiga,Inukami,135.77
460,Ōyamazaki,大山崎町,Kyoto,Otokuni,5.97
461,Kumiyama,久御山町,Kyoto,Kuse,13.86
462,Ide,井手町,Kyoto,Tsuzuki,18.04
463,Ujitawara,宇治田原町,Kyoto,Tsuzuki,58.16
464,Kasagi,笠置町,Kyoto,Sōraku,23.52
465,Wazuka,和束町,Kyoto,Sōraku,64.93
466,Seika,精華町,Kyoto,Sōraku,25.68
467,Kyōtamba,京丹波町,Kyoto,Funai,303.09
468,Ine,伊根町,Kyoto,Yosa,61.95
