,C o n g .,N a m e,N a m e . 1,P a r t y,P a r t y . 1,D i s t r i c t [ a ],T e r m   o f   s e r v i c e
118,110th,,Nancy Pelosi,,Democratic,X,"January 4, 2007 –January 3, 2009"
119,111th,,Nancy Pelosi,,Democratic,X,"January 6, 2009 –January 3, 2011(Lost majority)"
120,112th,,John Boehner,,Republican,X,"January 5, 2011 –January 3, 2013"
121,113th,,John Boehner,,Republican,X,"January 3, 2013 –January 3, 2015"
122,114th,,John Boehner,,Republican,X,"January 6, 2015 –October 29, 2015(Resigned)"
123,114th,,Paul Ryan,,Republican,X,"October 29, 2015 –January 3, 2017"
124,115th,,Paul Ryan,,Republican,X,"January 3, 2017 –January 3, 2019(Retired and lost majority)"
125,116th,,Nancy Pelosi,,Democratic,X,"January 3, 2019 –January 7, 2023"
126,118th,,Kevin McCarthy,,Republican,X,"January 7, 2023 –(Incumbent)"
127,Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16),Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16),Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16),Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16),Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16),Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16),Pro-Administration (2)[l] • Anti-Administration (1)[l] • Federalist (2) • Democratic-Republican (6)[m] • Adams Republican (1)[m] • Jacksonian (3)[n] • Democratic (22)[n] • Whig (3) • American (1) • Republican (16)
