,N a m a,G a m b a r,L o k a s i,T a n g g a l   d i t e t a p k a n   s e b a g a i   T a m a n   N a s i o n a l [ 7 ] [ 1 2 ],L u a s   a r e a   ( 2 0 2 1 ) [ 1 3 ],P e n g u n j u n g   R e k r e a s i   ( 2 0 2 1 ) [ 1 4 ],D e s k r i p s i
10,Carlsbad Caverns *,,New Mexico32°10′N 104°26′W﻿ / ﻿32.17°N 104.44°W,"May 14, 1930","46,76645 ekar (0,2 km2)",349244,"Gua Carlsbad memiliki 117 gua, yang terpanjang memiliki panjang lebih dari 120 mil (190 km). The Big Room panjangnya hampir 4.000 kaki (1.200 m), dan gua-gua tersebut adalah rumah bagi lebih dari 400.000 kelelawar Meksiko ekor bebas dan enam belas spesies lainnya. Di atas tanah adalah Gurun Chihuahua dan Mata Air Rattlesnake.[29] (WHS)[30]"
11,Channel Islands,,California34°01′N 119°25′W﻿ / ﻿34.01°N 119.42°W,"March 5, 1980","249,56100 ekar (1,0 km2)",319252,"Lima dari delapan Kepulauan Channel dilindungi, dengan setengah dari area taman berada di bawah air. Pulau-pulau tersebut memiliki ekosistem Mediterania yang unik yang awalnya dihuni oleh orang-orang Chumash. Mereka adalah rumah bagi lebih dari 2.000 spesies tumbuhan dan hewan darat, 145 endemik bagi mereka, termasuk rubah pulau. Layanan feri menawarkan transportasi ke pulau-pulau dari daratan.[31] (BR)[32]"
12,Congaree,,South Carolina33°47′N 80°47′W﻿ / ﻿33.78°N 80.78°W,"November 10, 2003","26,69260 ekar (0,1 km2)",215181,"Di Sungai Congaree, taman ini adalah bagian terbesar dari hutan dataran banjir tua yang tersisa di Amerika Utara. Beberapa pohon adalah yang tertinggi di Amerika Serikat bagian timur. Jalan setapak yang ditinggikan yang disebut Boardwalk Loop memandu pengunjung melewati rawa.[33] (BR)[34]"
13,Crater Lake,,Oregon42°56′N 122°06′W﻿ / ﻿42.94°N 122.1°W,"May 22, 1902","183,22405 ekar (0,7 km2)",647751,"Danau Crater terletak di kaldera gunung berapi purba bernama Gunung Mazama yang runtuh 7.700 tahun yang lalu. Danau ini adalah yang terdalam di Amerika Serikat dan terkenal karena warna birunya yang cerah dan kejernihan airnya. Pulau Penyihir dan Kapal Phantom adalah formasi vulkanik yang lebih baru di dalam kaldera. Karena danau tidak memiliki saluran masuk atau saluran keluar, ia hanya diisi ulang oleh hujan.[35]"
14,Cuyahoga Valley,,Ohio41°14′N 81°33′W﻿ / ﻿41.24°N 81.55°W,"October 11, 2000","32,57188 ekar (0,1 km2)",2575275,"Taman di sepanjang Sungai Cuyahoga ini memiliki air terjun, perbukitan, jalan setapak, dan pameran tentang kehidupan pedesaan awal. Jalur setapak kanal Ohio dan Erie mengikuti kanal Ohio dan Erie, tempat keledai menarik perahu kanal. Taman ini memiliki banyak rumah bersejarah, jembatan, dan struktur,[36] dan juga menawarkan perjalanan kereta yang indah.[37]"
15,Death Valley,,"California, Nevada36°14′N 116°49′W﻿ / ﻿36.24°N 116.82°W","October 31, 1994",[convert: invalid number],1146551,"Death Valley adalah tempat terpanas, terendah, dan terkering di Amerika Serikat, dengan suhu siang hari telah melebihi 130 °F (54 °C). Taman ini melindungi Badwater Basin dan dataran garamnya yang luas di ketinggian terendah di Amerika Utara, 282 ft (−86 m). Taman ini juga melindungi ngarai, tanah tandus, bukit pasir, pegunungan, tambang bersejarah, mata air, dan lebih dari 1.000 spesies tanaman yang tumbuh di graben geologis ini.[38] (BR)[39]"
16,Denali,,Alaska63°20′N 150°30′W﻿ / ﻿63.33°N 150.50°W,"February 26, 1917",[convert: invalid number],229521,"Berpusat di Denali, gunung tertinggi dan paling menonjol di Amerika Utara, Denali dilayani oleh satu jalan menuju Wonder Lake. Denali dan puncak Pegunungan Alaska lainnya ditutupi dengan gletser panjang dan hutan boreal. Satwa liar termasuk beruang grizzly, domba Dall, landak, karibu, dan serigala.[40] (BR)[41]"
17,Dry Tortugas,,Florida24°38′N 82°52′W﻿ / ﻿24.63°N 82.87°W,"October 26, 1992","64,70122 ekar (0,3 km2)",83817,"Pulau-pulau di Dry Tortugas, di ujung paling barat Florida Keys, adalah situs Fort Jefferson, sebuah benteng era Perang Saudara yang merupakan struktur batu terbesar di Belahan Barat. Taman ini adalah rumah bagi terumbu karang dan bangkai kapal yang tidak terganggu, dan hanya dapat diakses dengan pesawat atau perahu.[42] (BR)[43]"
18,Everglades,,Florida25°19′N 80°56′W﻿ / ﻿25.32°N 80.93°W,"May 30, 1934",[convert: invalid number],942130,"Everglades adalah hutan belantara tropis terbesar di Amerika Serikat. Ekosistem hutan bakau dan hutan hujan tropis serta muara laut ini adalah rumah bagi 36 spesies yang dilindungi, termasuk macan kumbang Florida, buaya Amerika, dan manatee India Barat. Beberapa daerah telah dikeringkan dan dikembangkan; proyek restorasi bertujuan untuk memulihkan ekologi.[44] (WHS)[45] (BR)[43]"
19,Gates of the Arctic,,Alaska67°47′N 153°18′W﻿ / ﻿67.78°N 153.30°W,"December 2, 1980",[convert: invalid number],7362,Taman paling utara negara itu melindungi hamparan hutan belantara murni di Pegunungan Brooks Alaska dan tidak memiliki fasilitas taman. Tanah itu adalah rumah bagi Penduduk Asli Alaska yang telah mengandalkan tanah dan karibu selama 11.000 tahun.[46]
20,Gateway Arch,,Missouri38°38′N 90°11′W﻿ / ﻿38.63°N 90.19°W,"February 22, 2018[47]","19.283 ekar (78,0 km2)",1145081,"Gateway Arch adalah lengkungan catenary setinggi 630 kaki (192 m) (tinggi dan lebar) yang dibangun untuk memperingati Ekspedisi Lewis dan Clark, yang diprakarsai oleh Thomas Jefferson, dan perluasan negara berikutnya ke arah barat. Gedung Pengadilan Lama di dekatnya, di seberang jalan hijau di sebelah barat lengkungan, adalah situs pertama dari kasus Dred Scott tentang perbudakan. Sebuah museum bawah tanah menggambarkan konstruksi lengkungan dan ekspansi ke barat negara itu.[48]"
21,Glacier,,Montana48°48′N 114°00′W﻿ / ﻿48.80°N 114.00°W,"May 11, 1910",[convert: invalid number],3081656,"Setengah dari Taman Perdamaian Internasional Waterton-Glacier di AS, taman ini mencakup 26 gletser dan 130 danau bernama yang dikelilingi oleh puncak Gunung Rocky. Ada hotel bersejarah dan landmark Going-to-the-Sun Road di wilayah gletser yang menyusut dengan cepat.[49] Pegunungan lokal, yang dibentuk oleh gaya dorong, mengekspos fosil Paleozoikum termasuk trilobita, moluska, pakis raksasa, dan dinosaurus. Taman ini juga merupakan rumah bagi Triple Divide Peak, yang membentuk batas antara daerah aliran sungai menuju Atlantik, Pasifik, dan Samudra Arktik.[50] (WHS)[51] (BR)[52]"
22,Glacier Bay,,Alaska58°30′N 137°00′W﻿ / ﻿58.50°N 137.00°W,"December 2, 1980",[convert: invalid number],89768,"Glacier Bay berisi gletser air pasang, pegunungan, fjord, dan hutan hujan beriklim sedang, dan merupakan rumah bagi populasi besar beruang grizzly, kambing gunung, paus, anjing laut, dan elang. Ketika ditemukan pada tahun 1794 oleh George Vancouver, seluruh teluk tertutup es, tetapi gletser telah surut lebih dari 65 mil (105 km).[53] (WHS)[54] (BR)[55]"
23,Grand Canyon *,,Arizona36°04′N 112°08′W﻿ / ﻿36.06°N 112.14°W,"February 26, 1919",[convert: invalid number],4532677,"Grand Canyon, yang diukir oleh Sungai Colorado yang perkasa, memiliki panjang 277 mil (446 km), kedalaman hingga 1 mil (1,6 km), dan lebar hingga 15 mil (24 km). Jutaan tahun erosi telah mengekspos lapisan warna-warni Dataran Tinggi Colorado di mesas dan dinding ngarai, terlihat dari jalan setapak yang turun ke ngarai dari tepi utara dan selatan.[56] (WHS)[57]"
24,Grand Teton,,Wyoming43°44′N 110°48′W﻿ / ﻿43.73°N 110.80°W,"February 26, 1929","310,04436 ekar (1,3 km2)",3885230,"Grand Teton adalah gunung tertinggi di Teton Range. Jackson Hole yang bersejarah di taman dan danau piedmont yang reflektif dipenuhi dengan satwa liar endemik, dengan latar belakang pegunungan terjal yang muncul tiba-tiba dari lembah yang diselimuti sage.[58] (BR)[6]"
25,Great Basin,,Nevada38°59′N 114°18′W﻿ / ﻿38.98°N 114.30°W,"October 27, 1986","77,18000 ekar (0,3 km2)",144875,"Berbasis di sekitar gunung tertinggi kedua di Nevada, Wheeler Peak, Taman Nasional Great Basin berisi pinus bristlecone berusia 5.000 tahun, gletser batu, dan gua batu kapur Lehman. Karena lokasinya yang terpencil, taman ini memiliki beberapa langit malam paling gelap di negara itu. Satwa liar termasuk kelelawar bertelinga besar Townsend, pronghorn, dan trout cutthroat Bonneville.[59]"
26,Great Sand Dunes,,Colorado37°44′N 105°31′W﻿ / ﻿37.73°N 105.51°W,"September 24, 2004","107,34573 ekar (0,4 km2)",602613,"Bukit pasir tertinggi di Amerika Utara, setinggi 750 kaki (230 m), dibentuk oleh endapan Rio Grande kuno di Lembah San Luis. Berbatasan dengan berbagai padang rumput, semak belukar, dan lahan basah, taman ini juga memiliki danau alpine, enam gunung setinggi 13.000 kaki, dan hutan tua.[60]"
27,Great Smoky Mountains,,"North Carolina, Tennessee35°41′N 83°32′W﻿ / ﻿35.68°N 83.53°W","June 15, 1934","522,42688 ekar (2,1 km2)",14161548,"Pegunungan Great Smoky, bagian dari Pegunungan Appalachian, memiliki rentang ketinggian yang luas, menjadikannya rumah bagi lebih dari 400 spesies vertebrata, 100 spesies pohon, dan 5000 spesies tanaman. Hiking adalah daya tarik utama taman, dengan lebih dari 800 mil (1.300 km) jalur, termasuk 70 mil (110 km) dari Appalachian Trail. Kegiatan lainnya termasuk memancing, menunggang kuda, dan mengunjungi hampir 80 bangunan bersejarah.[61] (WHS)[62] (BR)[63]"
28,Guadalupe Mountains,,Texas31°55′N 104°52′W﻿ / ﻿31.92°N 104.87°W,"October 15, 1966","86,36710 ekar (0,3 km2)",243291,"Taman ini berisi Guadalupe Peak, titik tertinggi di Texas, serta McKittrick Canyon yang indah dipenuhi dengan pohon maple bergigi besar, sudut Gurun Chihuahuan yang gersang, dan fosil terumbu karang dari era Permian.[64]"
29,Haleakalā,,Hawaii20°43′N 156°10′W﻿ / ﻿20.72°N 156.17°W,"July 1, 1961","33,26462 ekar (0,1 km2)",853181,"Gunung berapi Haleakalā di Maui memiliki kawah yang sangat besar dengan banyak kerucut abu, Hutan pohon alien Hosmer, kolam ikan air tawar bagian Kipahulu yang indah, dan angsa asli Hawaii. Taman ini melindungi sejumlah besar spesies yang terancam punah di dalam taman nasional AS.[65] (BR)[66]"
30,Hawaiʻi Volcanoes,,Hawaii19°23′N 155°12′W﻿ / ﻿19.38°N 155.20°W,"August 1, 1916","325,60528 ekar (1,3 km2)",1262747,"Taman di Pulau Besar ini melindungi gunung berapi Kīlauea dan Mauna Loa, dua fitur geologis paling aktif di dunia. Ekosistem yang beragam mulai dari hutan tropis di permukaan laut hingga hamparan lava yang tandus di ketinggian lebih dari 13.000 kaki (4.000 m).[67] (WHS)[68] (BR)[66]"
31,Hot Springs,,Arkansas34°31′N 93°03′W﻿ / ﻿34.51°N 93.05°W,"March 4, 1921","5,55415 ekar (0,0 km2)",2162884,"Hot Springs awalnya didirikan sebagai perlindungan federal oleh Kongres pada 20 April 1832—area tertua yang dikelola oleh National Park Service. Mata air panas alami mengalir keluar dari Pegunungan Ouachita, memberikan kesempatan untuk relaksasi dalam suasana bersejarah. Bathhouse Row melestarikan contoh arsitektur abad ke-19.[69] Hot Springs adalah taman nasional pertama di sebuah kota dan merupakan taman nasional terkecil hingga 2018.[70]"
32,Indiana Dunes,,Indiana41°39′12″N 87°03′09″W﻿ / ﻿41.6533°N 87.0524°W,"February 15, 2019","15,34908 ekar (0,1 km2)",3177210,"Sebelumnya ditetapkan sebagai tepi danau nasional, sebagian dari bentangan pantai selatan Danau Michigan sepanjang 20 mil (32 km) ini memiliki pantai berpasir dan bukit pasir yang tinggi. Taman ini mencakup padang rumput berumput, rawa gambut, dan lahan basah rawa yang menjadi rumah bagi lebih dari 2.000 spesies.[71]"
33,Isle Royale,,Michigan48°06′N 88°33′W﻿ / ﻿48.10°N 88.55°W,"April 3, 1940","571,79030 ekar (2,3 km2)",25844,"Pulau terbesar di Danau Superior adalah tempat isolasi dan hutan belantara. Selain banyak bangkai kapal, jalur air, dan jalur pendakian, taman ini juga mencakup lebih dari 400 pulau kecil dalam jarak 4,5 mil (7,2 km) dari pantainya. Hanya ada 20 spesies mamalia di pulau itu, meskipun hubungan antara populasi serigala dan rusa sangat unik.[72] (BR)[73]"
34,Joshua Tree,,California33°47′N 115°54′W﻿ / ﻿33.79°N 115.90°W,"October 31, 1994","795,15585 ekar (3,2 km2)",3064400,"Meliputi area yang luas di Gurun Colorado dan Mojave serta Pegunungan Little San Bernardino, lanskap gurun ini dihuni oleh pepohonan Joshua yang sangat luas. Perubahan besar dalam ketinggian mengungkapkan berbagai lingkungan yang kontras termasuk bukit pasir yang memutih, danau kering, pegunungan terjal, dan kelompok monolit monzogranit yang mirip labirin.[74] (BR)[39]"
35,Katmai,,Alaska58°30′N 155°00′W﻿ / ﻿58.50°N 155.00°W,"December 2, 1980",[convert: invalid number],24764,"Taman di Semenanjung Alaska ini melindungi Lembah Sepuluh Ribu Asap, aliran abu yang terbentuk oleh letusan Novarupta 1912, dan stratovolcano Gunung Katmai. Lebih dari 2.000 beruang grizzly datang ke sini setiap tahun untuk menangkap salmon yang sedang bertelur. Satwa liar lainnya termasuk karibu, serigala, rusa besar, dan serigala michigan.[75]"
36,Kenai Fjords,,Alaska59°55′N 149°39′W﻿ / ﻿59.92°N 149.65°W,"December 2, 1980","669,65005 ekar (2,7 km2)",411782,"Dekat Seward di Semenanjung Kenai, taman ini melindungi Harding Icefield dan setidaknya 38 gletser dan fjord yang berasal darinya. Satu-satunya area yang dapat diakses publik melalui jalan darat adalah Exit Glacier yang menyusut dengan cepat. Tur perahu dan kayak menawarkan pemandangan gletser air pasang, paus, dan burung laut.[76]"
37,Kings Canyon,,California36°48′N 118°33′W﻿ / ﻿36.80°N 118.55°W,"March 4, 1940","461,90120 ekar (1,9 km2)",562918,"Rumah bagi beberapa kebun sequoia raksasa dan General Grant Tree, pohon terukur terbesar kedua di dunia, taman ini juga menampilkan bagian dari Sungai Kings, pemahat ngarai granit dramatis yang sama dengan namanya, dan Sungai San Joaquin, serta Boyden Gua.[77] Meskipun Taman Nasional Kings Canyon ditetapkan demikian pada tahun 1940, Taman Nasional General Grant, yang telah didirikan pada 1 Oktober 1890, dimasukkan sebagai taman nasional keempat Amerika Serikat.[78][79][80] (BR)[81]"
38,Kobuk Valley,,Alaska67°33′N 159°17′W﻿ / ﻿67.55°N 159.28°W,"December 2, 1980",[convert: invalid number],11540,"Lembah Kobuk melindungi 61 mil (98 km) Sungai Kobuk dan tiga wilayah bukit pasir. Dibuat oleh gletser, Great Kobuk, Little Kobuk, dan Hunt River Sand Dunes dapat mencapai ketinggian 100 kaki (30 m) dan 100 °F (38 °C), dan merupakan bukit pasir terbesar di Arktik. Dua kali setahun, setengah juta karibu bermigrasi melalui bukit pasir dan melintasi tebing sungai yang memperlihatkan fosil zaman es yang terpelihara dengan baik.[82]"
39,Lake Clark,,Alaska60°58′N 153°25′W﻿ / ﻿60.97°N 153.42°W,"December 2, 1980",[convert: invalid number],18278,"Wilayah di sekitar Danau Clark memiliki empat gunung berapi aktif, termasuk Gunung Redoubt, serta banyak sungai, gletser, dan air terjun. Hutan hujan beriklim sedang, dataran tinggi tundra, dan tiga pegunungan melengkapi lanskap.[83]"
40,Lassen Volcanic,,California40°29′N 121°31′W﻿ / ﻿40.49°N 121.51°W,"August 9, 1916","106,58902 ekar (0,4 km2)",359635,"Puncak Lassen, gunung berapi kubah lava terbesar di dunia, bergabung dengan ketiga jenis gunung berapi lainnya di taman ini: perisai, kerucut cinder, dan komposit. Meskipun Lassen sendiri terakhir meletus pada tahun 1915, sebagian besar taman lainnya terus aktif. Banyak fitur hidrotermal, termasuk fumarol, kolam mendidih, dan pot lumpur yang menggelegak, dipanaskan oleh batuan cair dari bawah puncak.[84]"
41,Mammoth Cave,,Kentucky37°11′N 86°06′W﻿ / ﻿37.18°N 86.10°W,"July 1, 1941","54,01629 ekar (0,2 km2)",515774,"Dengan lebih dari 400 mil (640 km) lorong yang dijelajahi, Gua Mammoth adalah sistem gua terpanjang yang diketahui di dunia. Satwa liar bawah tanah mencakup delapan spesies kelelawar, udang gua Kentucky, ikan gua utara, dan salamander gua. Di atas tanah, taman menyediakan rekreasi di Green River, 70 mil jalur hiking, dan banyak lubang pembuangan dan mata air.[85] (WHS)[86] (BR)[87]"
42,Mesa Verde *,,Colorado37°11′N 108°29′W﻿ / ﻿37.18°N 108.49°W,"June 29, 1906","52,48517 ekar (0,2 km2)",548477,"Daerah ini merupakan lebih dari 4.000 situs arkeologi orang Puebloan Leluhur, yang tinggal di sini dan di tempat lain di wilayah Four Corners setidaknya selama 700 tahun. Tempat tinggal tebing yang dibangun pada abad ke-12 dan ke-13 termasuk Istana Tebing, yang memiliki 150 kamar dan 23 kiva, dan Rumah Balkon, dengan banyak lorong dan terowongan.[88] (WHS)[89]"
43,Mount Rainier,,Washington46°51′N 121°45′W﻿ / ﻿46.85°N 121.75°W,"March 2, 1899","236,38164 ekar (1,0 km2)",1670063,"Gunung Rainier, sebuah stratovolcano aktif, adalah puncak paling menonjol di Cascades dan ditutupi oleh 26 gletser bernama termasuk Carbon Glacier dan Emmons Glacier, terpanjang dan terbesar di Amerika Serikat masing-masing. Gunung ini populer untuk didaki, dan lebih dari separuh taman ditutupi oleh hutan subalpine dan alpine serta padang rumput yang mekar secara musiman dengan bunga liar. Surga di lereng selatan adalah salah satu tempat paling bersalju di Bumi.[90] Pusat pengunjung Longmire adalah awal dari Jalur Ajaib, yang mengelilingi gunung.[91]"
44,New River Gorge,,West Virginia38°04′N 81°05′W﻿ / ﻿38.07°N 81.08°W,"December 27, 2020","72,34591 ekar (0,3 km2)",1682720,"New River Gorge adalah ngarai sungai terdalam di timur Sungai Mississippi. Taman ini terutama merupakan area ngarai yang lebih rendah di sekitar New River Gorge Bridge, yang menampilkan beberapa arung jeram terbaik di negara ini. Bagian kecil yang tidak bersebelahan menampilkan kota hantu Thurmond, pemandangan Grandview yang indah, dan Air Terjun Sandstone. 65.165 ekar lainnya (263,71 km2) dari sungai nasional yang didesain ulang sekarang menjadi cagar alam nasional, terbentang sepanjang 53 mi (85 km) Sungai Baru.[92][93]"
45,North Cascades,,Washington48°42′N 121°12′W﻿ / ﻿48.70°N 121.20°W,"October 2, 1968","504,78094 ekar (2,0 km2)",17855,"Pegunungan yang penuh gletser di North Cascades Range menunjukkan sejarah geologis yang spektakuler dan kompleks. Di antara lembah sungai dan puncak tinggi terdapat delapan zona kehidupan yang beragam dengan 75 mamalia dan 1.600 spesies tumbuhan vaskular. Area hiking dan panjat tebing yang populer di Stephen Mather Wilderness termasuk Cascade Pass, Mount Shuksan, Mount Triumph, dan Eldorado Peak. Area Rekreasi Nasional Danau Ross dan Danau Chelan berdampingan dengan dua segmen taman dan semuanya dikelola bersama.[94]"
46,Olympic,,Washington47°58′N 123°30′W﻿ / ﻿47.97°N 123.50°W,"June 29, 1938","922,64941 ekar (3,7 km2)",2718925,"Taman di Semenanjung Olimpiade ini mencakup berbagai ekosistem mulai dari garis pantai Pasifik hingga hutan hujan beriklim sedang hingga puncak alpine berlapis glasial di Pegunungan Olimpiade, yang tertinggi adalah Gunung Olympus. Hutan Hujan Hoh dan Quinault adalah daerah terbasah di Amerika Serikat yang berdekatan, dengan Hoh menerima rata-rata hampir 12 kaki (3,7 m) hujan setiap tahun.[95][96] (WHS)[97] (BR)[98]"
47,Petrified Forest,,Arizona35°04′N 109°47′W﻿ / ﻿35.07°N 109.78°W,"December 9, 1962","221,39021 ekar (0,9 km2)",590334,Bagian dari Formasi Chinle ini memiliki konsentrasi besar kayu membatu berumur 225 juta tahun. Painted Desert di sekitarnya menampilkan tebing batuan vulkanik berwarna merah yang terkikis yang disebut bentonit. Fosil dinosaurus dan lebih dari 350 situs penduduk asli Amerika juga dilindungi di taman ini.[99]
48,Pinnacles,,California36°29′N 121°10′W﻿ / ﻿36.48°N 121.16°W,"January 10, 2013","26,68573 ekar (0,1 km2)",348857,"Dinamakan karena sisa-sisa erosi dari sebagian gunung berapi yang telah punah, monolit hitam dan emas besar dari andesit dan riolit di taman ini adalah tujuan populer bagi pemanjat tebing. Pejalan kaki memiliki akses ke jalan setapak yang melintasi hutan belantara Coast Range. Taman ini adalah salah satu dari sedikit lokasi yang dapat dilihat oleh condor California yang terancam punah di alam liar. Pinnacles juga mendukung populasi elang padang rumput yang padat dan lebih dari 13 spesies kelelawar yang menghuni gua talusnya.[100]"
49,Redwood *,,California41°18′N 124°00′W﻿ / ﻿41.30°N 124.00°W,"October 2, 1968","138,99937 ekar (0,6 km2)",435879,"Taman ini dan taman negara bagian yang dikelola bersama melindungi hampir setengah dari semua kayu merah pesisir yang tersisa, pohon tertinggi di dunia. Ada tiga sistem sungai besar di daerah yang sangat aktif secara seismik ini, dan garis pantai lindung sepanjang 37 mil (60 km) mengungkapkan kolam pasang surut dan tumpukan laut. Ekosistem padang rumput, muara, pantai, sungai, dan hutan mengandung berbagai jenis hewan dan tumbuhan.[101] (WHS)[102]"
50,Rocky Mountain,,Colorado40°24′N 105°35′W﻿ / ﻿40.40°N 105.58°W,"January 26, 1915","265,80724 ekar (1,1 km2)",4434848,"Membagi dua utara ke selatan oleh Continental Divide, bagian Rockies ini memiliki ekosistem yang bervariasi dari lebih dari 150 danau di tepi sungai hingga hutan pegunungan dan subalpin hingga tundra alpine tanpa pohon. Satwa liar termasuk rusa bagal, domba bighorn, beruang hitam, dan puma menghuni pegunungan beku dan lembah glasialnya. Longs Peak, Colorado fourteener klasik, dan Bear Lake yang indah adalah tujuan populer, serta Trail Ridge Road yang bersejarah, yang mencapai ketinggian lebih dari12.000 kaki (3.700 m).[103] (BR)[104]"
51,Saguaro,,Arizona32°15′N 110°30′W﻿ / ﻿32.25°N 110.50°W,"October 14, 1994","92,86742 ekar (0,4 km2)",1079786,"Terbagi menjadi distrik Gunung Rincon dan Gunung Tucson yang terpisah, taman ini adalah bukti bahwa Gurun Sonora yang kering masih menjadi rumah bagi berbagai macam kehidupan yang mencakup enam komunitas biotik. Di luar kaktus saguaro raksasa yang bernama sama, ada kaktus tong, cholla, dan pir berduri, serta kelelawar berhidung panjang yang lebih kecil, burung hantu tutul, dan lembing..[105]"
