,M a s k a p a i,T u j u a n,C o n c o u r s e ( s )
10,KLM,Amsterdam,"E, F"
11,Korean Air,Seoul–Incheon,"E, F"
12,Lufthansa,Frankfurt,"E, F"
13,Qatar Airways,"Doha (mulai June 1, 2016)[11][12]","E, F"
14,Southwest Airlines,"Akron/Canton, Austin, Baltimore, Boston, Cancún, Chicago–Midway, Columbus (OH), Dallas–Love, Denver, Detroit, Fort Lauderdale, Fort Myers, Houston–Hobby, Indianapolis, Jacksonville (FL), Kansas City, Las Vegas, Los Angeles, Milwaukee, Minneapolis/St. Paul, New Orleans, New York-LaGuardia, Oakland (mulai November 1, 2015),[13] Oklahoma City, Orlando, Philadelphia, Pittsburgh, Phoenix, Punta Cana, Raleigh/Durham, Richmond, St. Louis, San Antonio, San Diego, San Francisco, Tampa, Washington-National, West Palm Beach Musiman: Seattle/Tacoma","C, F"
15,Spirit Airlines,"Baltimore, Boston (mulai September 10, 2015), Chicago–O'Hare, Cleveland, Dallas/Fort Worth, Detroit, Fort Lauderdale, Houston-Intercontinental, Las Vegas,[14] Los Angeles (mulai August 20, 2015), Orlando, Philadelphia, Tampa Seasonal: Atlantic City, Fort Myers (begins September 10, 2015)",D
16,Turkish Airlines,"Istanbul-Atatürk (begins May 16, 2016)[15]","E, F"
17,United Airlines,"Chicago–O'Hare, Houston-Intercontinental, Newark, San Francisco Seasonal: Washington–Dulles",T
18,United Express,"Chicago–O'Hare, Denver, Houston–Intercontinental, Newark, Washington–Dulles",T
19,US Airways operated by American Airlines,"Charlotte, Philadelphia, Phoenix",D
20,US Airways Express,"Charlotte, Philadelphia",D
21,Virgin Atlantic,"London–Heathrow,[16] Manchester (UK)[16]","E, F"
