,N e g a r a,U N   R / P 1 0 % [ 3 ],U N   R / P 2 0 % [ 4 ],B a n k   D u n i a G i n i   ( % ) [ 5 ],W B   G i n i ( t a h u n ),C I A   R / P 1 0 % [ 6 ],T a h u n,C I A   G i n i ( % ) [ 7 ],C I A   G i n i ( t a h u n ),G P I   G i n i ( % ) [ 8 ]
110,Nepal,15.8,9.1,32.8,2010.0,15.6,2004,32.8,2010,
111,Belanda,9.2,5.1,30.9,2007.0,9.2,1999,30.9,2007,
112,Selandia Baru,12.4,6.8,36.2,1997.0,,,36.2,1997,
113,Nikaragua,31.0,8.8,40.5,2005.0,15.4,2001,40.5,2010,
114,Niger,46.0,20.7,34.6,2008.0,44.3,1995,34.0,2007,
115,Nigeria,17.8,9.7,48.8,2010.0,17.5,2003,43.7,2003,
116,Norwegia,6.1,3.9,25.8,2000.0,6.0,2000,25.0,2008,
117,Oman,,,,,,,,,32
118,Pakistan,6.5,4.3,30.0,2008.0,6.6,2002,30.6,2007–2008,
119,Panama,49.9,23.9,51.9,2010.0,61.4,2003,51.9,2010taksiran,
120,Papua Nugini,23.8,12.6,50.9,1996.0,23.8,1996,50.9,1996,
121,Paraguay,38.8,25.7,52.4,2010.0,65.9,2003,53.2,2009,
122,Peru,26.1,15.2,48.1,2010.0,31.5,2003,46.0,2010,
123,Filipina,15.5,9.3,43.0,2009.0,15.5,2003,44.8,2009,
124,Polandia,8.8,5.6,34.1,2009.0,8.7,2002,34.1,2009,
125,Portugal,15.0,8.0,38.5,2007.0,9.2,1995taksiran,38.5,2007,
126,Qatar,,,41.1,2007.0,,,,,39
127,Rumania,7.5,4.9,30.0,2009.0,7.4,2003,33.2,2011,
128,Rusia,12.7,7.6,40.1,2009.0,12.8,2002,41.7,2011,
129,Rwanda,18.6,9.9,50.8,2011.0,18.2,2000,46.8,2000,
130,Sao Tome dan Principe,,,50.8,2001.0,,,,,
131,Arab Saudi,,,,,,,,,32.0
132,Senegal,12.3,7.4,39.2,2005.0,12.4,2001,41.3,2001,
133,Serbia,,,27.8,2009.0,,,28.2,2008,
134,Seychelles,,,65.8,2007.0,,,,,
135,Sierra Leone,87.2,57.6,42.5,2003.0,87.2,1989,62.9,1989,
136,Singapura,17.7,9.7,48.1,2008.0,17.3,1998,47.8,2012,
137,Slowakia,6.7,4.0,26.0,2009.0,6.7,1996,26.0,2005,
138,Slovenia,5.9,3.9,31.2,2004.0,5.9,1998,23.8,2011,
139,Somalia,,,,,,,,,30
140,Afrika Selatan,33.1,17.9,63.1,2009.0,31.9,2000,65.0,2005,
141,Sudan Selatan,,,45.5,2009.0,,,,,
142,Spanyol,10.3,6.0,34.7,2000.0,10.2,2000,32.0,2005,
143,Sri Lanka,11.1,6.9,40.3,2007.0,36.1,2003/04tahun fiskal,49.0,2010,
144,St. Lucia,,,42.6,1995.0,,,,,
145,Sudan,,,35.3,2009.0,,,,,51
146,Suriname,,,52.9,1999.0,,,,,
147,Swaziland,25.1,13.0,51.5,2010.0,25.4,2001,50.4,2001,
148,Swedia,6.2,4.0,25.0,2000.0,6.2,2000,23.0,2005,
149,Swiss,9.0,5.5,33.7,2000.0,8.9,2000,29.6,2010,
150,Suriah,,,35.8,2004.0,,,,,42.0
151,Taiwan,,,,,6.1,2002taksiran,34.2,2011,
152,Tajikistan,7.8,5.2,30.8,2009.0,7.8,2003,32.6,2006,
153,Tanzania,9.2,5.8,37.6,2007.0,9.3,2000,37.6,2007,
154,Thailand,12.6,7.7,40.0,2009.0,12.4,2002,53.6,2009,
155,Timor-Leste,,,31.9,2007.0,,,31.9,2007taksiran,
156,Togo,,,34.4,2006.0,,,,,
157,Trinidad dan Tobago,12.9,7.6,40.3,1992.0,,,,,
158,Tunisia,13.4,7.9,41.4,2005.0,13.7,2000,40.0,2005taksiran,
159,Turki,6.6,4.6,39.0,2008.0,17.1,2003,40.2,2010,
160,Turkmenistan,12.3,7.7,40.8,1998.0,12.2,1998,40.8,1998,
161,Uganda,16.6,9.2,44.3,2009.0,16.4,2002,44.3,2009,
162,Ukraina,5.9,4.1,26.4,2009.0,7.6,2006,28.2,2009,
163,Uni Emirat Arab,,,,,,,,,31
164,Britania Raya,13.8,7.2,34.0,2005.0,13.6,1999,40.0,2008-2009,
165,Amerika Serikat,15.9,8.4,45.0,2007.0,15.0,2007taksiran,45.0,2007,
166,Uruguay,20.1,10.2,45.3,2010.0,17.9,2003,45.3,2010,
167,Uzbekistan,10.6,6.2,36.7,2003.0,10.6,2003,36.8,2003,
168,Venezuela,18.8,16.0,44.8,2006.0,50.3,2003,39.0,2011,
169,Vietnam,6.9,4.9,35.6,2008.0,10.0,2004,37.6,2008,
170,Palestina,,,35.5,2009.0,,,,,
171,Yaman,8.6,5.6,37.7,2005.0,8.6,2003,37.7,2005,
172,Zambia,,,54.6,2006.0,,,50.8,2004,
173,Zimbabwe,,,50.1,1995.0,,,50.1,2006,
174,Dunia,,,,,12.0,2002taksiran,39.0,2007,
