,P e r i n g k a t,N e g a r a,I m p o r [ 1 ],D a t a   t a h u n   i n f o r m a s i [ 2 ]
38,34,Rumania,"$ 92,090,000,000",2008 est.
39,35,Irlandia,"$ 91,270,000,000",2008 est.
40,36,Portugal,"$ 87,920,000,000",2008 est.
41,37,Afrika Selatan,"$ 87,300,000,000",2008 est.
42,38,Ukraina,"$ 82,520,000,000",2008 est.
43,39,Yunani,"$ 82,280,000,000",2008 est.
44,40,Slowakia,"$ 79,760,000,000",2008 est.
45,41,Vietnam,"$ 79,370,000,000",2008 est.
46,42,Iran,"$ 67,790,000,000",2008 est.
47,43,Israel,"$ 62,520,000,000",2008 est.
48,44,Argentina,"$ 59,900,000,000",2008 est.
49,45,Chili,"$ 59,170,000,000",2008 est.
50,46,Filipina,"$ 58,000,000,000",2008 est.
51,47,Mesir,"$ 56,430,000,000",2008 est.
52,48,Venezuela,"$ 53,440,000,000",2008 est.
53,49,Nigeria,"$ 46,360,000,000",2008 est.
54,50,Irak,"$ 43,500,000,000",2008 est.
55,51,Kolombia,"$ 38,880,000,000",2008 est.
56,52,Slovenia,"$ 38,120,000,000",2008 est.
57,53,Kazakhstan,"$ 37,530,000,000",2008 est.
58,54,Aljazair,"$ 36,870,000,000",2008 est.
59,55,Belarus,"$ 36,640,000,000",2008 est.
60,56,Pakistan,"$ 35,380,000,000",2008 est.
61,57,Bulgaria,"$ 35,300,000,000",2008
62,58,Maroko,"$ 34,440,000,000",2008 est.
63,59,Selandia Baru,"$ 31,110,000,000",2008 est.
64,60,Lituania,"$ 30,260,000,000",2008 est.
65,—,Puerto Riko,"$ 29,100,000,000",2001
66,61,Peru,"$ 29,080,000,000",2008 est.
67,62,Luksemburg,"$ 28,120,000,000",2008 est.
68,63,Kuwait,"$ 26,540,000,000",2008 est.
69,64,Kroasia,"$ 25,840,000,000",2008
70,65,Qatar,"$ 24,960,000,000",2008 est.
71,66,Tunisia,"$ 23,000,000,000",2008 est.
72,67,Libya,"$ 20,640,000,000",2008 est.
73,68,Bangladesh,"$ 20,170,000,000",2008 est.
74,69,Serbia,"$ 18,350,000,000",2007 est.
75,70,Ekuador,"$ 16,600,000,000",2008 est.
76,71,Estonia,"$ 16,230,000,000",2008 est.
77,72,Lebanon,"$ 16,100,000,000",2008 est.
78,73,Republik Dominika,"$ 16,020,000,000",2008 est.
79,—,Antillen Belanda,"$ 15,740,000,000",2006
80,74,Yordania,"$ 15,650,000,000",2008 est.
81,75,Bahrain,"$ 15,640,000,000",2008 est.
82,76,Guatemala,"$ 15,420,000,000",2008 est.
83,77,Kosta Rika,"$ 15,370,000,000",2008 est.
84,78,Angola,"$ 15,250,000,000",2008 est.
85,79,Panama,"$ 15,180,000,000",2008 est.
86,80,Suriah,"$ 14,320,000,000",2008 est.
87,81,Latvia,"$ 14,190,000,000",2008 est.
88,82,Sri Lanka,"$ 14,050,000,000",2008 est.
89,83,Oman,"$ 13,320,000,000",2008 est.
90,84,Bosnia dan Herzegovina,"$ 11,940,000,000",2008 est.
91,85,Kuba,"$ 11,740,000,000",2008 est.
92,86,Kenya,"$ 10,770,000,000",2008 est.
93,87,Trinidad dan Tobago,"$ 10,260,000,000",2008 est.
94,88,Honduras,"$ 10,200,000,000",2008 est.
95,89,Ghana,"$ 9,816,000,000",2008 est.
96,90,El Salvador,"$ 9,750,000,000",2008 est.
97,91,Yaman,"$ 9,215,000,000",2008 est.
98,92,Siprus,"$ 8,689,000,000",2008 est.
99,93,Pantai Gading,"$ 7,948,000,000",2008 est.
100,94,Sudan,"$ 7,757,000,000",2008 est.
101,95,Azerbaijan,"$ 7,496,000,000",2008 est.
102,96,Paraguay,"$ 7,351,000,000",2008 est.
103,97,Georgia,"$ 7,304,000,000",2008 est.
104,98,Jamaika,"$ 7,191,000,000",2008 est.
105,99,Liberia,"$ 7,143,000,000",2006
106,100,Uruguay,"$ 7,000,000,000",2008 est.
107,101,Makedonia,"$ 6,663,000,000",2008 est.
108,102,Islandia,"$ 6,543,000,000",2008 est.
109,103,Uzbekistan,"$ 6,504,000,000",2008 est.
110,104,Kamboja,"$ 6,424,000,000",2008 est.
111,105,Etiopia,"$ 6,218,000,000",2008 est.
112,106,Tanzania,"$ 5,901,000,000",2008 est.
113,—,Makau,"$ 5,400,000,000",2008 est.
114,107,Turkmenistan,"$ 5,291,000,000",2008 est.
115,108,Nikaragua,"$ 5,279,000,000",2008 est.
116,109,Republik Demokratik Kongo,"$ 5,200,000,000",2007
117,110,Moldova,"$ 5,000,000,000",2008 est.
118,111,Malta,"$ 4,963,000,000",2008 est.
119,112,Afganistan,"$ 4,850,000,000",2007
120,113,Albania,"$ 4,844,000,000",2008 est.
121,114,Bolivia,"$ 4,782,000,000",2008 est.
122,115,Senegal,"$ 4,654,000,000",2008 est.
123,—,Kepulauan Virgin AS,"$ 4,609,000,000",2001
124,116,Mauritius,"$ 4,503,000,000",2008 est.
125,117,Zambia,"$ 4,423,000,000",2008 est.
126,118,Kamerun,"$ 4,362,000,000",2008 est.
127,119,Botswana,"$ 3,931,000,000",2008 est.
128,120,San Marino,"$ 3,744,000,000",2007
129,121,Mongolia,"$ 3,615,000,000",2008
130,122,Myanmar,"$ 3,589,000,000",2008 est.
131,123,Uganda,"$ 3,579,000,000",2008 est.
132,124,Namibia,"$ 3,560,000,000",2008 est.
133,125,Armenia,"$ 3,546,000,000",2008 est.
134,126,Kirgizstan,"$ 3,476,000,000",2008 est.
135,127,Mozambik,"$ 3,292,000,000",2008 est.
136,128,Nepal,"$ 3,229,000,000",2008
137,129,Guinea Khatulistiwa,"$ 3,211,000,000",2008 est.
138,130,Tajikistan,"$ 3,200,000,000",2008
139,131,Fiji,"$ 3,120,000,000",2006
140,132,Korea Utara,"$ 3,055,000,000",2007
141,133,Papua Nugini,"$ 3,013,000,000",2008 est.
142,—,Gibraltar,"$ 2,967,000,000",2004 est.
143,—,Palestina (Jalur Gaza),"$ 2,840,000,000",2006
144,134,Gabon,"$ 2,830,000,000",2008 est.
145,135,Republik Kongo,"$ 2,722,000,000",2008 est.
146,—,Kosovo,"$ 2,600,000,000",2007
147,136,Madagaskar,"$ 2,541,000,000",2008 est.
148,137,Bahama,"$ 2,401,000,000",2006
149,138,Mali,"$ 2,358,000,000",2006
150,139,Zimbabwe,"$ 2,337,000,000",2008 est.
151,140,Haiti,"$ 2,095,000,000",2008 est.
152,141,Brunei,"$ 2,055,000,000",2007 est.
153,—,Kaledonia Baru,"$ 1,998,000,000",2006
154,142,Eswatini,"$ 1,978,000,000",2008 est.
155,143,Andorra,"$ 1,789,000,000",2007
156,144,Togo,"$ 1,725,000,000",2008 est.
157,—,Polinesia Prancis,"$ 1,706,000,000",2005 est.
158,145,Burkina Faso,"$ 1,665,000,000",2008 est.
159,146,Barbados,"$ 1,586,000,000",2006
160,147,Jibuti,"$ 1,555,000,000",2006
161,148,Mauritania,"$ 1,475,000,000",2006
162,149,Chad,"$ 1,470,000,000",2008 est.
163,150,Guinea,"$ 1,392,000,000",2008 est.
164,151,Benin,"$ 1,355,000,000",2008 est.
165,152,Lesotho,"$ 1,339,000,000",2008 est.
166,—,Palestina (Tepi Barat),"$ 1,300,000,000",2006
167,153,Suriname,"$ 1,297,000,000",2006 est.
168,154,Laos,"$ 1,278,000,000",2008 est.
169,155,Maladewa,"$ 1,276,000,000",2008 est.
170,—,Bermuda,"$ 1,162,000,000",2006
171,156,Guyana,"$ 1,162,000,000",2008 est.
172,—,Aruba,"$ 1,054,000,000",2006
173,157,Malawi,"$ 1,023,000,000",2008 est.
174,158,Seychelles,"$ 952,000,000",2008 est.
175,159,Liechtenstein,"$ 917,300,000",1996
176,160,Monako,"$ 916,100,000",2005
177,161,Tanjung Verde,"$ 887,000,000",2008 est.
178,—,Kepulauan Cayman,"$ 866,900,000",2004
179,162,Niger,"$ 800,000,000",2006
180,163,Somalia,"$ 798,000,000",2006
181,164,Saint Lucia,"$ 791,000,000",2006
182,165,Rwanda,"$ 759,000,000",2008 est.
183,—,Kepulauan Faroe,"$ 751,000,000",2006
184,166,Belize,"$ 718,000,000",2008 est.
185,—,Greenland,"$ 712,000,000",2006
186,—,Guam,"$ 701,000,000",2004 est.
187,167,Montenegro,"$ 601,700,000",2003
188,168,Eritrea,"$ 601,000,000",2008 est.
189,169,Saint Vincent dan Grenadine,"$ 578,000,000",2006
190,170,Sierra Leone,"$ 560,000,000",2006
191,171,Antigua dan Barbuda,"$ 522,800,000",2007 est.
192,172,Saint Kitts dan Nevis,"$ 383,000,000",2006
193,173,Grenada,"$ 343,000,000",2006
194,—,Mayotte,"$ 341,000,000",2005
195,174,Samoa,"$ 324,000,000",2006
196,175,Bhutan,"$ 320,000,000",2006
197,—,Samoa Amerika,"$ 308,800,000",FY04 est.
198,176,Burundi,"$ 307,000,000",2008 est.
199,177,Gambia,"$ 301,000,000",2008 est.
200,178,Dominika,"$ 296,000,000",2006
201,179,Kepulauan Solomon,"$ 256,000,000",2006
202,180,Afrika Tengah,"$ 237,300,000",2007 est.
203,—,Kepulauan Mariana Utara,"$ 214,400,000",2001
204,181,Timor Leste,"$ 202,000,000",2004 est.
205,182,Guinea-Bissau,"$ 200,000,000",2006
206,—,Kepulauan Virgin Britania Raya,"$ 187,000,000",2002 est.
207,—,Kepulauan Turks dan Caicos,"$ 175,600,000",2000
208,183,Vanuatu,"$ 156,000,000",2006
209,—,Anguilla,"$ 143,000,000",2006
210,184,Komoro,"$ 143,000,000",2006
211,185,Tonga,"$ 139,000,000",2006
212,186,Federasi Mikronesia,"$ 132,700,000",2004
213,187,Palau,"$ 107,300,000",2004 est.
214,188,Sao Tome dan Principe,"$ 91,000,000",2008 est.
215,—,Kepulauan Falkland,"$ 90,000,000",2004 est.
216,—,Kepulauan Cook,"$ 81,040,000",2005
217,189,Kepulauan Marshall,"$ 79,400,000",2008 est.
218,—,Saint Pierre dan Miquelon,"$ 68,200,000",2005 est.
219,190,Kiribati,"$ 62,000,000",2004 est.
220,—,Wallis dan Futuna,"$ 61,170,000",2004
221,—,Saint Helena,"$ 45,000,000",2004 est.
222,191,Nauru,"$ 20,000,000",2004 est.
223,—,Pulau Norfolk,"$ 17,900,000",FY91/92
224,—,Montserrat,"$ 17,000,000",2001
225,192,Tuvalu,"$ 12,910,000",2005
226,—,Niue,"$ 9,038,000",2004
227,—,Tokelau,"$ 969,200",2002
