,G i z i,S a t u a n,M a s a   P e r t u m b u h a n d a n   R e p r o d u k s i ( M i n i m u m ),M a s a   D e w a s a ( M i n i m u n ),M a k s i m u m,F u n g s i,T a n d a - t a n d a   K e k u r a n g a n / K e l e b i h a n
24,Tembaga (makanan kering),mg/kg,15.0,5.0,,Pembentukan jaringan ikat Metabolisme zat besi Pembentukan sel darah Pembentukan pigmen melanin Pembentukan mielin Pertahanan terhadap kerusakan oksidatif,Kekurangan Berat badan berkurang Masa mengandung menjadi lebih lama
25,Tembaga (makanan kalengan),mg/kg,5.0,5.0,,Pembentukan jaringan ikat Metabolisme zat besi Pembentukan sel darah Pembentukan pigmen melanin Pembentukan mielin Pertahanan terhadap kerusakan oksidatif,Kekurangan Berat badan berkurang Masa mengandung menjadi lebih lama
26,Mangan,mg/kg,7.5,7.5,,Fungsi enzim Pengembangan Tulang Fungsi neurologis,Tidak ada penelitian mengenai kekurangan gizi ini pada kucing
27,Seng,mg/kg,75.0,75.0,2000.0,Reaksi enzim Replikasi sel Metabolisme protein dan karbohidrat Fungsi Kulit Penyembuhan luka,Kekurangan Kulit menjadi luka Keterlambatan pertumbuhan Kerusakan testis
28,Yodium,mg/kg,0.35,0.35,,Sintesis pada hormon tiroid Diferensiasi sel Pertumbuhan dan perkembangan pada anak anjing Regulasi tingkat metabolisme,"Kekurangan Pembesaran kelenjar tiroid Kelebihan Air mata, air liur, dan cairan hidung yang berlebihan Munculnya ketombe"
29,Selenium,mg/kg,0.1,0.1,,Pertahanan terhadap kerusakan oksidatif Respon kekebalan,Tidak ada penelitian mengenai kekurangan gizi ini pada kucing
30,Vitamin,Vitamin,Vitamin,Vitamin,Vitamin,Vitamin,Vitamin
31,Vitamin A,SI/kg,9000.0,5000.0,750000.0,Penglihatan Pertumbuhan Fungsi kekebalan Perkembangan janin Diferensiasi seluler Transfer transmembran protein,"Kekurangan Konjungtivitis Katarak, degenerasi retina, dan masalah mata lainnya Penurunan berat badan Kelemahan otot Gangguan reproduksi dan perkembangan Kelebihan Luka pada tulang anak kucing, terutama hasil dari pertumbuhan tulang leher Osteoporosis"
32,Vitamin D,SI/kg,750.0,500.0,10000.0,Pemeliharaan status mineral Struktur rangka Kontraksi otot Pembekuan darah Konduksi saraf Pensinyalan sel Keseimbangan fosfor,Kekurangan Rakhitis Kelainan pada perkembangan kerangka Kelumpuhan progresif Ataksia Kurangnya perawatan Penurunan berat badan dan asupan makanan Kelebihan Anoreksia Muntah Keletihan Pengapuran jaringan lunak
33,Vitamin E,SI/kg,30.0,30.0,,Pertahanan terhadap kerusakan oksidatif melalui radikal bebas,Kekurangan Anoreksia Depresi Sensitivitas nyeri pada perut Patologi jaringan lemak
34,Vitamin K,mg/kg,0.1,0.1,,"Pengaktifan faktor pembekuan, protein tulang, dan protein lain",Kekurangan Panjangnya waktu untuk pembekuan darah Pendarahan
35,Vitamin B1/Tiamin,mg/kg,5.0,5.0,,Metabolisme energi dan karbohidrat Pengaktifan saluran ion dalam jaringan saraf,"Kekurangan Gangguan neurologis, termasuk mengubah refleks dan menyebabkan kejang Gangguan pada denyut jantung Perubahan patologis pada sistem saraf pusat Kekurangan berat badan"
36,Riboflavin,mg/kg,4.0,4.0,,Fungsi enzim,Kekurangan Katarak Hati menjadi berlemak Atrofi testis
37,Asam pantotenat,mg/kg,5.0,5.0,,Metabolisme energi,Kekurangan Pertumbuhan terhambat Perubahan lemak dalam hati Luka pada usus kecil
38,Niasin,mg/kg,60.0,60.0,,Fungsi enzim,"Kekurangan Anoreksia Penurunan berat badan Peningkatan suhu tubuh Warna lidah menjadi merah dan menyala, bersamaan dengan ulserasi dan sesak napas"
39,Vitamin B6/Piridoksina,mg/kg,4.0,4.0,,Generasi glukosa Fungsi sel darah merah Sintesis pada niasin Fungsi sistem saraf Respon kekebalan Regulasi hormon Regulasi gen,Kekurangan Pertumbuhan terhambat Kejang Luka pada ginjal
40,Asam folat,mg/kg,0.8,0.8,,Metabolisme asam amino dan nukleotida Sintesis pada protein mitokondria,Kekurangan Menurunnya tingkat pertumbuhan Peningkatan kadar zat besi dalam darah
41,Biotin,mg/kg,0.07,0.07,,,
42,Vitamin B12,mg/kg,0.02,0.02,,Fungsi enzim,Kekurangan Penurunan berat badan Muntah Diare Gangguan usus (pencernaan)
43,Kolin,mg/kg,2400.0,2400.0,,,
44,Taurin (makanan kering),%,0.10,0.10,,,
45,Taurin (makanan kalengan),%,0.20,0.20,,,
46,Gizi,Satuan,Masa Pertumbuhandan Reproduksi(Minimum),Masa Dewasa(Minimun),Maksimum,Fungsi,Tanda-tanda Kekurangan/Kelebihan
