,P e r i n g k a t,N e g a r a,E k s p o r [ 1 ],D a t a   t a h u n   i n f o r m a s i [ 2 ]
50,47,Libya,"$ 66,130,000,000",2008 est.
51,48,Irak,"$ 66,100,000,000",2008 est.
52,49,Ukraina,"$ 64,890,000,000",2008 est.
53,50,Vietnam,"$ 63,730,000,000",2008 est.
54,51,Qatar,"$ 62,440,000,000",2008 est.
55,52,Rumania,"$ 59,750,000,000",2008 est.
56,53,Portugal,"$ 57,800,000,000",2008 est.
57,54,Israel,"$ 54,160,000,000",2008 est.
58,55,Filipina,"$ 49,000,000,000",2008 est.
59,—,Puerto Riko,"$ 46,900,000,000",2001
60,56,Kolombia,"$ 41,080,000,000",2008 est.
61,57,Azerbaijan,"$ 38,280,000,000",2008 est.
62,58,Slovenia,"$ 34,270,000,000",2008 est.
63,59,Oman,"$ 33,900,000,000",2008 est.
64,60,Mesir,"$ 33,360,000,000",2008 est.
65,61,Peru,"$ 33,270,000,000",2008 est.
66,62,Belarus,"$ 31,810,000,000",2008 est.
67,63,Selandia Baru,"$ 29,530,000,000",2008 est.
68,64,Yunani,"$ 27,400,000,000",2008 est.
69,65,Lituania,"$ 23,480,000,000",2008 est.
70,66,Bulgaria,"$ 22,300,000,000",2008
71,67,Luksemburg,"$ 20,780,000,000",2008 est.
72,68,Pakistan,"$ 20,620,000,000",2008 est.
73,69,Tunisia,"$ 19,700,000,000",2008 est.
74,70,Ekuador,"$ 19,400,000,000",2008 est.
75,71,Bahrain,"$ 19,170,000,000",2008 est.
76,72,Trinidad dan Tobago,"$ 16,730,000,000",2008 est.
77,73,Maroko,"$ 16,140,000,000",2008 est.
78,74,Guinea Khatulistiwa,"$ 15,820,000,000",2008 est.
79,75,Bangladesh,"$ 13,970,000,000",2008 est.
80,76,Sudan,"$ 13,620,000,000",2008 est.
81,77,Estonia,"$ 13,160,000,000",2008 est.
82,78,Suriah,"$ 13,120,000,000",2008 est.
83,79,Kroasia,"$ 12,360,000,000",2008
84,80,Pantai Gading,"$ 11,960,000,000",2008 est.
85,81,Panama,"$ 10,370,000,000",2008 est.
86,82,Uzbekistan,"$ 9,960,000,000",2008 est.
87,83,Turkmenistan,"$ 9,887,000,000",2008 est.
88,84,Gabon,"$ 9,743,000,000",2008 est.
89,85,Kosta Rika,"$ 9,675,000,000",2008 est.
90,86,Yaman,"$ 9,234,000,000",2008 est.
91,87,Republik Kongo,"$ 9,009,000,000",2008 est.
92,88,Serbia,"$ 8,824,000,000",2007 est.
93,89,Latvia,"$ 8,364,000,000",2008 est.
94,90,Brunei,"$ 8,250,000,000",2007
95,91,Sri Lanka,"$ 8,100,000,000",2008 est.
96,92,Guatemala,"$ 8,028,000,000",2008 est.
97,93,Republik Dominika,"$ 7,170,000,000",2008 est.
98,94,Paraguay,"$ 6,901,000,000",2008 est.
99,95,Islandia,"$ 6,846,000,000",2008 est.
100,96,Yordania,"$ 6,521,000,000",2008 est.
101,97,Bolivia,"$ 6,384,000,000",2008 est.
102,98,Honduras,"$ 6,236,000,000",2008 est.
103,99,Myanmar,"$ 6,149,000,000",2008 est.
104,100,Republik Demokratik Kongo,"$ 6,100,000,000",2007
105,101,Uruguay,"$ 6,000,000,000",2008 est.
106,102,Papua Nugini,"$ 5,658,000,000",2008 est.
107,103,Zambia,"$ 5,632,000,000",2008 est.
108,104,Chad,"$ 5,501,000,000",2008 est.
109,105,Ghana,"$ 5,439,000,000",2008 est.
110,106,Kamerun,"$ 5,246,000,000",2008 est.
111,107,Botswana,"$ 5,127,000,000",2008 est.
112,108,Bosnia dan Herzegovina,"$ 5,092,000,000",2008 est.
113,109,Kenya,"$ 4,882,000,000",2008 est.
114,110,San Marino,"$ 4,628,000,000",2007
115,111,Kamboja,"$ 4,616,000,000",2008 est.
116,112,El Salvador,"$ 4,550,000,000",2008 est.
117,113,Makedonia,"$ 4,397,000,000",2008 est.
118,—,Kepulauan Virgin AS,"$ 4,234,000,000",2001
119,—,Antillen Belanda,"$ 3,710,000,000",2006
120,114,Lebanon,"$ 3,500,000,000",2008 est.
121,115,Kuba,"$ 3,497,000,000",2008 est.
122,116,Malta,"$ 3,491,000,000",2008 est.
123,117,Nikaragua,"$ 3,183,000,000",2008 est.
124,118,Namibia,"$ 2,980,000,000",2008 est.
125,119,Georgia,"$ 2,761,000,000",2008 est.
126,120,Mozambik,"$ 2,693,000,000",2008 est.
127,121,Jamaika,"$ 2,569,000,000",2008 est.
128,122,Mongolia,"$ 2,539,000,000",2008
129,123,Tanzania,"$ 2,490,000,000",2008 est.
130,124,Liechtenstein,"$ 2,470,000,000",1996
131,125,Mauritius,"$ 2,360,000,000",2008 est.
132,126,Uganda,"$ 2,030,000,000",2008 est.
133,—,Makau,"$ 2,000,000,000",2008 est.
134,127,Senegal,"$ 1,904,000,000",2008 est.
135,128,Eswatini,"$ 1,830,000,000",2008 est.
136,129,Zimbabwe,"$ 1,806,000,000",2008 est.
137,130,Moldova,"$ 1,790,000,000",2008 est.
138,131,Korea Utara,"$ 1,684,000,000",2007
139,132,Kirgizstan,"$ 1,676,000,000",2008 est.
140,133,Siprus,"$ 1,530,000,000",2008 est.
141,134,Etiopia,"$ 1,439,000,000",2008 est.
142,135,Albania,"$ 1,416,000,000",2008 est.
143,136,Tajikistan,"$ 1,400,000,000",2008
144,137,Mauritania,"$ 1,395,000,000",2006
145,138,Suriname,"$ 1,391,000,000",2006 est.
146,—,Kaledonia Baru,"$ 1,341,000,000",2006
147,139,Madagaskar,"$ 1,316,000,000",2008 est.
148,140,Armenia,"$ 1,225,000,000",2008 est.
149,141,Fiji,"$ 1,202,000,000",2006
150,142,Guinea,"$ 1,202,000,000",2008 est.
151,143,Liberia,"$ 1,197,000,000",2006
152,144,Lesotho,"$ 1,060,000,000",2008 est.
153,145,Laos,"$ 1,033,000,000",2008 est.
154,146,Togo,"$ 1,001,000,000",2008 est.
155,147,Nepal,"$ 868,000,000",2008
156,148,Burkina Faso,"$ 809,000,000",2008 est.
157,149,Benin,"$ 776,000,000",2008 est.
158,—,Bermuda,"$ 763,000,000",2006
159,150,Guyana,"$ 736,900,000",2008 est.
160,151,Monako,"$ 716,300,000",2005
161,152,Malawi,"$ 679,000,000",2008 est.
162,153,Bahama,"$ 674,000,000",2006
163,—,Kepulauan Faroe,"$ 634,000,000",2006
164,154,Kosovo,"$ 527,000,000",2007
165,155,Belize,"$ 496,000,000",2008 est.
166,156,Haiti,"$ 491,000,000",2008 est.
167,—,Greenland,"$ 480,000,000",2006
168,—,Samoa Amerika,"$ 445,600,000",FY04 est.
169,157,Niger,"$ 428,000,000",2006
170,158,Seychelles,"$ 425,000,000",2008 est.
171,159,Barbados,"$ 385,000,000",2006
172,160,Bhutan,"$ 350,000,000",2006
173,161,Jibuti,"$ 340,000,000",2006
174,—,Palestina (Jalur Gaza),"$ 339,000,000",2006
175,—,Palestina (Tepi Barat),"$ 339,000,000",2006
176,162,Afganistan,"$ 327,000,000",2007
177,163,Somalia,"$ 300,000,000",2006
178,164,Mali,"$ 294,000,000",2006
179,165,Saint Lucia,"$ 288,000,000",2006
180,—,Gibraltar,"$ 271,000,000",2004 est.
181,166,Kepulauan Solomon,"$ 237,000,000",2006
182,167,Rwanda,"$ 219,000,000",2008 est.
183,168,Sierra Leone,"$ 216,000,000",2006
184,—,Polinesia Prancis,"$ 211,000,000",2005 est.
185,—,Svalbard,"$ 197,600,000",2004
186,169,Saint Vincent dan Grenadine,"$ 193,000,000",2006
187,170,Montenegro,"$ 171,300,000",2003
188,—,Kepulauan Turks dan Caicos,"$ 169,200,000",2000
189,171,Afrika Tengah,"$ 146,700,000",2007 est.
190,172,Guinea-Bissau,"$ 133,000,000",2006
191,173,Samoa,"$ 131,000,000",2006
192,—,Kepulauan Falkland,"$ 125,000,000",2004 est.
193,—,Aruba,"$ 124,000,000",2006
194,174,Andorra,"$ 117,100,000",2007
195,175,Maladewa,"$ 113,000,000",2008 est.
196,176,Gambia,"$ 111,000,000",2008 est.
197,177,Tanjung Verde,"$ 102,000,000",2008 est.
198,—,Kepulauan Mariana Utara,"$ 98,200,000",2008
199,178,Dominika,"$ 94,000,000",2006
200,179,Antigua dan Barbuda,"$ 84,300,000",2007 est.
201,180,Saint Kitts dan Nevis,"$ 84,000,000",2006
202,181,Burundi,"$ 47,000,000",2008 est.
203,—,Guam,"$ 45,000,000",2004 est.
204,182,Vanuatu,"$ 40,000,000",2006
205,183,Grenada,"$ 38,000,000",2006
206,184,Komoro,"$ 32,000,000",2006
207,—,Kepulauan Virgin Britania Raya,"$ 25,300,000",2002
208,185,Tonga,"$ 22,000,000",2006
209,186,Kepulauan Marshall,"$ 19,400,000",2008 est.
210,—,Saint Helena,"$ 19,000,000",2004 est.
211,187,Kiribati,"$ 17,000,000",2004 est.
212,188,Eritrea,"$ 14,000,000",2008 est.
213,189,Federasi Mikronesia,"$ 14,000,000",2004 est.
214,—,Anguilla,"$ 13,000,000",2006
215,190,Timor Leste,"$ 10,000,000",2005 est.
216,191,Sao Tome dan Principe,"$ 9,000,000",2008 est.
217,—,Mayotte,"$ 6,500,000",2005
218,192,Palau,"$ 5,882,000",2004 est.
219,—,Saint Pierre dan Miquelon,"$ 5,500,000",2005 est.
220,—,Kepulauan Cook,"$ 5,222,000",2005
221,—,Kepulauan Cayman,"$ 2,520,000",2004
222,—,Pulau Norfolk,"$ 1,500,000",FY91/92
223,193,Tuvalu,"$ 1,000,000",2004 est.
224,—,Montserrat,"$ 700,000",2001
225,—,Niue,"$ 201,400",2004
226,194,Nauru,"$ 64,000",2005 est.
227,—,Wallis dan Futuna,"$ 47,450",2004
228,—,Tokelau,$ 0,2002
