,B a h a s a,W i l a y a h,P e n g a t u r
80,Persian,Iran Tajikistan Afganistan Uzbekistan,Academy of Persian Language and Literature (فرهنگستان زبان و ادب فارسی)
81,Polish,Polandia,Polish Language Council (Rada Języka Polskiego)
82,Portuguese,Portugal,"Academia das Ciências de Lisboa, Classe de Letras"
83,Portuguese,Brasil,Academia Brasileira de Letras (Brazilian Literary Academy)
84,Quechua,Peru,High Academy of the Quechua Language (Qheswa simi hamut'ana kuraq suntur)
85,Romanian,Rumania,Institutul de Lingvisticǎ al Academiei Române (Institute for Linguistics of the Romanian Academy)
86,Romanian,Moldova,Academia de Ştiinţe a Moldovei
87,Russian,Russian Empire,Russian Academy (1783–1841)
88,Russian,Rusia,Russian Language Institute of the Russian Academy of Sciences (since 1944)
89,Scots,Skotlandia,The Scots Language Centre supports the Scots language.[5] Scottish Language Dictionaries record and analyse the language as it is spoken and written throughout Scotland and Ulster today.[6]
90,Scottish Gaelic,Skotlandia,"Bòrd na Gàidhlig maintains the national plan for Gaelic, to promote its use and make Gaelic culture accessible"
91,Secwepemctsín,Kanada,"Stk'wemiple7s re Secwepemctsin, are the group of people supported by the Secwepemc Cultural Education Society who develop new words."
92,"Serbian, Bosnian and Montenegrin",Serbia Montenegro ( B & H),Board for Standardization of the Serbian Language
93,Sindhi,Pakistan,Sindhi Language Authority [3] Diarsipkan 2007-06-08 di Wayback Machine.
94,Sinhala,Sri Lanka,Hela Havula (හෙළ හවුල)
95,Slovak,Slowakia,Ľudovít Štúr Institute of Linguistics (Jazykovedný ústav Ľudovíta Štúra) at Slovak Academy of Sciences (Slovenská akadémia vied)
96,Slovene,Slovenia,Slovenian Academy of Sciences and Arts
97,Somali,Somalia,"Ministry of Education, Culture and Higher Education"
98,Sorbian,Jerman,Serbski institut [4]
99,Spanish,Spain Colombia Ecuador Mexico El Salvador Venezuela Chile Peru Guatemala Costa Rica Filipina Panama Cuba Paraguay Dominican Republic Bolivia Nicaragua Argentina Uruguay Honduras Puerto Rico United States,Asociación de Academias de la Lengua Española (constituted by the Real Academia Española plus 21 other separate national academies in the Spanish-speaking world)
100,Swahili,Tanzania,Baraza la Kiswahili la Taifa
101,Swahili,Kenya,Chama cha Kiswahili cha Taifa
102,Swedish,Swedia,Swedish Language Council (semi-official)Swedish Academy
103,Swedish,Finlandia,Swedish Language Department of the Research Institute for the Languages of Finland (Svenska språkbyrån)
104,Tamil,Tamil Nadu,Thanjavur Tamil University and Official language Commission of Government of Tamil Nadu
105,Tatar,Tatarstan,"Institute of Language, Literature and Arts of the Academy of Sciences of the Republic of Tatarstan"
106,Telugu,Andhra Pradesh,Telugu Academy and Official Language Commission of Government of Andhra Pradesh
107,Tetum,Timor Leste,National Institute of Linguistics at the National University of East Timor
108,Thai,Thailand,Royal Institute of Thailand (ราชบัณฑิตยสถาน)
109,Turkish,Turki,Turkish Language Association
110,Ukrainian,Ukraina,National Academy of Sciences of Ukraine
111,Urdu,Pakistan India,"National Language Authority, PakistanNational Council for Promotion of Urdu Language, India"
112,Urhobo language,Nigeria,[Urhobo Studies Association]
113,Võro,Estonia,Võro Institute
114,Waray-Waray,Filipina,Sanghiran san Binisaya ha Samar ug Leyte (Academy of the Visayan Language of Samar and Leyte) defunct
115,Welsh,Wales,"— Welsh Language Commissioner (Meri Huws)— The Welsh Government(previously the Welsh Language Board Bwrdd yr Iaith Gymraeg)(Principally, however, the role of the Welsh Language Commissioner is that of language planning and policy regulator and enforcer. The role also includes corpus planning.)"
116,Frisia Barat,Friesland,Fryske Akademy (Frisian Academy)
117,Wolof,Senegal,Centre de linguistique appliquée de Dakar (Center of Applied Linguistics of Dakar at the Cheikh Anta Diop University)
118,Yiddish,United States Swedia Rusia,YIVO [5]
119,Yoruba,Nigeria,The Yoruba Academy
