,0,1,2
10,8,Norwegia,77.808
11,9,Amerika Serikat,76.027
12,10,Brunei Darussalam,74.953
13,11,Hong Kong,70.448
14,12,San Marino,70.139
15,13,Denmark,69.273
16,14,Taiwan,68.730
17,15,Belanda,68.572
18,16,Austria,64.751
19,17,Islandia,64.621
20,18,Andorra,63.600
21,19,Jerman,63.271
22,20,Swedia,62.926
23,21,Australia,61.941
24,22,Belgia,61.587
25,23,Finlandia,58.010
26,24,Kanada,57.812
27,25,Bahrain,57.424
28,26,Perancis,56.036
29,27,Arab Saudi,55.368
30,28,Britania Raya,55.301
31,29,Malta,54.647
32,30,Korea Selatan,53.051
33,31,Kuwait,50.919
34,32,Selandia Baru,50.411
35,33,Italia,50.216
36,34,Israel,50.204
37,35,Jepang,48.814
38,36,Slovenia,48.534
39,37,Siprus,48.443
40,38,Republik Ceko,47.527
41,39,Lithuania,46.479
42,40,Spanyol,46.413
43,41,Estonia,44.778
44,42,Puerto Riko,42.579
45,43,Polandia,41.685
46,44,Hungaria,40.944
47,45,Portugal,40.805
48,46,Bahama,40.274
49,47,Aruba,39.508
50,48,Slowakia,38.620
51,49,Guyana,38.258
52,50,Turki,37.488
53,51,Latvia,37.330
54,52,Romania,36.622
55,53,Kroasia,36.201
56,54,Panama,36.085
57,55,Yunani,35.596
58,56,Oman,35.286
59,57,Seychelles,35.272
60,58,Malaysia,32.901
61,59,Kazakhstan,30.502
62,60,Rusia,30.013
63,61,Trinidad dan Tobago,29.884
64,62,Maladewa,29.133
65,63,Bulgaria,28.593
66,64,Chili,28.526
67,65,Saint Kitts dan Nevis,27.608
68,Rank,Negara/Teritori,PDB KKB per Kapita (dalam Int$)
69,66,Uruguay,26.663
70,67,Argentina,25.822
71,68,Mauritius,25.043
72,69,Montenegro,24.878
73,70,Kosta Rika,24.490
74,71,Republik Dominika,23.983
75,72,Serbia,23.904
76,73,Meksiko,22.216
77,74,Antigua dan Barbuda,21.890
78,75,Belarus,21.686
79,76,Republik Rakyat Tiongkok,21.364
80,77,Thailand,21.057
81,78,Makedonia Utara,19.726
82,79,Botswana,19.287
83,80,Guinea Khatulistiwa,19.306
84,81,Turkmenistan,18.857
85,82,Georgia,18.594
86,83,Libya,18.345
87,84,Iran,18.332
88,85,Grenada,18.293
89,86,Kolombia,18.225
90,87,Gabon,17.848
91,88,Bosnia dan Herzegovina,17.471
92,89,Barbados,17.408
93,90,Albania,17.383
94,91,Suriname,17.308
95,92,Brazil,17.208
96,93,Azerbaijan,17.153
97,94,Moldova,16.719
98,95,Saint Lucia,16.509
99,96,Armenia,15.818
100,97,Saint Vincent dan Grenadine,15.505
101,98,Sri Lanka,15.387
102,99,Afrika Selatan,15.361
103,100,Peru,15.035
104,101,Mesir,14.928
105,102,Indonesia,14.535
106,103,Dominika,14.491
107,104,Paraguay,14.430
108,105,Ukraina,14.325
109,106,Kosovo,13.694
110,107,Palau,13.652
111,108,Fiji,13.598
112,109,Mongolia,13.350
113,110,Aljazair,13.002
114,111,Bhutan,12.967
115,112,Vietnam,12.881
116,113,Ekuador,12.664
117,114,Tunisia,12.300
118,115,Irak,12.141
119,116,Lebanon,12.035
120,117,Yordania,11.861
121,118,Jamaika,11.802
122,119,Nauru,10.750
123,120,El Salvador,10.581
124,121,Namibia,10.448
125,122,Eswatini,10.411
126,123,Filipina,10.237
127,124,Guatemala,9.911
128,125,Bolivia,9.856
129,126,Uzbekistan,9.243
130,127,Laos,9.184
131,128,Maroko,9.041
132,129,India,8.358
133,130,Tanjung Verde,7.740
134,Rank,Negara/Teritori,PDB KKB per Kapita (dalam Int$)
135,131,Angola,7.360
136,132,Belize,7.147
137,133,Nikaragua,7.071
138,134,Mauritania,6.920
139,135,Tonga,6.783
140,136,Ghana,6.754
141,137,Honduras,6.740
142,138,Djibouti,6.667
143,139,Bangladesh,6.633
144,140,Pakistan,6.470
145,,Suriah[n 1],6.374
146,141,Pantai Gading,6.345
147,142,Palestina[n 2],6.243
148,143,Kenya,6.061
149,144,Venezuela,5.949
150,145,Samoa,5.935
151,146,Nigeria,5.853
152,147,Tuvalu,5.798
153,148,Kirgistan,5.562
154,149,Kamboja,5.493
155,150,Myanmar,4.776
156,151,Sao Tome dan Principe,4.681
157,152,Tajikistan,4.630
158,153,Nepal,4.578
159,154,Kongo,4.578
160,155,Sudan,4.442
161,156,Kamerun,4.398
162,157,Papua Nugini,4.299
163,158,Kepulauan Marshall,4.192
164,159,Benin,4.137
165,160,Senegal,4.093
166,161,Zambia,3.776
167,162,Federasi Mikronesia,3.650
168,163,Ethiopia,3.407
169,164,Tanzania,3.358
170,165,Komoro,3.355
171,166,Timor-Leste,3.339
172,167,Haiti,3.189
173,168,Lesotho,3.034
174,169,Guinea,3.029
175,170,Uganda,2.961
176,171,Vanuatu,2.851
177,172,Rwanda,2.808
178,173,Guinea-Bissau,2.784
179,174,Burkina Faso,2.663
180,175,Gambia,2.646
181,176,Togo,2.599
182,177,Mali,2.575
183,178,Zimbabwe,2.523
184,179,Afghanistan,2.456
185,180,Kepulauan Solomon,2.385
186,181,Kiribati,2.148
187,182,Eritrea,2.101
188,183,Yaman,2.078
189,184,Sierra Leone,1.958
190,185,Liberia,1.779
191,186,Madagaskar,1.778
192,187,Chad,1.705
193,188,Malawi,1.603
194,189,Mozambik,1.439
195,190,Niger,1.435
196,191,Somalia,1.322
197,192,Republik Demokratik Kongo,1.316
198,193,Republik Afrika Tengah,1.102
199,194,Sudan Selatan,928
200,195,Burundi,856
