,N e g a r a,P o p u l a s i [ 9 ],B a h a s a   S p a n y o l   s e b a g a i   b a h a s a   a s l i [ 1 0 ],P e n u t u r   a s l i   a t a u   b u k a n   p e n u t u r   a s l i   y a n g   f a s i h [ 1 1 ],T o t a l   j u m l a h   p e n u t u r   b a h a s a   S p a n y o l   ( t e r m a s u k   p e n u t u r   y a n g   b e l u m / t i d a k   f a s i h ) [ 1 1 ] [ 1 2 ] [ 1 3 ]
14,Paraguay,"6,953,646[54]","4,721,526 (67.9%)[54][55]","6.953.646 (2,232,120 dengan kecakapan yang terbatas)[54]","6.953.646 (2,232,120 dengan kecakapan yang terbatas)[54]"
15,Prancis,"65,635,000[56]","477,564 (1%[57] dari 47,756,439[58])","1,910,258 (4%[59] dari 47,756,439[58])","6,685,901 (14%[60] dari 47,756,439[58])"
16,El Salvador,"6,349,939[54]","6,330,889 (99.7%)[61]","6.349.939 (19,050 dengan kecakapan yang terbatas)[54]","6.349.939 (19,050 dengan kecakapan yang terbatas)[54]"
17,Nikaragua,"6,218,321[9][54]","6,037,990 (97.1%) (490,124 dengan bahasa asli lainnya)[54][62]","6.218.321 (180,331 dengan kecakapan yang terbatas)[54]","6.218.321 (180,331 dengan kecakapan yang terbatas)[54]"
18,Brazil,"206,120,000[63]","460,018[54]","460,018[54]","6,056,018 (460,018 penutur asli + 96,000 dengan kecakapan yang terbatas + 5,500,000 dapat mengadakan dan mempertahankan sebuah percakapan)"
19,Italia,"60,795,612[64]","255,459[65]","1,037,248 (2%[59] dari 51,862,391[58])","5,704,863 (11%[60] dari 51,862,391[58])"
20,Kosta Rika,"4,890,379[66]","4,806,069 (84,310 dengan bahasa asli lainnya)[67]",4.851.256 (99.2%)[13],4.851.256 (99.2%)[13]
21,Panama,"3,764,166[68]","3,263,123 (501,043 dengan bahasa asli lainnya)[69]",3.504.439 (93.1%)[13],3.504.439 (93.1%)[13]
22,Uruguay,"3,480,222[70]","3,330,022 (150,200 dengan bahasa asli lainnya)[71]",3.441.940 (98.9%)[13],3.441.940 (98.9%)[13]
23,Puerto Rico,"3,474,182[72]",3.303.947 (95.1%)[73],3.432.492 (98.8%)[13],3.432.492 (98.8%)[13]
24,Maroko,"34,378,000[74]","6,586[75]",6586,"3,415,000[75][76] (10%)[77]"
25,Britania Raya,64 105 700[78],"120,000[79]","518,480 (1%[59] dari 51,848,010[58])","3,110,880 (6%[60] dari 51,848,010[58])"
26,Filipina,"101,562,305[80]",,"438,882[81]","3,016,773[82][83][84][85][86][87][88]"
27,Jerman,"81,292,400[89]",,"644,091 (1%[59] dari 64,409,146[58])","2,576,366 (4%[60] dari 64,409,146[58])"
28,Guinea Khatulistiwa,"1,622,000[90]","1,683[91]","918,000[13] (90.5%)[13][92]","918,000[13] (90.5%)[13][92]"
29,Rumania,"21,355,849[93]",,"182,467 (1%[59] dari 18,246,731[58])","912,337 (5%[60] dari 18,246,731[58])"
30,Portugal,"10,636,888[94]",,"323,237 (4%[59] dari 8,080,915[58])","808,091 (10%[60] dari 8,080,915[58])"
31,Kanada,"34,605,346[95]","553,495[96]","643,800 (87%[97] dari 740,000[98])[19]","736,653[12]"
32,Belanda,"16,665,900[99]",,"133,719 (1%[59] dari 13,371,980[58])","668,599 (5%[60] dari 13,371,980[58] )"
33,Swedia,"9,555,893[100]","77,912 (1%[57] dari 7,791,240[58])","77,912 (1% dari 7,791,240)","467,474 (6%[60] dari 7,791,240[58])"
34,Australia,"21,507,717[101]","111,400[102]",111400,"447,175[103]"
35,Belgia,"10,918,405[104]",,"89,395 (1%[59] dari 8,939,546[58])","446,977 (5%[60] dari 8,939,546[58])"
36,Benin,"10,008,749[105]",,,"412,515 (pelajar)[12]"
37,Pantai Gading,"21,359,000[106]",,,"341,073 (pelajar)[12]"
38,Polandia,38092000,,"324,137 (1%[59] dari 32,413,735[58])","324,137 (1% dari 32,413,735)"
39,Austria,8205533,,"70,098 (1%[59] dari 7,009,827[58])","280,393 (4%[60] dari 7,009,827[58])"
40,Aljazair,33769669,,,"223,422[75]"
41,Belize,"333,200[107]","173,597[75]","173,597[75]","195,597[75] (62.8%)[108]"
42,Senegal,12853259,,,"205,000 (pelajar)[12]"
43,Denmark,5484723,,"45,613 (1%[59] dari 4,561,264[58])","182,450 (4%[60] dari 4,561,264[58])"
44,Israel,7112359,,"130,000[75]","175,231[109]"
45,Jepang,127288419,"100,229[110]",100229,"167,514 (60,000 students)[12]"
46,Gabon,"1,545,255[111]",,,"167,410 (pelajar)[12]"
47,Swiss,7581520,"150,782 (2,24%)[112][113]",150782,"165,202 (14,420 pelajar)[114]"
48,Irlandia,"4,581,269[115]",,"35,220 (1%[59] dari 3,522,000[58])","140,880 (4%[60] dari 3,522,000[58])"
49,Finlandia,5244749,,,"133,200 (3%[60] dari 4,440,004[58])"
50,Bulgaria,7262675,,"130,750 (2%[59] dari 6,537,510[58])","130,750 (2%[60] dari 6,537,510[58])"
51,Bonaire dan Curaçao,223652,"10,699[75]","10,699[75]","125,534[75]"
52,Norwegia,5165800,"21,187[116]",,"103,309[12]"
53,Republik Ceko,"10,513,209[117]",,,"90,124 (1%[60] dari 9,012,443[58])"
54,Hungaria,"9,957,731[118]",,,"83,206 (1%[60] dari 8,320,614[58])"
55,Aruba,"101,484[119]","6,800[75]","6,800[75]","75,402[75]"
56,Trinidad dan Tobago,"1,317,714[120]","4,100[75]","4,100[75]","65,886[75] (5%)[121]"
57,Kamerun,"21,599,100[122]",,,"63,560 (pelajar)[12]"
58,Andorra,84484,"33,305[75]","33,305[75]","54,909[75]"
59,Slovenia,,,"35,194 (2%[59] dari 1,759,701[58])","52,791 (3%[60] dari 1,759,701[58])"
60,Selandia Baru,,"21,645[123]",21645,"47,322 (25,677 pelajar)[12]"
61,Slovakia,5455407,,,"45,500 (1%[60] dari 4,549,955[58])"
62,Tiongkok,"1,339,724,852[124]",,,"30,000 (pelajar)[125]"
63,Gibraltar,"29,441[126]","22,758 (77.3%[127])",,
64,Lituania,"2,972,949[128]",,,"28,297 (1%[60] dari 2,829,740[58])"
65,Luksemburg,524853,"4,049 (1%[57] dari 404,907[58])","8,098 (2%[59] dari 404,907[58])","24,294 (6%[60] dari 404,907[58])"
66,Rusia,"143,400,000[129]","3,320[75]","3,320[75]","23,320[75]"
67,Sahara Barat,"513,000[130]",n.a.[131],,"22,000[75]"
68,Guam,,,,"19,092[132]"
69,US Virgin Islands,,"16,788[133]","16,788[75]","16,788[75]"
70,Latvia,"2,209,000[134]",,,"13,943 (1%[60] dari 1,447,866[58])"
71,Turki,"73,722,988[135]","1,134[75]","1,134[75]","13,480[75][136]"
72,Siprus,,,,"2%[60] dari 660,400[58]"
73,India,"1,210,193,422[137]",,,"9,750 (pelajar)[138]"
74,Estonia,,,,"9,457 (1%[60] dari 945,733[58])"
75,Jamaika,"2,711,476[139]","8,000[140]","8,000[140]","8,000[140]"
76,Namibia,,"3,870[141]",,
77,Mesir,,,,"3,500[142]"
78,Malta,,,,"3,354 (1%[60] dari 335,476[58])"
79,Uni Eropa (tidak menyertakan Spanyol),"460,624,488[143]","2,397,000 (934,984 sudah terhitung)[144]",,
80,Total,"7,430,000,000 (Total Populasi Dunia)[145]","461.107.004[19][146] (6,2 %)[147]","497.290.929 [19] (6,6 % )","545.467.592 [19][146][148] (7,3 %)[149]"
